时间,今值,预测值
2017年9月7日04:35,2.791M,4.000M
2017年8月30日04:35,-5.780M,-1.500M
2017年8月23日04:35,-3.595M,-3.400M
2017年8月16日04:35,-9.200M,-0.472M
2017年8月9日04:35,-7.839M,-2.200M
2017年8月2日04:35,1.779M,-2.900M
2017年7月26日04:35,-10.230M,-3.000M
2017年7月19日04:35,1.628M,-3.500M
2017年7月12日04:35,-8.133M,-2.900M
2017年7月6日04:35,-5.764M,-1.600M
2017年6月28日04:35,0.851M,-2.600M
2017年6月21日04:35,-2.720M,-2.100M
2017年6月14日04:35,2.750M,-2.700M
2017年6月7日04:35,-4.620M,-3.500M
2017年6月1日04:35,-8.670M,-2.500M
2017年5月24日04:35,-1.500M,-2.700M
2017年5月17日04:35,0.882M,-2.300M
2017年5月10日04:35,-5.789M,-1.800M
2017年5月3日04:35,-4.158M,-2.300M
2017年4月26日04:35,0.897M,-1.300M
2017年4月19日04:35,-0.840M,-0.050M
2017年4月12日04:35,-1.300M,0.125M
2017年4月5日04:35,-1.834M,-0.500M
2017年3月29日04:35,1.909M,0.300M
2017年3月22日04:35,4.529M,2.000M
2017年3月15日04:35,-0.531M,3.500M
2017年3月8日05:35,11.600M,1.660M
2017年3月1日05:35,2.502M,3.000M
2017年2月23日05:35,-0.884M,3.300M
2017年2月15日05:35,9.940M,3.500M
2017年2月8日05:35,14.230M,2.500M
2017年2月1日05:35,5.800M,2.200M
2017年1月25日05:35,2.927M,2.800M
2017年1月19日05:35,-5.040M,0.300M
2017年1月11日05:35,1.500M,0.900M
2017年1月5日05:35,-7.430M,-1.700M
2016年12月29日05:35,4.200M,-2.100M
2016年12月21日05:35,-4.150M,-2.500M
2016年12月14日05:35,4.680M,-1.500M
2016年12月7日05:35,-2.210M,-1.370M
2016年11月30日05:35,-0.717M,-0.600M
2016年11月23日05:35,-1.280M,1.000M
2016年11月16日05:35,3.650M,-2.000M
2016年11月9日05:35,4.400M,2.000M
2016年11月2日04:35,9.300M,1.600M
2016年10月26日04:35,4.800M,2.000M
2016年10月19日04:35,-3.800M,2.100M
2016年10月13日04:35,2.700M,0.250M
2016年10月5日04:35,-7.600M,1.500M
2016年9月28日04:35,-0.752M,3.000M
2016年9月21日04:35,-7.497M,3.250M
2016年9月14日04:35,1.440M,4.000M
2016年9月8日04:35,-12.080M,0.500M
2016年8月31日04:35,0.942M, 
2016年8月24日04:35,4.464M,0.200M
2016年8月17日04:35,-1.000M, 
2016年8月10日04:35,2.090M,-1.000M
2016年8月3日04:35,-1.300M, 
2016年7月27日04:35,-8.270M, 
2016年7月20日04:35,-2.300M, 
2016年7月13日04:35,2.200M, 
2016年7月7日04:35,-6.730M, 
2016年6月29日04:35,-3.860M, 
2016年6月22日04:35,-5.224M, 
2016年6月15日04:35,1.518M,-1.400M
2016年6月8日04:35,-3.560M,-3.500M
2016年6月2日04:35,2.350M,-3.100M
2016年5月25日04:35,-5.137M,-3.300M
2016年5月18日04:35,-1.140M,-3.000M
2016年5月11日04:35,3.450M,0.300M
2016年5月4日04:35,1.265M,0.500M
2016年4月27日04:35,-1.070M,0.800M
2016年4月20日04:35,3.100M,1.600M
2016年4月13日04:35,6.223M,1.000M
2016年4月6日04:35,-4.300M,2.900M
2016年3月30日04:35,2.600M,2.000M
2016年3月23日04:35,8.796M,2.700M
2016年3月16日04:35,1.500M,3.400M
2016年3月9日05:35,4.400M,3.000M
2016年3月2日05:35,9.900M,2.500M
2016年2月24日05:35,7.100M,3.000M
2016年2月18日05:35,-3.300M,3.000M
2016年2月10日05:35,2.400M,3.800M
2016年2月3日05:35,3.837M,4.800M
2016年1月27日05:35,11.400M,3.500M
2016年1月21日05:35,4.600M,2.900M
2016年1月13日05:35,-3.900M,2.000M
2016年1月6日05:35,-5.600M,2.750M
2015年12月30日05:35,2.900M,-2.200M
2015年12月23日05:35,-3.600M,1.000M
2015年12月16日05:35,2.300M,-2.500M
2015年12月9日05:35,-1.900M,-1.200M
2015年12月2日05:35,1.600M,-1.200M
2015年11月25日05:35,2.600M,-0.200M
2015年11月18日05:35,-0.482M,1.800M
2015年11月11日05:35,6.300M,0.500M
2015年11月4日05:35,2.800M, 
2015年10月28日04:35,4.100M,3.000M
2015年10月21日04:35,7.100M,3.500M
2015年10月15日04:35,9.300M,1.800M
2015年10月7日04:35,-1.200M,1.700M
2015年9月30日04:30,4.600M,0.000M
2015年9月23日04:30,-3.700M,-0.700M
2015年9月16日04:30,-3.100M,-0.200M
2015年9月10日04:30,2.100M,0.300M
2015年9月2日04:35,7.600M,-0.800M
2015年8月26日04:35,-7.300M,1.900M
2015年8月19日04:30,-2.300M,-2.000M
2015年8月12日04:30,-0.847M,-1.800M
2015年8月5日04:35,-2.400M,-1.600M
2015年7月29日04:30,-1.900M,-0.700M
2015年7月22日04:35,2.300M,-1.900M
2015年7月15日04:30,-7.300M,-1.800M
2015年7月8日04:30,-0.958M,-1.100M
2015年7月1日04:30,1.875M,-1.300M
2015年6月24日04:30,-3.200M,-2.300M
2015年6月17日04:30,-2.900M,-2.400M
2015年6月10日04:30,-6.700M,-1.600M
2015年6月3日04:30,1.800M,-2.400M
