时间,今值,预测值
2016年6月15日04:35,2.254M,-1.250M
2016年6月8日04:35,0.760M, 
2016年6月2日04:35,-1.480M,-1.400M
2016年5月25日04:35,3.606M, 
2016年5月18日04:35,-1.900M,-1.300M
2016年5月11日04:35,0.271M,-0.800M
2016年5月4日04:35,-1.170M, 
2016年4月27日04:35,-0.400M,-1.300M
2016年4月20日04:35,-1.020M,-1.500M
2016年4月13日04:35,-1.580M,-1.900M
2016年4月6日04:35,-0.116M, 
2016年3月30日04:35,-1.940M, 
2016年3月23日04:35,-4.302M,-1.300M
2016年3月16日04:35,-1.200M,-2.300M
2016年3月9日05:35,-2.124M,-1.500M
2016年3月2日05:35,-2.200M, 
2016年2月24日05:35,0.569M, 
2016年2月18日05:35,0.750M, 
2016年2月10日05:35,3.100M, 
2016年2月3日05:35,6.500M, 
2016年1月13日05:35,7.000M, 
2016年1月6日05:35,7.100M, 
2015年11月11日05:35,-3.200M,-0.500M
2015年8月5日04:35,-1.000M, 
2015年7月8日04:30,-2.041M, 
2015年7月1日04:30,0.334M, 
2015年6月17日04:30,-2.900M, 
2015年6月10日04:30,-3.900M, 
2015年6月3日04:30,1.600M, 
2015年5月28日04:30,-3.591M, 
2015年5月20日04:30,-1.200M, 
2015年5月13日04:30,-1.600M, 
2015年4月29日04:30,0.408M, 
2015年4月22日04:30,1.100M,-1.400M
2015年4月15日04:30,-4.100M, 
2015年4月8日04:30,2.700M, 
2015年4月1日04:30,-4.100M, 
2015年3月25日04:30,-2.600M, 
2015年3月18日04:30,-0.583M, 
2015年3月11日04:30,1.700M, 
2015年3月4日05:30,0.530M, 
2015年2月25日05:30,-1.600M, 
2015年2月19日05:30,1.300M, 
2015年2月11日05:30,1.600M, 
2015年2月4日05:30,2.000M, 
2015年1月28日05:30,-5.000M, 
2015年1月22日05:30,2.100M, 
2015年1月14日05:30,1.600M, 
2015年1月7日05:30,6.900M, 
2014年12月31日05:30,1.700M, 
2014年12月24日05:30,5.500M, 
2014年12月17日05:30,2.800M, 
2014年12月10日05:30,6.700M, 
2014年12月3日05:30,-0.035M, 
2014年11月26日05:30,0.043M, 
2014年11月19日05:30,0.519M, 
2014年11月13日05:30,1.100M, 
2014年11月5日05:30,0.240M, 
2014年10月29日04:30,-3.700M, 
2014年10月22日04:30,-0.532M, 
2014年10月16日04:30,-3.100M, 
2014年10月8日04:30,2.500M, 
2014年10月1日04:30,-2.500M, 
2014年9月24日04:30,0.091M,-0.300M
2014年9月17日04:30,-1.200M,-0.425M
2014年9月10日04:30,0.719M,0.000M
2014年9月4日04:30,0.362M,-1.450M
2014年8月27日04:35,-3.200M,-1.700M
2014年8月20日04:30,-2.100M,-1.550M
2014年8月13日04:30,2.700M,-1.500M
2014年8月6日04:30,-3.600M,-0.700M
2014年7月30日04:30,0.060M,1.100M
2014年7月23日04:30,3.600M,1.200M
2014年7月16日04:30,-1.600M, 
2014年7月9日04:30,0.112M,-1.000M
2014年7月2日04:30,-0.407M,-0.750M
2014年6月25日04:30,2.200M, 
2014年6月18日04:30,-0.048M, 
2014年6月11日04:30,-0.441M,-0.500M
2014年6月4日04:30,0.800M,2.000M
2014年5月29日04:30,-1.440M,-0.200M
2014年5月21日04:30,0.135M,0.150M
2014年5月14日04:30,-2.020M,-1.000M
2014年5月7日04:30,2.400M,-0.900M
2014年4月30日04:30,-0.049M,-1.750M
2014年4月23日04:30,-3.390M,-1.700M
2014年4月16日04:30,-0.499M,-1.700M
2014年4月9日04:30,-3.650M,-1.300M
2014年4月2日04:30,0.018M,-2.000M
2014年3月26日04:30,-2.840M,-1.800M
2014年3月19日04:30,-1.410M,-1.600M
