时间,今值,预测值
2017年9月7日23:00,4.580M,4.022M
2017年8月30日22:30,-5.392M,-1.908M
2017年8月23日22:30,-3.327M,-3.450M
2017年8月16日22:30,-8.945M,-3.058M
2017年8月9日22:30,-6.451M,-2.720M
2017年8月2日22:30,-1.527M,-2.957M
2017年7月26日22:30,-7.208M,-2.629M
2017年7月19日22:30,-4.727M,-3.214M
2017年7月12日22:30,-7.564M,-2.850M
2017年7月6日23:00,-6.299M,-2.283M
2017年6月28日22:30,0.118M,-2.585M
2017年6月21日22:30,-2.451M,-2.106M
2017年6月14日22:30,-1.661M,-2.739M
2017年6月7日22:30,3.295M,-3.464M
2017年6月1日23:00,-6.428M,-2.517M
2017年5月24日22:30,-4.432M,-2.419M
2017年5月17日22:30,-1.753M,-2.360M
2017年5月10日22:30,-5.247M,-1.786M
2017年5月3日22:30,-0.930M,-2.333M
2017年4月26日22:30,-3.641M,-1.661M
2017年4月19日22:30,-1.034M,-1.470M
2017年4月12日22:30,-2.166M,0.087M
2017年4月5日22:30,1.566M,-0.435M
2017年3月29日22:30,0.867M,1.357M
2017年3月22日22:30,4.954M,2.801M
2017年3月15日22:30,-0.237M,3.713M
2017年3月8日23:30,8.209M,1.967M
2017年3月1日23:30,1.501M,3.079M
2017年2月24日00:00,0.564M,3.475M
2017年2月15日23:30,9.527M,3.513M
2017年2月8日23:30,13.830M,2.529M
2017年2月1日23:30,6.466M,3.289M
2017年1月25日23:30,2.840M,2.815M
2017年1月20日00:00,2.347M,-0.342M
2017年1月11日23:30,4.097M,1.162M
2017年1月6日00:00,-7.051M,-2.152M
2016年12月30日00:00,0.614M,-2.060M
2016年12月21日23:30,2.256M,-2.515M
2016年12月14日23:30,-2.563M,-1.584M
2016年12月7日23:30,-2.389M,-1.032M
2016年11月30日23:30,-0.884M,0.636M
2016年11月23日23:30,-1.255M,0.671M
2016年11月16日23:30,5.274M,1.480M
2016年11月9日23:30,2.432M,1.330M
2016年11月2日22:30,14.420M,1.013M
2016年10月26日22:30,-0.553M,1.699M
2016年10月19日22:30,-5.247M,2.705M
2016年10月13日23:00,4.900M,0.650M
2016年10月5日22:30,-2.976M,2.560M
2016年9月28日22:30,-1.882M,2.995M
