时间,今值,预测值
2017年9月7日23:00,0.797M, 
2017年8月30日22:30,0.689M, 
2017年8月23日22:30,-0.503M, 
2017年8月16日22:30,0.678M, 
2017年8月9日22:30,0.569M, 
2017年8月2日22:30,-0.039M, 
2017年7月26日22:30,-1.699M, 
2017年7月19日22:30,-0.023M, 
2017年7月12日22:30,-1.948M, 
2017年7月6日23:00,-1.334M, 
2017年6月28日22:30,-0.297M, 
2017年6月21日22:30,-1.080M, 
2017年6月14日22:30,-1.156M, 
2017年6月7日22:30,-1.444M, 
2017年6月1日23:00,-0.747M, 
2017年5月24日22:30,-0.741M, 
2017年5月17日22:30,0.035M, 
2017年5月10日22:30,-0.438M, 
2017年5月3日22:30,-0.728M, 
2017年4月26日22:30,-1.203M, 
2017年4月19日22:30,-0.778M, 
2017年4月12日22:30,0.276M, 
2017年4月5日22:30,1.413M, 
2017年3月29日22:30,-0.220M, 
2017年3月22日22:30,1.419M, 
2017年3月15日22:30,2.130M, 
2017年3月8日23:30,0.867M, 
2017年3月1日23:30,0.495M, 
2017年2月24日00:00,-1.528M, 
2017年2月15日23:30,-0.702M, 
2017年2月8日23:30,1.143M, 
2017年2月1日23:30,-1.245M, 
2017年1月25日23:30,-0.284M, 
2017年1月20日00:00,-1.274M, 
2017年1月11日23:30,-0.579M, 
2017年1月6日00:00,1.074M, 
2016年12月30日00:00,0.172M, 
2016年12月21日23:30,-0.245M, 
2016年12月14日23:30,1.223M, 
2016年12月7日23:30,3.783M, 
2016年11月30日23:30,2.419M, 
2016年11月23日23:30,-0.087M, 
2016年11月16日23:30,0.691M, 
2016年11月9日23:30,0.028M, 
2016年11月2日22:30,0.089M, 
2016年10月26日22:30,-1.337M, 
2016年10月19日22:30,-1.635M, 
2016年10月13日23:00,-1.318M, 
2016年10月5日22:30,0.569M, 
2016年9月28日22:30,-0.631M, 
2016年9月21日22:30,0.526M, 
2016年9月14日22:30,-1.245M, 
2016年9月8日23:00,-0.434M, 
2016年8月31日22:30,-1.039M, 
2016年8月24日22:30,0.375M, 
2016年8月17日22:30,-0.724M, 
2016年8月10日22:30,1.163M, 
2016年8月3日22:30,-1.123M, 
2016年7月27日22:30,1.110M, 
2016年7月20日22:30,0.189M, 
2016年7月13日22:30,-0.232M, 
2016年7月7日23:00,-0.082M, 
2016年6月29日22:30,-0.951M, 
2016年6月22日22:30,-1.280M, 
2016年6月15日22:30,0.904M, 
2016年6月8日22:30,-1.363M, 
2016年6月2日23:00,-0.704M, 
2016年5月25日22:30,-0.649M, 
2016年5月18日22:30,0.461M, 
2016年5月11日22:30,1.520M, 
2016年5月4日22:30,0.243M, 
2016年4月27日22:30,1.746M, 
2016年4月20日22:30,-0.248M, 
2016年4月13日22:30,-1.767M, 
2016年4月6日22:30,0.357M, 
2016年3月30日22:30,-0.272M,0.300M
2016年3月23日22:30,-1.258M, 
2016年3月16日22:30,0.545M, 
2016年3月9日23:30,0.690M, 
2016年3月2日23:30,1.190M,0.106M
2016年2月24日23:30,0.333M, 
2016年2月19日00:00,0.036M, 
2016年2月10日23:30,0.523M, 
2016年2月3日23:30,0.747M, 
2016年1月27日23:30,-0.771M, 
2016年1月22日00:00,0.191M, 
2016年1月13日23:30,0.097M, 
