时间,今值,预测值
2017年9月7日23:00,-3.199M,-5.000M
2017年8月30日22:30,0.035M,-0.989M
2017年8月23日22:30,-1.223M,-0.643M
2017年8月16日22:30,0.022M,-1.078M
2017年8月9日22:30,3.424M,-1.479M
2017年8月2日22:30,-2.517M,-0.636M
2017年7月26日22:30,-1.015M,-0.614M
2017年7月19日22:30,-4.445M,-0.655M
2017年7月12日22:30,-1.647M,1.147M
2017年7月6日23:00,-3.669M,-1.067M
2017年6月28日22:30,-0.894M,-0.583M
2017年6月21日22:30,-0.578M,0.443M
2017年6月14日22:30,2.096M,-0.457M
2017年6月7日22:30,3.324M,0.580M
2017年6月1日23:00,-2.858M,-1.091M
2017年5月24日22:30,-0.787M,-1.194M
2017年5月17日22:30,-0.413M,-0.731M
2017年5月10日22:30,-0.150M,-0.538M
2017年5月3日22:30,0.191M,1.322M
2017年4月26日22:30,3.369M,-1.020M
2017年4月19日22:30,1.542M,-1.938M
2017年4月12日22:30,-2.973M,-1.721M
2017年4月5日22:30,-0.618M,-1.422M
2017年3月29日22:30,-3.747M,-1.886M
2017年3月22日22:30,-2.811M,-2.008M
2017年3月15日22:30,-3.055M,-1.950M
2017年3月8日23:30,-6.555M,-1.400M
2017年3月1日23:30,-0.546M,-1.789M
2017年2月24日00:00,-2.628M,-0.888M
2017年2月15日23:30,2.846M,-0.752M
2017年2月8日23:30,-0.869M,1.071M
2017年2月1日23:30,3.866M,0.982M
2017年1月25日23:30,6.796M,0.498M
2017年1月20日00:00,5.951M,2.023M
2017年1月11日23:30,5.023M,1.638M
2017年1月6日00:00,8.307M,1.786M
2016年12月30日00:00,-1.593M,1.320M
2016年12月21日23:30,-1.309M,1.420M
2016年12月14日23:30,0.497M,2.540M
2016年12月7日23:30,3.425M,1.948M
2016年11月30日23:30,2.097M,1.156M
2016年11月23日23:30,2.317M,0.643M
2016年11月16日23:30,0.746M,-0.416M
2016年11月9日23:30,-2.841M,-1.025M
2016年11月2日22:30,-2.207M,-1.124M
2016年10月26日22:30,-1.956M,-0.963M
2016年10月19日22:30,2.469M,-1.319M
2016年10月13日23:00,-1.900M,-1.491M
2016年10月5日22:30,0.222M,0.702M
2016年9月28日22:30,2.027M,0.178M
2016年9月21日22:30,-3.204M,-0.567M
2016年9月14日22:30,0.567M,0.343M
2016年9月8日23:00,-4.211M,-0.171M
2016年8月31日22:30,-0.691M,-1.157M
2016年8月24日22:30,0.036M,-1.166M
2016年8月17日22:30,-2.724M,-1.638M
2016年8月10日22:30,-2.807M,-1.063M
2016年8月3日22:30,-3.262M,-0.200M
2016年7月27日22:30,0.452M,0.036M
2016年7月20日22:30,0.911M,-0.833M
2016年7月13日22:30,1.213M,-0.432M
2016年7月7日23:00,-0.122M,-0.353M
2016年6月29日22:30,1.367M,0.058M
2016年6月22日22:30,0.627M,-0.326M
2016年6月15日22:30,-2.625M,-0.243M
2016年6月8日22:30,1.010M,-0.674M
2016年6月2日23:00,-1.492M,-0.157M
2016年5月25日22:30,2.043M,-1.067M
2016年5月18日22:30,-2.496M,-0.150M
2016年5月11日22:30,-1.231M,-0.710M
2016年5月4日22:30,0.536M,-0.144M
2016年4月27日22:30,1.608M,-0.400M
2016年4月20日22:30,-0.110M,-1.217M
2016年4月13日22:30,-4.237M,-1.393M
2016年4月6日22:30,1.438M,-0.967M
2016年3月30日22:30,-2.514M,-2.179M
2016年3月23日22:30,-4.642M,-1.482M
2016年3月16日22:30,-0.747M,-2.339M
2016年3月9日23:30,-4.526M,-1.390M
2016年3月2日23:30,-1.468M,-1.083M
2016年2月24日23:30,-2.236M,-1.033M
2016年2月19日00:00,3.036M,0.500M
2016年2月10日23:30,1.258M,0.417M
2016年2月3日23:30,5.938M,1.700M
2016年1月27日23:30,3.464M,1.546M
2016年1月22日00:00,4.563M,1.378M
2016年1月13日23:30,8.438M,2.703M
2016年1月6日23:30,10.576M,2.308M
2015年12月30日23:30,0.925M,0.896M
2015年12月23日23:30,1.111M,1.383M
2015年12月16日23:30,1.731M,1.952M
2015年12月9日23:30,0.786M,2.155M
2015年12月2日23:30,0.135M,1.453M
2015年11月25日23:30,2.478M,0.938M
2015年11月18日23:30,1.009M,-0.367M
2015年11月13日00:00,-2.102M,-0.807M
2015年11月4日23:30,-3.300M,-0.969M
2015年10月28日22:30,-1.137M,-0.817M
2015年10月21日22:30,-1.518M,-0.858M
2015年10月15日23:00,-2.618M,-1.695M
2015年10月7日22:30,1.910M,0.467M
2015年9月30日22:30,3.254M,-0.040M
2015年9月23日22:30,1.369M,0.819M
2015年9月16日22:30,2.840M,-0.021M
2015年9月10日23:00,0.384M,-0.567M
2015年9月2日22:30,-0.271M,-1.328M
2015年8月26日22:30,1.660M,-1.317M
2015年8月19日22:30,-2.708M,-1.614M
2015年8月12日22:30,-1.251M,-0.647M
2015年8月5日22:30,0.811M,-0.488M
2015年7月29日22:30,-0.363M,0.512M
2015年7月22日22:30,-1.725M,0.925M
2015年7月15日22:30,0.058M,0.679M
2015年7月8日22:30,1.215M,-0.254M
2015年7月1日22:30,-1.757M,0.458M
2015年6月24日22:30,0.680M,-0.304M
2015年6月17日22:30,0.460M,-0.314M
2015年6月10日22:30,-2.939M,0.280M
2015年6月3日22:30,-0.334M,0.529M
2015年5月28日23:00,-3.309M,-0.429M
2015年5月20日22:30,-2.774M,0.729M
2015年5月13日22:30,-1.142M,0.429M
2015年5月6日22:30,0.401M,0.867M
2015年4月29日22:30,1.713M,0.217M
2015年4月22日22:30,-2.135M,-0.700M
2015年4月15日22:30,-2.072M,-0.200M
2015年4月8日22:30,0.817M,-1.043M
2015年4月1日22:30,-4.258M,-0.943M
2015年3月25日22:30,-2.014M,-1.633M
2015年3月18日22:30,-4.473M,-0.883M
2015年3月11日22:30,-0.187M,-1.686M
2015年3月4日23:30,0.046M,-1.871M
2015年2月25日23:30,-3.118M,-1.467M
2015年2月20日00:00,0.485M,0.167M
2015年2月11日23:30,1.977M,0.200M
2015年2月4日23:30,2.335M,0.067M
2015年1月28日23:30,-2.587M,0.320M
2015年1月23日00:00,0.588M,1.300M
2015年1月14日23:30,3.171M,3.467M
2015年1月7日23:30,8.115M,3.380M
2014年12月31日23:30,2.951M,2.130M
2014年12月24日23:30,4.083M,0.600M
2014年12月17日23:30,5.250M,1.780M
2014年12月10日23:30,8.197M,2.580M
2014年12月3日23:30,2.143M,1.040M
2014年11月26日23:30,1.825M,1.817M
2014年11月19日23:30,1.034M,0.600M
2014年11月14日00:00,1.805M,0.517M
2014年11月5日23:30,-1.378M,-1.000M
2014年10月29日22:30,-1.236M,-0.986M
2014年10月22日22:30,-1.299M,-1.000M
2014年10月16日23:00,-3.995M,-1.200M
2014年10月8日22:30,1.180M,-1.000M
2014年10月1日22:30,-1.836M,-0.767M
2014年9月24日22:30,-0.414M,-0.086M
2014年9月17日22:30,-1.635M,-0.257M
2014年9月10日22:30,2.381M,-0.157M
2014年9月4日23:00,-2.322M,-1.325M
2014年8月27日22:30,-0.960M,-1.079M
2014年8月20日22:30,0.585M,-1.588M
2014年8月13日22:30,-1.160M,-1.071M
2014年8月6日22:30,-4.387M,0.300M
2014年7月30日22:30,0.365M,1.257M
2014年7月23日22:30,3.379M,1.300M
2014年7月16日22:30,0.171M,0.600M
2014年7月9日22:30,0.579M,-0.217M
2014年7月2日22:30,-1.235M,0.357M
2014年6月25日22:30,0.710M,1.486M
2014年6月18日22:30,0.785M,-0.113M
2014年6月11日22:30,1.697M,0.843M
2014年6月4日22:30,0.210M,-0.157M
2014年5月29日23:00,-1.803M,0.283M
2014年5月21日22:30,0.970M,0.079M
2014年5月14日22:30,-0.772M,0.143M
2014年5月7日22:30,1.608M,0.017M
2014年4月30日22:30,1.564M,-0.600M
2014年4月23日22:30,-0.274M,-1.713M
2014年4月16日22:30,-0.154M,-1.667M
2014年4月9日22:30,-5.188M,-0.729M
2014年4月2日22:30,-1.574M,-1.086M
2014年3月26日22:30,-5.101M,-1.206M
2014年3月19日22:30,-1.467M,-1.542M
2014年3月12日22:30,-5.230M,-2.033M
2014年3月5日23:30,-1.604M,-1.183M
2014年2月26日23:30,-2.807M,-0.986M
2014年2月21日00:00,0.309M,-0.538M
2014年2月12日23:30,-1.853M,-0.050M
2014年2月5日23:30,0.505M,1.483M
2014年1月29日23:30,-0.819M,1.125M
2014年1月24日00:00,2.123M,2.081M
2014年1月15日23:30,6.183M,2.544M
2014年1月8日23:30,6.243M,2.275M
2014年1月4日00:00,0.844M,1.925M
2013年12月28日00:00,-0.614M,1.260M
2013年12月18日23:30,1.337M,1.858M
2013年12月11日23:30,6.717M,1.793M
2013年12月4日23:30,1.828M,1.517M
2013年11月27日23:30,1.751M,0.257M
2013年11月20日23:30,-0.345M,-0.256M
2013年11月15日00:00,-0.838M,-0.694M
2013年11月6日23:30,-3.755M,-0.338M
2013年10月30日22:30,-1.713M,-0.139M
2013年10月23日22:30,-1.805M,-0.250M
2013年10月21日22:30,-2.570M,0.107M
2013年10月9日22:30,0.149M,1.314M
2013年10月2日22:30,3.495M,-0.640M
2013年9月25日22:30,0.217M,0.143M
2013年9月18日22:30,-1.627M,0.338M
2013年9月11日22:30,1.658M,-1.250M
2013年9月5日23:00,-1.827M,-0.313M
2013年8月28日22:30,-0.587M,-1.192M
2013年8月21日22:30,-4.029M,-1.486M
2013年8月14日22:30,-1.169M,-0.822M
2013年8月7日22:30,0.135M,-0.763M
2013年7月31日22:30,0.770M,-0.838M
2013年7月24日22:30,-1.389M,1.088M
2013年7月17日22:30,3.055M,-0.486M
2013年7月10日22:30,-2.634M,1.160M
2013年7月3日22:30,-1.719M,0.611M
2013年6月26日22:30,3.653M,0.855M
2013年6月19日22:30,0.183M,0.683M
2013年6月12日22:30,2.748M,0.644M
2013年6月5日22:30,-0.366M,0.522M
2013年5月30日23:00,-1.514M,0.061M
2013年5月22日22:30,3.015M,0.022M
2013年5月15日22:30,2.588M,-0.780M
2013年5月8日22:30,-0.910M,-0.395M
2013年5月1日22:30,-1.818M,-0.900M
2013年4月24日22:30,-3.928M,-0.175M
2013年4月17日22:30,-0.633M,-0.800M
2013年4月10日22:30,1.699M,-1.089M
2013年4月3日22:30,-0.572M,-0.825M
2013年3月27日22:30,-1.596M,-1.020M
2013年3月20日22:30,-1.476M,-2.125M
2013年3月13日22:30,-3.571M,-1.163M
2013年3月6日23:30,-0.616M,-0.700M
2013年2月27日23:30,-1.857M,-0.900M
2013年2月22日00:00,-2.884M,-0.667M
2013年2月13日23:30,-0.803M,0.267M
2013年2月6日23:30,1.738M,-0.043M
2013年1月30日23:30,-0.956M,-0.108M
2013年1月25日00:00,-1.738M,1.450M
2013年1月16日23:30,1.910M,2.929M
2013年1月9日23:30,7.412M,2.325M
2013年1月5日00:00,2.569M,1.956M
2012年12月29日00:00,3.782M,0.543M
2012年12月19日23:30,2.207M,1.844M
2012年12月12日23:30,5.000M,2.200M
2012年12月5日23:30,7.860M,1.767M
2012年11月28日23:30,3.865M,0.867M
2012年11月21日23:30,-1.547M,1.010M
2012年11月16日00:00,-0.440M,-0.843M
2012年11月7日23:30,2.875M,-1.010M
2012年11月1日23:00,0.935M,0.161M
2012年10月24日22:30,1.439M,0.673M
2012年10月17日22:30,1.720M,0.488M
2012年10月11日23:00,-0.534M,0.025M
2012年10月3日22:30,0.114M,-0.635M
2012年9月26日22:30,-0.481M,0.150M
2012年9月19日22:30,-1.407M,1.229M
2012年9月12日22:30,-1.177M,-1.600M
2012年9月6日23:00,-2.334M,-3.400M
2012年8月29日22:30,-1.509M,-1.420M
2012年8月22日22:30,-0.962M,-0.725M
2012年8月15日22:30,-2.371M,-1.485M
2012年8月8日22:30,-1.801M,-1.067M
2012年8月1日22:30,-2.174M,0.973M
2012年7月25日22:30,4.134M,-0.630M
2012年7月18日22:30,-1.815M,1.163M
2012年7月11日22:30,2.752M,0.294M
2012年7月5日23:00,0.151M,0.593M
2012年6月27日22:30,2.078M,0.770M
2012年6月20日22:30,0.943M,0.810M
2012年6月13日22:30,-1.724M,1.133M
2012年6月6日22:30,3.346M,0.708M
2012年5月31日23:00,-0.833M,-0.833M
2012年5月23日22:30,-3.299M,-0.471M
2012年5月16日22:30,-2.797M,-0.491M
2012年5月9日22:30,-2.613M,-0.046M
2012年5月2日22:30,-2.009M,-0.772M
2012年4月25日22:30,-2.235M,-0.925M
2012年4月18日22:30,-3.671M,-0.931M
2012年4月11日22:30,-4.277M,-1.344M
2012年4月4日22:30,-1.457M,-1.400M
2012年3月28日22:30,-3.537M,-1.700M
2012年3月21日22:30,-1.200M,-2.000M
2012年3月14日22:30,-1.400M,-1.000M
2012年3月7日23:30,-0.400M,-2.000M
2012年2月29日23:30,-1.600M,0.250M
2012年2月24日00:00,-0.600M,-0.300M
2012年2月15日23:30,0.400M,0.700M
