时间,今值,预测值
2017年9月9日 (八月)09:30, ,1.6%
2017年8月9日 (七月)09:30,1.4%,1.5%
2017年7月10日 (六月)09:30,1.5%,1.5%
2017年6月9日 (五月)09:30,1.5%,1.5%
2017年5月10日 (四月)09:30,1.2%,1.1%
2017年4月12日 (三月)09:30,0.9%,1.0%
2017年3月9日 (二月)09:30,0.8%,1.7%
2017年2月14日 (一月)09:30,2.5%,2.4%
2017年1月10日 (十二月)09:30,2.1%,2.3%
2016年12月9日 (十一月)09:30,2.3%,2.2%
2016年11月9日 (十月)09:30,2.1%,2.1%
2016年10月14日 (九月)09:30,1.9%,1.6%
2016年9月9日 (八月)09:30,1.3%,1.7%
2016年8月9日 (七月)09:30,1.8%,1.8%
2016年7月10日 (六月)09:30,1.9%,1.8%
2016年6月9日 (五月)09:30,2.0%,2.3%
2016年5月10日 (四月)09:30,2.3%,2.4%
2016年4月11日 (三月)09:30,2.3%,2.5%
2016年3月10日 (二月)09:30,2.3%,1.9%
2016年2月18日 (一月)09:30,1.8%,1.9%
2016年1月9日 (十二月)09:30,1.6%,1.6%
2015年12月9日 (十一月)09:30,1.5%,1.4%
2015年11月10日 (十月)09:30,1.3%,1.5%
2015年10月14日 (九月)09:30,1.6%,1.8%
2015年9月10日 (八月)09:30,2.0%,1.8%
2015年8月9日 (七月)10:00,1.6%,1.5%
2015年7月9日 (六月)09:30,1.4%,1.3%
2015年6月9日 (五月)09:30,1.2%,1.3%
2015年5月9日 (四月)09:30,1.5%,1.6%
2015年4月10日 (三月)09:30,1.4%,1.3%
2015年3月10日 (二月)09:30,1.4%,0.9%
2015年2月10日 (一月)09:30,0.8%,1.0%
2015年1月9日 (十二月)09:30,1.5%,1.5%
2014年12月10日 (十一月)09:30,1.4%,1.6%
2014年11月10日 (十月)09:30,1.6%,1.6%
2014年10月15日 (九月)09:30,1.6%,1.7%
2014年9月11日09:30,2.0%,2.2%
2014年8月9日09:30,2.3%,2.3%
2014年7月9日09:30,2.3%,2.4%
2014年6月10日09:30,2.5%,2.4%
2014年5月9日09:30,1.8%,2.0%
2014年4月11日09:30,2.4%,2.5%
2014年3月9日09:30,2.0%,2.0%
2014年2月14日10:00,2.5%,2.3%
2014年1月9日09:30,2.5%,2.7%
2013年12月9日09:30,3.0%,3.2%
2013年11月9日09:30,3.2%,3.3%
2013年10月14日09:30,3.1%,2.9%
2013年9月9日09:30,2.6%,2.6%
2013年8月9日09:30,2.7%,2.8%
2013年7月9日09:30,2.7%,2.5%
2013年6月9日09:30,2.1%,2.5%
2013年5月9日09:30,2.4%,2.3%
2013年4月9日09:30,2.1%,2.4%
2013年3月9日09:30,3.2%,3.0%
2013年2月8日13:30,2.0%,2.0%
2013年1月11日09:30,2.5%,2.3%
2012年12月9日09:30,2.0%,2.1%
2012年11月9日09:30,1.7%,1.9%
2012年10月15日09:30,1.9%,1.9%
2012年9月9日09:30,2.0%,2.0%
2012年8月9日09:30,1.8%,1.7%
2012年7月9日09:30,2.2%,2.3%
2012年6月9日09:30,3.0%,3.2%
2012年5月11日09:30,3.4%,3.3%
2012年4月9日09:30,3.6%,3.3%
2012年3月9日09:30,3.2%,3.6%
2012年2月9日09:30,4.5%,4.0%
2012年1月12日09:30,4.1%,4.0%
2011年12月9日09:30,4.2%,4.6%
2011年11月9日09:30,5.5%,5.4%
2011年10月14日10:00,6.1%,6.1%
2011年9月9日10:00,6.2%,6.3%
2011年8月9日10:00,6.5%,6.4%
2011年7月9日09:30,6.4%,6.3%
2011年6月14日10:00,5.5%,5.5%
2011年5月11日10:00,5.3%,5.2%
2011年4月15日10:00,5.4%,5.2%
2011年3月11日10:00,4.9%,4.9%
2011年2月15日10:00,4.9%,5.3%
2011年1月20日10:00,4.6%,4.7%
2010年12月11日10:00,5.1%,4.7%
2010年11月1日 (十月)17:00,4.40%, 
2010年10月1日 (九月)17:00,3.60%, 
2010年9月1日 (八月)17:00,3.50%, 
2010年8月1日 (七月)17:00,3.30%, 
2010年7月1日 (六月)17:00,2.90%, 
2010年6月1日 (五月)17:00,3.10%, 
2010年5月1日 (四月)17:00,2.80%, 
2010年4月1日 (三月)17:00,2.40%, 
2010年3月1日 (二月)17:00,2.70%, 
2010年2月1日 (一月)17:00,1.50%, 
2010年1月1日 (十二月)17:00,1.90%, 
2009年12月1日 (十一月)17:00,0.60%, 
2009年11月1日 (十月)17:00,-0.50%, 
2009年10月1日 (九月)17:00,-0.80%, 
2009年9月1日 (八月)17:00,-1.20%, 
2009年8月1日 (七月)17:00,-1.80%, 
2009年7月1日 (六月)17:00,-1.70%, 
2009年6月1日 (五月)17:00,-1.40%, 
2009年5月1日 (四月)17:00,-1.50%, 
2009年4月1日 (三月)17:00,-1.20%, 
2009年3月1日 (二月)17:00,-1.60%, 
2009年2月1日 (一月)17:00,1.00%, 
2009年1月1日 (十二月)17:00,1.20%, 
2008年12月1日 (十一月)17:00,2.40%, 
2008年11月1日 (十月)17:00,4.00%, 
2008年10月1日 (九月)17:00,4.60%, 
2008年9月1日 (八月)17:00,4.90%, 
2008年8月1日 (七月)17:00,6.30%, 
2008年7月1日 (六月)17:00,7.10%, 
2008年6月1日 (五月)17:00,7.70%, 
2008年5月1日 (四月)17:00,8.50%, 
2008年4月1日 (三月)17:00,8.30%, 
2008年3月1日 (二月)17:00,8.70%, 
2008年2月1日 (一月)17:00,7.10%, 
2008年1月1日 (十二月)17:00,6.50%, 
2007年12月1日 (十一月)17:00,6.90%, 
2007年11月1日 (十月)17:00,6.50%, 
2007年10月1日 (九月)17:00,6.20%, 
2007年9月1日 (八月)17:00,6.50%, 
2007年8月1日 (七月)17:00,5.60%, 
2007年7月1日 (六月)17:00,4.40%, 
2007年6月1日 (五月)17:00,3.40%, 
2007年5月1日 (四月)17:00,3.00%, 
2007年4月1日 (三月)17:00,3.30%, 
2007年3月1日 (二月)17:00,2.70%, 
2007年2月1日 (一月)17:00,2.20%, 
2007年1月1日 (十二月)17:00,2.80%, 
2006年12月1日 (十一月)17:00,1.90%, 
2006年11月1日 (十月)17:00,1.40%, 
2006年10月1日 (九月)17:00,1.50%, 
2006年9月1日 (八月)17:00,1.30%, 
2006年8月1日 (七月)17:00,1.00%, 
2006年7月1日 (六月)17:00,1.50%, 
2006年6月1日 (五月)17:00,1.40%, 
2006年5月1日 (四月)17:00,1.20%, 
2006年4月1日 (三月)17:00,0.80%, 
2006年3月1日 (二月)17:00,0.90%, 
2006年2月1日 (一月)17:00,1.90%, 
2006年1月1日 (十二月)17:00,1.60%, 
2005年12月1日 (十一月)17:00,1.30%, 
2005年11月1日 (十月)17:00,1.20%, 
2005年10月1日 (九月)17:00,0.90%, 
2005年9月1日 (八月)17:00,1.30%, 
2005年8月1日 (七月)17:00,1.80%, 
2005年7月1日 (六月)17:00,1.60%, 
2005年6月1日 (五月)17:00,1.80%, 
2005年5月1日 (四月)17:00,1.80%, 
2005年4月1日 (三月)17:00,2.70%, 
2005年3月1日 (二月)17:00,4.00%, 
2005年2月1日 (一月)17:00,1.90%, 
2005年1月1日 (十二月)17:00,2.40%, 
2004年12月1日 (十一月)17:00,2.90%, 
2004年11月1日 (十月)17:00,4.30%, 
2004年10月1日 (九月)17:00,5.20%, 
2004年9月1日 (八月)17:00,5.30%, 
2004年8月1日 (七月)17:00,5.30%, 
2004年7月1日 (六月)17:00,5.00%, 
2004年6月1日 (五月)17:00,4.40%, 
2004年5月1日 (四月)17:00,3.80%, 
2004年4月1日 (三月)17:00,3.00%, 
2004年3月1日 (二月)17:00,2.10%, 
2004年2月1日 (一月)17:00,3.20%, 
2004年1月1日 (十二月)17:00,3.20%, 
2003年12月1日 (十一月)17:00,3.00%, 
2003年11月1日 (十月)17:00,1.80%, 
2003年10月1日 (九月)17:00,1.10%, 
2003年9月1日 (八月)17:00,0.90%, 
2003年8月1日 (七月)17:00,0.50%, 
2003年7月1日 (六月)17:00,0.30%, 
2003年6月1日 (五月)17:00,0.70%, 
2003年5月1日 (四月)17:00,1.00%, 
2003年4月1日 (三月)17:00,0.90%, 
2003年3月1日 (二月)17:00,0.20%, 
2003年2月1日 (一月)17:00,0.40%, 
2003年1月1日 (十二月)17:00,-0.40%, 
2002年12月1日 (十一月)17:00,-0.70%, 
2002年11月1日 (十月)17:00,-0.80%, 
2002年10月1日 (九月)17:00,-0.70%, 
2002年9月1日 (八月)17:00,-0.70%, 
2002年8月1日 (七月)17:00,-0.90%, 
2002年7月1日 (六月)17:00,-0.80%, 
2002年6月1日 (五月)17:00,-1.10%, 
2002年5月1日 (四月)17:00,-1.30%, 
2002年4月1日 (三月)17:00,-0.80%, 
2002年3月1日 (二月)17:00,0.00%, 
2002年2月1日 (一月)17:00,-1.00%, 
2002年1月1日 (十二月)17:00,-0.30%, 
2001年12月1日 (十一月)17:00,-0.30%, 
2001年11月1日 (十月)17:00,0.20%, 
2001年10月1日 (九月)17:00,-0.10%, 
2001年9月1日 (八月)17:00,1.00%, 
2001年8月1日 (七月)17:00,1.50%, 
2001年7月1日 (六月)17:00,1.40%, 
2001年6月1日 (五月)17:00,1.70%, 
2001年5月1日 (四月)17:00,1.60%, 
2001年4月1日 (三月)17:00,0.80%, 
2001年3月1日 (二月)17:00,0.00%, 
2001年2月1日 (一月)17:00,1.20%, 
2001年1月1日 (十二月)17:00,1.50%, 
2000年12月1日 (十一月)17:00,1.30%, 
2000年11月1日 (十月)17:00,0.00%, 
2000年10月1日 (九月)17:00,0.00%, 
2000年9月1日 (八月)17:00,0.30%, 
2000年8月1日 (七月)17:00,0.50%, 
2000年7月1日 (六月)17:00,0.50%, 
2000年6月1日 (五月)17:00,0.10%, 
2000年5月1日 (四月)17:00,-0.30%, 
2000年4月1日 (三月)17:00,-0.20%, 
2000年3月1日 (二月)17:00,0.70%, 
2000年2月1日 (一月)17:00,-0.20%, 
2000年1月1日 (十二月)17:00,-1.00%, 
1999年12月1日 (十一月)17:00,-0.90%, 
1999年11月1日 (十月)17:00,-0.60%, 
1999年10月1日 (九月)17:00,-0.80%, 
1999年9月1日 (八月)17:00,-1.30%, 
1999年8月1日 (七月)17:00,-1.40%, 
1999年7月1日 (六月)17:00,-2.10%, 
1999年6月1日 (五月)17:00,-2.20%, 
