时间,今值,预测值
2017年9月9日 (八月)09:30, ,5.6%
2017年8月9日 (七月)09:30,5.5%,5.5%
2017年7月10日 (六月)09:30,5.5%,5.5%
2017年6月9日 (五月)09:30,5.5%,5.7%
2017年5月10日 (四月)09:30,6.4%,6.9%
2017年4月12日 (三月)09:30,7.6%,7.6%
2017年3月9日 (二月)09:30,7.8%,7.7%
2017年2月14日 (一月)09:30,6.9%,6.3%
2017年1月10日 (十二月)09:30,5.5%,4.5%
2016年12月9日 (十一月)09:30,3.3%,2.2%
2016年11月9日 (十月)09:30,1.2%,0.8%
2016年10月14日 (九月)09:30,0.1%,-0.3%
2016年9月9日 (八月)09:30,-0.8%,-0.9%
2016年8月9日 (七月)09:30,-1.7%,-2.0%
2016年7月10日 (六月)09:30,-2.6%,-2.5%
2016年6月9日 (五月)09:30,-2.8%,-3.3%
2016年5月10日 (四月)09:30,-3.4%,-3.8%
2016年4月11日 (三月)09:30,-4.3%,-4.6%
2016年3月10日 (二月)09:30,-4.9%,-4.9%
2016年2月18日 (一月)09:30,-5.3%,-5.4%
2016年1月9日 (十二月)09:30,-5.9%,-5.8%
2015年12月9日 (十一月)09:30,-5.9%,-5.9%
2015年11月10日 (十月)09:30,-5.9%,-5.8%
2015年10月14日 (九月)09:30,-5.9%,-5.9%
2015年9月10日 (八月)09:30,-5.9%,-5.5%
2015年8月9日 (七月)10:00,-5.4%,-5.0%
2015年7月9日 (六月)09:30,-4.8%,-4.5%
2015年6月9日 (五月)09:30,-4.6%,-4.5%
2015年5月9日 (四月)09:30,-4.6%,-4.4%
2015年4月10日 (三月)09:30,-4.6%,-4.8%
2015年3月10日 (二月)09:30,-4.8%,-4.3%
2015年2月10日 (一月)09:30,-4.3%,-3.8%
2015年1月9日 (十二月)09:30,-3.3%,-3.1%
2014年12月10日 (十一月)09:30,-2.7%,-2.4%
2014年11月10日 (十月)09:30,-2.2%,-2.0%
2014年10月15日 (九月)09:30,-1.8%,-1.6%
2014年9月11日09:30,-1.2%,-1.1%
2014年8月9日09:30,-0.9%,-0.9%
2014年7月9日09:30,-1.1%,-1.0%
2014年6月10日09:30,-1.4%,-1.5%
2014年5月9日09:30,-2.0%,-1.8%
2014年4月11日09:30,-2.3%,-2.2%
2014年3月9日09:30,-2.0%,-1.9%
2014年2月14日10:00,-1.6%,-1.7%
2014年1月9日09:30,-1.4%,-1.3%
2013年12月9日09:30,-1.4%,-1.4%
2013年11月9日09:30,-1.5%,-1.4%
2013年10月14日09:30,-1.3%,-1.4%
2013年9月9日09:30,-1.6%,-1.8%
2013年8月9日09:30,-2.3%,-2.2%
2013年7月9日09:30,-2.7%,-2.7%
2013年6月9日09:30,-2.9%,-2.5%
2013年5月9日09:30,-2.6%,-2.3%
2013年4月9日09:30,-1.9%,-1.8%
2013年3月9日09:30,-1.6%,-1.5%
2013年2月8日13:30,-1.6%,-1.6%
2013年1月11日09:30,-1.9%,-1.8%
2012年12月9日09:30,-2.2%,-2.0%
2012年11月9日09:30,-2.8%,-2.7%
2012年10月15日09:30,-3.6%,-3.6%
2012年9月9日09:30,-3.5%,-3.3%
2012年8月9日09:30,-2.9%,-2.5%
2012年7月9日09:30,-2.1%,-1.9%
2012年6月9日09:30,-1.4%,-1.1%
2012年5月11日09:30,-0.7%,-0.5%
2012年4月9日09:30,-0.3%,-0.2%
2012年3月9日09:30,0.0%,0.0%
2012年2月9日09:30,0.7%,0.8%
2012年1月12日09:30,1.7%,1.7%
2011年12月9日09:30,2.7%,3.3%
2011年11月9日09:30,5.0%,5.8%
2011年10月14日10:00,6.5%,6.9%
2011年9月9日10:00,7.3%,7.3%
2011年8月9日10:00,7.5%,7.5%
2011年7月9日09:30,7.1%,6.9%
2011年6月14日10:00,6.8%,6.5%
2011年5月11日10:00,6.8%,7.0%
2011年4月15日10:00,7.3%,7.4%
2011年3月11日10:00,7.2%,6.8%
2011年2月15日10:00,6.6%,6.4%
2011年1月20日10:00,5.9%,5.8%
2010年12月11日10:00,6.1%,5.2%
2010年11月1日 (十月)17:00,5.00%, 
2010年10月1日 (九月)17:00,4.30%, 
