时间,今值,预测值
2017年9月8日 (八月)11:13,5.5%,6.0%
2017年8月8日 (七月)10:50,7.2%,10.9%
2017年7月13日 (六月)11:20,11.3%,8.7%
2017年6月8日 (五月)11:35,8.7%,7.0%
2017年5月8日 (四月)11:40,8.0%,10.4%
2017年4月13日 (三月)10:00,16.4%,3.2%
2017年3月8日 (二月)14:49,-1.3%,12.3%
2017年2月10日 (一月)11:00,7.9%,3.3%
2017年1月13日 (十二月)10:45,-6.1%,-3.5%
2016年12月8日 (十一月)11:54,0.1%,-5.0%
2016年11月8日 (十月)10:40,-7.3%,-6.0%
2016年10月13日 (九月)10:22,-10.0%,-3.0%
2016年9月8日 (八月)10:35,-2.8%,-4.0%
2016年8月8日 (七月)11:05,-4.4%,-3.0%
2016年7月13日 (六月)15:35,-4.8%,-4.1%
2016年6月8日 (五月)11:10,-4.1%,-3.6%
2016年5月8日 (四月)10:29,-1.8%,-0.1%
2016年4月13日 (三月)10:00,11.5%,2.5%
2016年3月8日 (二月)10:41,-25.4%,-12.5%
2016年2月15日 (一月)10:30,-11.2%,-1.9%
2016年1月13日 (十二月)10:55,-1.4%,-8.0%
2015年12月8日 (十一月)10:00,-6.8%,-5.0%
2015年11月8日 (十月)10:00,-6.9%,-3.0%
2015年10月13日 (九月)11:10,-3.7%,-6.3%
2015年9月8日 (八月)11:05,-5.5%,-6.0%
2015年8月8日 (七月)10:00,-8.3%,-1.0%
2015年7月13日 (六月)10:45,2.8%,-0.2%
2015年6月8日 (五月)14:25,-2.5%,-5.0%
2015年5月8日 (四月)10:10,-6.4%,2.4%
2015年4月13日 (三月)10:20,-15.0%,12.0%
2015年3月8日 (二月)10:55,48.3%,14.2%
2015年2月8日 (一月)10:38,-3.3%,6.3%
2015年1月13日 (十二月)10:00,9.7%,6.8%
2014年12月8日 (十一月)10:00,4.7%,7.9%
2014年11月8日 (十月)10:00,11.6%,10.6%
2014年10月13日 (九月)10:00,15.3%,11.8%
2014年9月8日10:00,9.4%,8.0%
2014年8月8日10:00,14.5%,7.5%
2014年7月10日10:00,7.2%,10.6%
2014年6月8日10:00,7.0%,6.6%
2014年5月8日10:00,0.9%,-1.7%
