时间,今值,预测值
2017年8月31日 (八月)09:00,51.7,51.3
2017年7月31日 (七月)09:00,51.4,51.6
2017年6月30日 (六月)09:00,51.7,51.0
2017年5月31日 (五月)09:00,51.2,51.0
2017年4月30日 (四月)09:00,51.2,51.6
2017年3月31日 (三月)09:00,51.8,51.6
2017年3月1日 (二月)09:00,51.6,51.1
2017年2月1日 (一月)09:00,51.3,51.2
2017年1月1日 (十二月)09:00,51.4,51.5
2016年12月1日 (十一月)09:00,51.7,51.0
2016年11月1日 (十月)09:00,51.2,50.4
2016年10月1日 (九月)09:00,50.4,50.4
2016年9月1日 (八月)09:00,50.4,49.9
2016年8月1日 (七月)09:00,49.9,50.0
2016年7月1日 (六月)09:00,50.0,50.0
2016年6月1日 (五月)09:00,50.1,50.0
2016年5月1日 (四月)09:00,50.1,50.4
2016年4月1日 (三月)09:00,50.2,49.3
2016年3月1日 (二月)09:00,49.0,49.3
2016年2月1日 (一月)09:00,49.4,49.6
2016年1月1日 (十二月)09:00,49.7,49.7
2015年12月1日 (十一月)09:00,49.6,49.8
2015年11月1日 (十月)09:00,49.8,50.0
2015年10月1日 (九月)09:00,49.8,49.6
2015年9月1日 (八月)09:00,49.7,49.7
2015年8月1日 (七月)09:00,50.0,50.2
2015年7月1日 (六月)09:00,50.2,50.3
2015年6月1日 (五月)09:00,50.2,50.2
2015年5月1日 (四月)09:00,50.1,50.0
2015年4月1日 (三月)09:00,50.1,49.7
2015年3月1日 (二月)09:00,49.9,49.7
2015年2月1日 (一月)09:00,49.8,50.2
2015年1月1日 (十二月)09:00,50.1,50.1
2014年12月1日 (十一月)09:00,50.3,50.5
2014年11月1日 (十月)09:00,50.8,51.2
2014年10月1日 (九月)09:00,51.1,51.0
2014年9月1日09:00,51.1,51.2
2014年8月1日09:00,51.7,51.4
2014年7月1日09:00,51.0,51.0
2014年6月1日09:00,50.8,50.6
2014年5月1日09:00,50.4,50.5
2014年4月1日09:00,50.3,50.3
2014年3月1日09:00,50.2,50.1
2014年2月1日09:00,50.5,50.5
2014年1月1日09:00,51.0,51.2
2013年12月1日09:00,51.4,51.1
2013年11月1日09:00,51.4,51.2
2013年10月1日09:00,51.1,51.5
2013年9月1日09:00,51.0,50.6
2013年8月1日09:00,50.3,49.9
2013年7月1日09:00,50.10,50.00
2013年6月1日09:00,50.80,50.10
2013年5月1日09:00,50.60,51.00
2013年4月1日09:00,50.90,52.00
2013年3月1日09:00,50.10,50.20
2013年2月1日09:00,50.40,50.90
2013年1月1日09:00,50.60,51.00
2012年12月1日09:00,50.60,50.60
2012年11月1日09:00,50.20,50.30
2012年10月1日09:00,49.80,49.80
2012年9月1日09:00,49.20,50.00
2012年8月1日09:00,50.10,50.30
2012年7月1日09:00,50.20,49.80
2012年6月1日09:00,50.40,52.20
2012年5月1日09:00,53.30,53.60
2012年4月1日09:00,53.10,51.00
2012年3月1日 (二月)17:00,51.00, 
2012年2月1日 (一月)17:00,50.50, 
2012年1月1日 (十二月)17:00,50.30, 
2011年12月1日 (十一月)17:00,49.00, 
2011年11月1日 (十月)17:00,50.40, 
2011年10月1日 (九月)17:00,51.20, 
2011年9月1日 (八月)17:00,50.90, 
2011年8月1日 (七月)17:00,50.70, 
2011年7月1日 (六月)17:00,50.90, 
2011年6月1日 (五月)17:00,52.00, 
2011年5月1日 (四月)17:00,52.90, 
2011年4月1日 (三月)17:00,53.40, 
2011年3月1日 (二月)17:00,52.20, 
2011年2月1日 (一月)17:00,52.90, 
2011年1月1日 (十二月)17:00,53.90, 
2010年12月1日 (十一月)17:00,55.20, 
2010年11月1日 (十月)17:00,54.70, 
2010年10月1日 (九月)17:00,53.80, 
2010年9月1日 (八月)17:00,51.70, 
2010年8月1日 (七月)17:00,51.20, 
2010年7月1日 (六月)17:00,52.10, 
2010年6月1日 (五月)17:00,53.90, 
2010年5月1日 (四月)17:00,55.70, 
2010年4月1日 (三月)17:00,55.10, 
2010年3月1日 (二月)17:00,52.00, 
2010年2月1日 (一月)17:00,55.80, 
2010年1月1日 (十二月)17:00,56.60, 
2009年12月1日 (十一月)17:00,55.20, 
2009年11月1日 (十月)17:00,55.20, 
2009年10月1日 (九月)17:00,54.30, 
2009年9月1日 (八月)17:00,54.00, 
2009年8月1日 (七月)17:00,53.30, 
2009年7月1日 (六月)17:00,53.20, 
2009年6月1日 (五月)17:00,53.10, 
2009年5月1日 (四月)17:00,53.50, 
2009年4月1日 (三月)17:00,52.40, 
2009年3月1日 (二月)17:00,49.00, 
2009年2月1日 (一月)17:00,45.30, 
2009年1月1日 (十二月)17:00,41.20, 
2008年12月1日 (十一月)17:00,38.80, 
