时间,今值,预测值
2017年8月31日 (八月)09:00,53.4, 
2017年7月31日 (七月)09:00,54.5, 
2017年6月30日 (六月)09:00,54.9, 
2017年5月31日 (五月)09:00,54.5, 
2017年4月30日 (四月)09:00,54.0, 
2017年3月31日 (三月)09:00,55.1, 
2017年3月1日 (二月)09:00,54.2, 
2017年2月1日 (一月)09:00,54.6, 
2017年1月1日 (十二月)09:00,54.5, 
2016年12月1日 (十一月)09:00,54.7, 
2016年11月1日 (十月)09:00,54.0, 
2016年10月1日 (九月)09:00,53.7, 
2016年9月1日 (八月)09:00,53.5, 
2016年8月1日 (七月)09:00,53.9, 
2016年7月1日 (六月)09:00,53.7, 
2016年6月1日 (五月)09:00,53.1, 
2016年5月1日 (四月)09:00,53.5, 
2016年4月1日 (三月)09:00,53.8, 
2016年3月1日 (二月)09:00,52.7, 
2016年2月1日 (一月)09:00,53.5, 
2016年1月1日 (十二月)09:00,54.4, 
2015年12月1日 (十一月)09:00,53.6, 
2015年11月1日 (十月)09:00,53.1, 
2015年10月1日 (九月)09:00,53.4, 
2015年9月1日 (八月)09:00,53.4, 
2015年8月1日 (七月)09:00,53.9, 
2015年7月1日 (六月)09:00,53.8, 
2015年6月1日 (五月)09:00,53.2, 
2015年5月1日 (四月)09:00,53.4, 
2015年4月1日 (三月)09:00,53.7, 
2015年3月1日 (二月)09:00,53.9, 
2015年2月1日 (一月)09:00,53.7, 
2015年1月1日 (十二月)09:10,54.1, 
2014年12月3日 (十一月)09:00,53.9, 
2014年11月3日 (十月)09:00,53.8, 
2014年10月3日 (九月)09:00,54.0, 
2014年9月3日09:00,54.4, 
2014年8月3日09:00,54.2, 
2014年7月3日09:00,55.0, 
2014年6月3日09:00,55.5, 
2014年5月3日09:00,54.8, 
2014年4月3日09:00,54.5, 
2014年3月3日09:00,55.0, 
2014年2月3日09:00,53.4, 
2014年1月3日09:00,54.6, 
2013年12月3日09:00,56.0, 
2013年11月3日09:00,56.30, 
2013年10月3日09:00,55.40, 
2013年9月3日09:00,53.90, 
2013年8月3日09:00,54.10, 
2013年7月3日09:00,53.90, 
2013年6月3日09:00,54.30, 
2013年5月3日09:00,54.50, 
2013年4月3日09:00,55.60, 
2013年3月3日09:00,54.50, 
2013年2月3日09:00,56.20, 
2013年1月3日09:00,56.10, 
2012年12月3日09:00,55.60, 
2012年11月3日09:00,55.50, 
2012年10月3日09:00,53.70, 
2012年9月3日09:00,56.30, 
2012年8月3日09:00,55.60, 
2012年7月1日 (六月)17:00,56.70, 
2012年6月1日 (五月)17:00,55.20, 
2012年5月1日 (四月)17:00,56.10, 
2012年4月1日 (三月)17:00,58.00, 
2012年3月1日 (二月)17:00,57.30, 
2012年2月1日 (一月)17:00,55.70, 
2012年1月1日 (十二月)17:00,56.30, 
2011年12月1日 (十一月)17:00,55.90, 
2011年11月1日 (十月)17:00,55.50, 
2011年10月1日 (九月)17:00,55.80, 
2011年9月1日 (八月)17:00,57.10, 
2011年8月1日 (七月)17:00,57.30, 
2011年7月1日 (六月)17:00,56.60, 
2011年6月1日 (五月)17:00,58.70, 
2011年5月1日 (四月)17:00,58.20, 
2011年4月1日 (三月)17:00,59.20, 
2011年3月1日 (二月)17:00,57.00, 
2011年2月1日 (一月)17:00,57.20, 
2011年1月1日 (十二月)17:00,58.80, 
2010年12月1日 (十一月)17:00,58.90, 
2010年11月1日 (十月)17:00,57.40, 
2010年10月1日 (九月)17:00,57.90, 
2010年9月1日 (八月)17:00,58.00, 
2010年8月1日 (七月)17:00,57.10, 
2010年7月1日 (六月)17:00,58.80, 
2010年6月1日 (五月)17:00,58.10, 
2010年5月1日 (四月)17:00,57.80, 
2010年4月1日 (三月)17:00,57.30, 
2010年3月1日 (二月)17:00,57.00, 
2010年2月1日 (一月)17:00,58.10, 
2010年1月1日 (十二月)17:00,58.80, 
2009年12月1日 (十一月)17:00,58.40, 
2009年11月1日 (十月)17:00,59.50, 
2009年10月1日 (九月)17:00,57.90, 
2009年9月1日 (八月)17:00,57.30, 
2009年8月1日 (七月)17:00,57.30, 
2009年7月1日 (六月)17:00,55.40, 
2009年6月1日 (五月)17:00,54.90, 
2009年5月1日 (四月)17:00,53.50, 
2009年4月1日 (三月)17:00,54.40, 
2009年3月1日 (二月)17:00,55.10, 
2009年2月1日 (一月)17:00,53.70, 
2009年1月1日 (十二月)17:00,50.80, 
2008年12月1日 (十一月)17:00,51.20, 
2008年11月1日 (十月)17:00,53.10, 
2008年10月1日 (九月)17:00,55.00, 
2008年9月1日 (八月)17:00,52.90, 
2008年8月1日 (七月)17:00,55.70, 
2008年7月1日 (六月)17:00,57.40, 
2008年6月1日 (五月)17:00,57.40, 
2008年5月1日 (四月)17:00,58.40, 
2008年4月1日 (三月)17:00,58.90, 
2008年3月1日 (二月)17:00,59.30, 
2008年2月1日 (一月)17:00,60.20, 
2008年1月1日 (十二月)17:00,60.20, 
2007年12月1日 (十一月)17:00,60.60, 
2007年11月1日 (十月)17:00,61.40, 
2007年10月1日 (九月)17:00,61.90, 
2007年9月1日 (八月)17:00,61.70, 
2007年8月1日 (七月)17:00,59.40, 
2007年7月1日 (六月)17:00,60.00, 
2007年6月1日 (五月)17:00,62.20, 
2007年5月1日 (四月)17:00,60.40, 
2007年4月1日 (三月)17:00,58.20, 
2007年3月1日 (二月)17:00,60.60, 
2007年2月1日 (一月)17:00,60.40, 
