时间,今值,预测值
2017年9月1日 (八月)09:45,51.6,50.9
2017年8月1日 (七月)09:45,51.1,50.4
2017年7月3日 (六月)09:45,50.4,49.5
2017年6月1日 (五月)09:45,49.6,50.1
2017年5月2日 (四月)09:45,50.3,51.2
2017年4月1日 (三月)09:45,51.2,51.6
2017年3月1日 (二月)09:45,51.7,50.8
2017年2月3日 (一月)09:45,51.0,51.8
2017年1月3日 (十二月)09:45,51.9,50.7
2016年12月1日 (十一月)09:45,50.9,50.8
2016年11月1日 (十月)09:45,51.2,50.2
2016年9月30日 (九月)09:45,50.1,50.1
2016年9月1日 (八月)09:45,50.0,50.1
2016年8月1日 (七月)09:45,50.6,48.7
2016年7月1日 (六月)09:45,48.6,49.1
2016年6月1日 (五月)09:45,49.2,49.3
2016年5月3日 (四月)09:45,49.4,49.9
2016年4月1日 (三月)09:45,49.7,48.2
2016年3月1日 (二月)09:45,48.0,48.3
2016年2月1日 (一月)09:45,48.4,48.0
2016年1月4日 (十二月)09:45,48.2,49.0
2015年12月1日 (十一月)09:45,48.6,48.3
2015年11月2日 (十月)09:45,48.3,47.5
2015年10月1日 (九月)09:45,47.2,47.2
2015年9月23日 (九月)09:45  ,47.0,47.5
2015年9月1日 (八月)09:45,47.3,47.2
2015年8月21日 (八月)09:45  ,47.1,47.7
2015年8月3日 (七月)09:45,47.8,48.3
2015年7月24日 (七月)09:45  ,48.2,49.7
2015年7月1日 (六月)09:45,49.4,49.6
2015年6月23日 (六月)09:45  ,49.6,49.4
2015年6月1日 (五月)09:45,49.2,49.2
2015年5月21日 (五月)09:45  ,49.1,49.3
2015年5月4日 (四月)09:45,48.9,49.4
2015年4月23日 (四月)09:45  ,49.2,49.6
2015年4月1日 (三月)09:45,49.6,49.3
2015年3月24日 (三月)09:45  ,49.2,50.6
2015年3月2日 (二月)09:45,50.7,50.1
2015年2月25日 (二月)09:45  ,50.1,49.5
2015年2月2日 (一月)09:45,49.7,49.8
2015年1月23日 (一月)09:45  ,49.8,49.6
2014年12月31日 (十二月)09:45,49.6,49.5
2014年12月16日 (十二月)09:45  ,49.5,49.9
2014年12月1日 (十一月)09:45,50.0,50.0
2014年11月20日 (十一月)09:45  ,50.0,50.3
2014年11月3日 (十月)09:45,50.4,50.4
2014年10月23日 (十月)09:45  ,50.4,50.3
2014年9月30日 (九月)09:45,50.2,50.5
2014年9月23日 (九月)09:45  ,50.5,50.0
2014年9月1日09:45,50.2,50.3
2014年8月21日09:45  ,50.3,51.5
2014年8月1日09:45,51.7,52.0
2014年7月24日09:45  ,52.0,51.0
2014年7月1日09:45,50.7,50.8
2014年6月23日09:45  ,50.8,49.7
2014年6月3日09:45,49.4,49.7
2014年5月22日09:45  ,49.7,48.1
2014年5月5日09:45,48.1,48.4
2014年4月23日09:45  ,48.3,48.4
2014年4月1日09:45,48.0,48.1
2014年3月24日09:45  ,48.1,48.7
2014年3月3日09:45,48.5,48.5
2014年2月20日09:45  ,48.3,49.4
2014年1月30日09:45,49.5,49.6
2014年1月23日09:45  ,49.6,50.6
2014年1月2日09:45,50.5,50.5
2013年12月16日09:45  ,50.5,51.0
2013年12月2日09:45,50.8,50.5
2013年11月21日09:45  ,50.4,50.8
2013年11月1日09:45,50.9,50.7
2013年10月24日09:45  ,50.9,50.5
2013年9月30日09:45,50.2,51.2
2013年9月23日09:45  ,51.2,50.9
2013年9月2日09:45,50.1,50.2
2013年8月22日09:45  ,50.1,48.3
2013年8月1日09:45,47.7,47.7
2013年7月24日09:45  ,47.7,48.6
2013年7月1日09:45,48.2,48.3
2013年6月20日09:45  ,48.3,49.4
2013年6月3日09:45,49.20,49.60
2013年5月23日09:45  ,49.60,50.50
2013年5月2日09:45,50.40,50.60
2013年4月23日09:45  ,50.50,51.40
2013年4月1日09:45,51.60,51.70
2013年3月21日09:45  ,51.70,51.20
2013年3月1日09:45,50.40,50.40
2013年2月25日09:45  ,50.40,52.20
2013年2月1日09:45,52.30,52.10
2013年1月24日09:45  ,51.90, 
2012年12月31日09:45,51.50,50.90
2012年12月14日09:45  ,50.90, 
2012年12月3日09:45,50.50,50.40
2012年11月22日09:45  ,50.40, 
2012年11月1日09:45,49.50,49.10
2012年10月24日09:45  ,49.10, 
2012年9月29日10:30,47.90, 
2012年9月20日10:30  ,47.80, 
2012年9月3日10:30,47.60, 
2012年8月23日10:30  ,47.80, 
2012年8月1日10:30,49.30, 
2012年7月24日10:30  ,49.50, 
2012年7月2日10:30,48.20, 
2012年6月21日10:30  ,48.10, 
2012年6月1日10:30,48.40, 
2012年5月24日10:30  ,48.70, 
2012年5月2日10:30,49.30, 
2012年4月23日10:30  ,49.10, 
2012年3月22日11:30  ,48.10, 
2012年2月22日11:30  ,49.70, 
2012年1月20日11:30  ,48.80, 
