时间,今值,预测值
2017年9月5日 (八月)09:45,52.7,51.8
2017年8月3日 (七月)09:45,51.5,51.9
2017年7月5日 (六月)09:45,51.6,52.9
2017年6月5日 (五月)09:45,52.8,51.4
2017年5月4日 (四月)09:45,51.5,52.6
2017年4月6日 (三月)09:45,52.2,53.2
2017年3月3日 (二月)09:45,52.6,53.3
2017年2月6日 (一月)09:45,53.1,53.6
2017年1月5日 (十二月)09:45,53.4,53.3
2016年12月5日 (十一月)09:45,53.1,52.7
2016年11月3日 (十月)09:45,52.4,52.5
2016年10月8日 (九月)09:45,52.0, 
2016年9月5日 (八月)09:45,52.1,51.9
2016年8月3日 (七月)09:45,51.7,52.9
2016年7月5日 (六月)09:45,52.7,52.3
2016年6月3日 (五月)09:45,51.2,52.0
2016年5月5日 (四月)09:45,51.8,52.6
2016年4月6日 (三月)09:45,52.2,51.4
2016年3月3日 (二月)09:45,51.2,52.6
2016年2月3日 (一月)09:45,52.4,50.5
2016年1月6日 (十二月)09:45,50.2,52.3
2015年12月3日 (十一月)09:45,51.2,53.1
2015年11月4日 (十月)09:45,52.0,50.8
2015年10月1日 (九月)09:45,50.5,51.2
2015年9月1日 (八月)09:45,51.5,53.9
2015年8月5日 (七月)09:45,53.8,52.2
2015年7月3日 (六月)09:45,51.8,53.8
2015年6月3日 (五月)09:45,53.5,53.3
2015年5月6日 (四月)09:45,52.9,53.1
2015年4月3日 (三月)09:45,52.3, 
2015年3月4日 (二月)09:45,52.0, 
2015年2月4日 (一月)09:45,51.8,52.8
2015年1月6日 (十二月)09:45,53.4,52.8
2014年12月3日 (十一月)09:45,53.0,52.5
2014年11月5日 (十月)09:45,52.9,53.9
2014年10月8日 (九月)09:45,53.5,53.8
2014年9月3日09:45,54.1, 
2014年8月5日09:45,50.0, 
2014年7月3日09:45,53.1, 
2014年6月5日09:45,50.7, 
2014年5月7日09:45,51.4, 
2014年4月3日09:45,51.9, 
2014年3月5日09:45,51.0, 
2014年2月7日09:45,50.7, 
2014年1月6日09:45,50.9, 
2013年12月4日09:45,52.5, 
2013年11月5日09:45,52.6, 
2013年10月8日09:45,52.4, 
2013年9月4日09:45,52.8, 
2013年8月5日09:45,51.3, 
2013年7月3日09:45,51.3, 
2013年6月5日09:45,51.2, 
2013年5月6日09:45,51.1, 
2013年4月3日09:45,54.3, 
2013年3月5日09:45,52.1, 
2013年2月5日09:45,54.0, 
2013年1月4日09:45,51.7, 
2012年12月5日09:45,52.1, 
2012年11月5日09:45,53.5, 
2012年10月8日10:30,54.3, 
2012年9月5日10:30,52.0, 
2012年8月3日10:30,53.1, 
2012年7月4日10:30,52.3, 
2012年6月5日10:30,54.7, 
2012年5月4日10:30,54.1, 
2012年4月5日10:30,53.3, 
