时间,今值,预测值
2017年9月8日 (八月)11:13,41.99B,48.60B
2017年8月8日 (七月)10:50,46.74B,46.08B
2017年7月13日 (六月)11:20,42.77B,42.44B
2017年6月8日 (五月)11:35,40.81B,46.32B
2017年5月8日 (四月)11:40,38.05B,35.50B
2017年4月13日 (三月)10:00,23.92B,10.00B
2017年3月8日 (二月)14:49,-9.15B,25.75B
2017年2月10日 (一月)11:00,51.35B,47.90B
2017年1月13日 (十二月)10:45,40.82B,46.50B
2016年12月8日 (十一月)11:54,44.61B,46.30B
2016年11月8日 (十月)10:40,49.06B,51.70B
2016年10月13日 (九月)10:21,41.99B,53.00B
2016年9月8日 (八月)10:35,52.05B,58.00B
2016年8月8日 (七月)11:05,52.31B,47.60B
2016年7月13日 (六月)15:35,48.11B,46.64B
2016年6月8日 (五月)11:10,49.98B,58.00B
2016年5月8日 (四月)10:28,45.56B,40.00B
2016年4月13日 (三月)10:20,29.86B,30.85B
2016年3月8日 (二月)10:40,32.59B,50.15B
2016年2月15日 (一月)10:30,63.29B,58.85B
2016年1月13日 (十二月)10:55,60.09B,53.00B
2015年12月8日 (十一月)10:00,54.10B,63.30B
2015年11月8日 (十月)10:00,61.64B,64.75B
2015年10月13日 (九月)11:10,60.34B,46.79B
2015年9月8日 (八月)11:05,60.24B,48.20B
2015年8月8日 (七月)10:00,43.03B,53.25B
2015年7月13日 (六月)10:45,46.54B,55.70B
2015年6月8日 (五月)14:25,59.49B,44.95B
2015年5月8日 (四月)10:10,34.13B,39.45B
2015年4月13日 (三月)10:20,3.08B,45.35B
2015年3月8日 (二月)10:55,60.60B,10.80B
2015年2月8日 (一月)10:38,60.03B,48.90B
2015年1月13日 (十二月)10:00,49.60B,49.85B
2014年12月8日 (十一月)10:00,54.47B,43.15B
2014年11月8日 (十月)10:00,45.41B,42.00B
2014年10月13日 (九月)10:00,31.00B,41.00B
2014年9月8日10:00,49.83B,40.00B
2014年8月8日10:00,47.30B,27.00B
2014年7月10日10:00,31.60B,34.99B
2014年6月8日10:00,35.92B,22.60B
2014年5月8日10:00,18.45B,13.90B
2014年4月10日10:00,7.71B,0.90B
2014年3月8日10:00,-22.98B,14.50B
2014年2月12日10:00,31.86B,23.65B
2014年1月10日10:00,25.60B,31.15B
2013年12月8日10:00,33.80B,21.70B
2013年11月8日10:38,31.10B,23.90B
2013年10月12日10:00,15.20B,27.70B
2013年9月8日10:00,28.61B,20.00B
2013年8月8日11:05,17.82B,27.20B
2013年7月10日10:00,27.10B,27.00B
2013年6月8日10:15,20.40B,19.30B
2013年5月8日10:00,18.16B,15.05B
2013年4月10日10:00,-0.88B,15.40B
2013年3月8日10:00,15.25B,-8.80B
2013年2月8日10:10,29.15B,22.00B
2013年1月10日10:00,31.60B,19.70B
2012年12月10日10:10,19.60B,25.70B
2012年11月10日10:00,32.00B,26.85B
2012年10月13日10:00,27.70B,20.40B
2012年9月10日09:00,26.66B,19.80B
2012年8月10日11:00,25.10B,35.10B
2012年7月10日11:00,31.73B,21.00B
2012年6月10日11:00,18.70B,16.30B
2012年5月10日11:05,18.40B,8.50B
2012年4月10日11:05,5.35B,-1.30B
2012年3月10日11:00,-31.50B,-8.20B
2012年2月10日11:05,27.30B,10.80B
2012年1月10日11:00,16.50B,8.50B
2011年12月10日11:00,14.50B,15.40B
2011年11月10日10:00,17.00B,26.10B
2011年10月13日10:00,14.50B,16.90B
2011年9月10日11:00,17.80B,24.70B
2011年8月10日11:00,31.50B,27.40B
2011年7月10日10:45,22.30B,14.10B
2011年6月10日11:00,13.10B,19.80B
2011年5月10日11:00,11.40B,10.00B
2011年4月10日10:00,0.10B,-3.40B
2011年3月10日11:00,-7.30B,4.00B
2011年2月14日12:05,6.50B,9.00B
2011年1月10日11:00,13.10B,24.00B
2010年12月10日10:00,22.90B,22.00B
2010年11月9日10:00,27.20B,20.00B
2010年10月1日 (九月)17:00,16.88B, 
2010年9月1日 (八月)17:00,19.98B, 
2010年8月1日 (七月)17:00,28.65B, 
2010年7月1日 (六月)17:00,20.15B, 
2010年6月1日 (五月)17:00,19.49B, 
2010年5月1日 (四月)17:00,1.44B, 
2010年4月1日 (三月)17:00,-7.38B, 
2010年3月1日 (二月)17:00,7.43B, 
2010年2月1日 (一月)17:00,13.98B, 
2010年1月1日 (十二月)17:00,18.39B, 
2009年12月1日 (十一月)17:00,18.70B, 
2009年11月1日 (十月)17:00,23.79B, 
2009年10月1日 (九月)17:00,12.67B, 
2009年9月1日 (八月)17:00,15.42B, 
2009年8月1日 (七月)17:00,10.24B, 
2009年7月1日 (六月)17:00,7.95B, 
2009年6月1日 (五月)17:00,13.03B, 
2009年5月1日 (四月)17:00,12.94B, 
2009年4月1日 (三月)17:00,18.37B, 
2009年3月1日 (二月)17:00,4.81B, 
2009年2月1日 (一月)17:00,39.11B, 
2009年1月1日 (十二月)17:00,39.01B, 
2008年12月1日 (十一月)17:00,40.33B, 
2008年11月1日 (十月)17:00,35.78B, 
2008年10月1日 (九月)17:00,29.97B, 
2008年9月1日 (八月)17:00,29.39B, 
2008年8月1日 (七月)17:00,25.42B, 
2008年7月1日 (六月)17:00,20.87B, 
2008年6月1日 (五月)17:00,19.92B, 
2008年5月1日 (四月)17:00,16.61B, 
2008年4月1日 (三月)17:00,13.13B, 
2008年3月1日 (二月)17:00,8.22B, 
2008年2月1日 (一月)17:00,19.48B, 
2008年1月1日 (十二月)17:00,22.69B, 
2007年12月1日 (十一月)17:00,26.39B, 
2007年11月1日 (十月)17:00,27.20B, 
2007年10月1日 (九月)17:00,24.09B, 
2007年9月1日 (八月)17:00,25.20B, 
2007年8月1日 (七月)17:00,24.48B, 
2007年7月1日 (六月)17:00,26.92B, 
2007年6月1日 (五月)17:00,22.43B, 
2007年5月1日 (四月)17:00,16.73B, 
2007年4月1日 (三月)17:00,6.89B, 
2007年3月1日 (二月)17:00,23.79B, 
2007年2月1日 (一月)17:00,15.87B, 
2007年1月1日 (十二月)17:00,21.00B, 
2006年12月1日 (十一月)17:00,22.90B, 
2006年11月1日 (十月)17:00,23.83B, 
2006年10月1日 (九月)17:00,15.31B, 
2006年9月1日 (八月)17:00,18.81B, 
2006年8月1日 (七月)17:00,14.57B, 
2006年7月1日 (六月)17:00,14.42B, 
2006年6月1日 (五月)17:00,12.95B, 
2006年5月1日 (四月)17:00,10.38B, 
2006年4月1日 (三月)17:00,11.15B, 
2006年3月1日 (二月)17:00,2.53B, 
2006年2月1日 (一月)17:00,9.63B, 
2006年1月1日 (十二月)17:00,11.02B, 
2005年12月1日 (十一月)17:00,10.54B, 
2005年11月1日 (十月)17:00,11.98B, 
2005年10月1日 (九月)17:00,7.58B, 
2005年9月1日 (八月)17:00,10.60B, 
2005年8月1日 (七月)17:00,10.64B, 
2005年7月1日 (六月)17:00,9.72B, 
2005年6月1日 (五月)17:00,9.02B, 
2005年5月1日 (四月)17:00,4.43B, 
2005年4月1日 (三月)17:00,5.64B, 
2005年3月1日 (二月)17:00,4.38B, 
2005年2月1日 (一月)17:00,6.47B, 
2005年1月1日 (十二月)17:00,11.11B, 
2004年12月1日 (十一月)17:00,9.93B, 
2004年11月1日 (十月)17:00,7.07B, 
2004年10月1日 (九月)17:00,5.04B, 
2004年9月1日 (八月)17:00,4.52B, 
2004年8月1日 (七月)17:00,1.97B, 
2004年7月1日 (六月)17:00,1.62B, 
2004年6月1日 (五月)17:00,1.86B, 
2004年5月1日 (四月)17:00,-2.42B, 
2004年4月1日 (三月)17:00,-0.63B, 
2004年3月1日 (二月)17:00,-7.97B, 
2004年2月1日 (一月)17:00,0.00B, 
2004年1月1日 (十二月)17:00,5.75B, 
2003年12月1日 (十一月)17:00,4.89B, 
2003年11月1日 (十月)17:00,5.74B, 
2003年10月1日 (九月)17:00,0.30B, 
2003年9月1日 (八月)17:00,2.80B, 
2003年8月1日 (七月)17:00,1.59B, 
2003年7月1日 (六月)17:00,2.13B, 
2003年6月1日 (五月)17:00,2.21B, 
2003年5月1日 (四月)17:00,1.02B, 
2003年4月1日 (三月)17:00,-0.41B, 
2003年3月1日 (二月)17:00,0.70B, 
2003年2月1日 (一月)17:00,-1.26B, 
2003年1月1日 (十二月)17:00,3.16B, 
2002年12月1日 (十一月)17:00,2.50B, 
2002年11月1日 (十月)17:00,4.75B, 
2002年10月1日 (九月)17:00,2.16B, 
2002年9月1日 (八月)17:00,2.21B, 
2002年8月1日 (七月)17:00,2.20B, 
2002年7月1日 (六月)17:00,2.91B, 
2002年6月1日 (五月)17:00,2.20B, 
2002年5月1日 (四月)17:00,0.98B, 
2002年4月1日 (三月)17:00,1.40B, 
2002年3月1日 (二月)17:00,3.22B, 
2002年2月1日 (一月)17:00,2.72B, 
2002年1月1日 (十二月)17:00,2.12B, 
2001年12月1日 (十一月)17:00,3.16B, 
2001年11月1日 (十月)17:00,3.88B, 
2001年10月1日 (九月)17:00,2.14B, 
2001年9月1日 (八月)17:00,1.36B, 
2001年8月1日 (七月)17:00,1.87B, 
2001年7月1日 (六月)17:00,0.80B, 
2001年6月1日 (五月)17:00,2.01B, 
2001年5月1日 (四月)17:00,0.93B, 
2001年4月1日 (三月)17:00,2.28B, 
2001年3月1日 (二月)17:00,0.74B, 
2001年2月1日 (一月)17:00,1.26B, 
2001年1月1日 (十二月)17:00,0.57B, 
2000年12月1日 (十一月)17:00,0.51B, 
2000年11月1日 (十月)17:00,3.83B, 
2000年10月1日 (九月)17:00,2.26B, 
2000年9月1日 (八月)17:00,2.54B, 
2000年8月1日 (七月)17:00,1.99B, 
2000年7月1日 (六月)17:00,1.90B, 
2000年6月1日 (五月)17:00,3.15B, 
2000年5月1日 (四月)17:00,2.16B, 
2000年4月1日 (三月)17:00,2.33B, 
2000年3月1日 (二月)17:00,1.35B, 
2000年2月1日 (一月)17:00,1.52B, 
2000年1月1日 (十二月)17:00,2.83B, 
1999年12月1日 (十一月)17:00,2.56B, 
1999年11月1日 (十月)17:00,4.44B, 
1999年10月1日 (九月)17:00,3.31B, 
1999年9月1日 (八月)17:00,4.87B, 
