时间,今值,预测值
2017年9月8日 (八月)11:13,13.3%,10.0%
2017年8月8日 (七月)10:50,11.0%,16.6%
2017年7月13日 (六月)11:20,17.2%,13.1%
2017年6月8日 (五月)11:35,14.8%,8.5%
2017年5月8日 (四月)11:40,11.9%,18.0%
2017年4月13日 (三月)10:00,20.3%,18.0%
2017年3月8日 (二月)14:49,38.1%,20.0%
2017年2月10日 (一月)11:00,16.7%,10.0%
2017年1月13日 (十二月)10:45,3.1%,2.7%
2016年12月8日 (十一月)11:54,6.7%,-1.3%
2016年11月8日 (十月)10:40,-1.4%,-1.0%
2016年10月13日 (九月)10:22,-1.9%,1.0%
2016年9月8日 (八月)10:35,1.5%,-4.9%
2016年8月8日 (七月)11:05,-12.5%,-7.0%
2016年7月13日 (六月)15:35,-8.4%,-5.0%
2016年6月8日 (五月)11:10,-0.4%,-6.0%
2016年5月8日 (四月)10:29,-10.9%,-5.0%
2016年4月13日 (三月)11:00,-7.6%,-10.2%
2016年3月8日 (二月)10:41,-13.8%,-10.0%
2016年2月15日 (一月)10:30,-18.8%,-0.8%
2016年1月13日 (十二月)10:55,-7.6%,-11.5%
2015年12月8日 (十一月)10:00,-8.7%,-12.6%
2015年11月8日 (十月)10:00,-18.8%,-16.0%
2015年10月13日 (九月)11:10,-20.4%,-15.0%
2015年9月8日 (八月)11:05,-13.8%,-8.2%
2015年8月8日 (七月)10:00,-8.1%,-8.0%
2015年7月13日 (六月)10:45,-6.1%,-15.0%
2015年6月8日 (五月)14:25,-17.6%,-10.7%
2015年5月8日 (四月)10:10,-16.2%,-12.0%
2015年4月13日 (三月)10:20,-12.7%,-11.7%
2015年3月8日 (二月)10:55,-20.5%,-10.0%
2015年2月8日 (一月)10:38,-19.9%,-3.0%
2015年1月13日 (十二月)10:00,-2.4%,-7.4%
2014年12月8日 (十一月)10:00,-6.7%,3.5%
2014年11月8日 (十月)10:00,4.6%,5.5%
2014年10月13日 (九月)10:00,7.0%,-2.7%
2014年9月8日10:00,-2.4%,1.7%
2014年8月8日10:00,-1.6%,3.0%
2014年7月10日10:00,5.5%,5.8%
2014年6月8日10:00,-1.6%,6.1%
2014年5月8日10:00,0.8%,-2.3%
2014年4月10日10:00,-11.3%,2.4%
2014年3月8日10:00,10.1%,8.0%
2014年2月12日10:00,10.0%,3.0%
2014年1月10日10:00,8.3%,5.3%
2013年12月8日10:00,5.3%,7.2%
2013年11月8日10:38,7.6%,8.5%
2013年10月12日10:00,7.4%,7.0%
