时间,今值,预测值
2017年8月31日 (第二季度)20:30,4.5%,3.7%
2017年5月31日 (第一季度)20:30,3.7%,3.9%
2017年3月2日 (第四季度)21:30,2.6%,2.0%
2016年11月30日 (第三季度)21:30,3.5%,3.4%
2016年8月31日 (第二季度)20:30,-1.6%,-1.5%
2016年5月31日 (第一季度)20:30,2.4%,2.9%
2016年3月1日 (第四季度)21:30,0.8%,0.1%
2015年12月1日 (第三季度)21:30,2.3%,2.4%
2015年9月1日 (第二季度)20:30,-0.5%,-1.0%
2015年5月29日 (第一季度)20:30,-0.6%,0.3%
2015年3月3日 (第四季度)21:30,2.4%,2.2%
2014年11月28日 (第三季度)21:30,2.8%,2.1%
2014年8月29日 (第二季度)20:30,3.1%,2.7%
2014年5月30日20:30,1.2%,1.8%
2014年2月28日21:30,2.9%,2.5%
2013年11月29日21:30,2.7%,2.5%
2013年8月30日20:30,1.7%,1.5%
2013年5月31日20:30,2.5%,2.3%
