时间,今值,预测值
2017年9月29日 (七月)20:30, ,0.1%
2017年8月31日 (六月)20:30,0.3%,0.1%
2017年7月28日 (五月)20:30,0.6%,0.2%
2017年6月30日 (四月)20:30,0.2%,0.2%
2017年5月31日 (三月)20:30,0.5%,0.2%
2017年4月28日 (二月)20:30,0.0%,0.1%
2017年3月31日 (一月)20:30,0.6%,0.3%
2017年3月2日 (十二月)21:30,0.3%,0.3%
2017年1月31日 (十一月)21:30,0.4%,0.3%
2016年12月23日 (十月)21:30,-0.3%,0.1%
2016年11月30日 (九月)21:30,0.3%,0.1%
2016年11月1日 (八月)20:30,0.2%,0.2%
2016年9月30日 (七月)20:30,0.5%,0.3%
2016年8月31日 (六月)20:30,0.6%,0.4%
2016年7月29日 (五月)20:30,-0.6%,-0.4%
2016年6月30日 (四月)20:30,0.1%,0.1%
2016年5月31日 (三月)20:30,-0.2%,-0.1%
2016年4月29日 (二月)20:30,-0.1%,-0.1%
2016年3月31日 (一月)20:30,0.6%,0.3%
2016年3月1日 (十二月)21:30,0.2%,0.1%
2016年1月29日 (十一月)21:30,0.3%,0.3%
2015年12月23日 (十月)21:30,0.0%,0.2%
2015年12月1日 (九月)21:30,-0.5%,0.1%
2015年10月30日 (八月)20:30,0.1%,0.1%
2015年9月30日 (七月)20:30,0.3%,0.2%
2015年9月1日 (六月)20:30,0.5%,0.2%
2015年7月31日 (五月)20:30,-0.2%,0.1%
2015年6月30日 (四月)20:30,-0.1%,0.1%
2015年5月29日 (三月)20:30,-0.2%,0.2%
2015年4月30日 (二月)20:30,0.0%,-0.1%
2015年3月31日 (一月)20:30,-0.1%,0.2%
2015年3月3日 (十二月)21:30,0.3%,0.1%
2015年1月30日 (十一月)21:30,-0.2%,-0.1%
2014年12月23日 (十月)21:30,0.3%,0.1%
2014年11月28日 (九月)21:30,0.4%,0.4%
2014年10月31日 (八月)20:30,-0.1%,0.0%
2014年9月30日 (七月)20:30,0.0%,0.2%
2014年8月29日20:30,0.3%,0.3%
2014年7月31日20:30,0.4%,0.3%
2014年6月30日20:30,0.1%,0.2%
2014年5月30日20:30,0.1%,0.1%
2014年4月30日20:30,0.2%,0.2%
2014年3月31日20:30,0.5%,0.4%
2014年2月28日21:30,-0.5%,-0.2%
2014年1月31日21:30,0.2%,0.2%
2013年12月23日21:30,0.3%,0.1%
2013年11月29日21:30,0.3%,0.1%
2013年10月31日20:30,0.3%,0.2%
2013年9月30日20:30,0.6%,1.0%
2013年8月30日20:30,-0.5%,-1.0%
2013年7月31日20:30,0.2%,0.2%
2013年6月28日20:30,0.1%,0.0%
2013年5月31日20:30,0.2%,0.1%
2013年4月30日20:30,0.3%,0.2%
2013年3月28日20:30,0.2%,0.1%
2013年3月1日21:30,-0.2%,-0.1%
2013年1月31日21:30,0.3%,0.2%
2012年12月21日21:30,0.1%,0.1%
2012年11月30日21:30,0.0%,0.0%
2012年10月31日20:30,-0.1%,0.2%
2012年9月28日20:30,0.2%,0.2%
2012年8月31日20:30,0.2%,0.1%
2012年7月31日20:30,0.1%,0.2%
2012年6月29日20:30,0.3%,0.2%
2012年6月1日20:30,0.1%,0.3%
2012年4月30日20:30,-0.2%,0.2%
2012年3月30日20:30,0.1%,0.1%
2012年3月2日21:30,0.4%,0.3%
2012年1月31日21:30,-0.1%,0.2%
2011年12月23日21:30,0.0%,0.1%
2011年11月30日21:30,0.2%,0.2%
2011年10月31日20:30,0.3%,0.2%
2011年9月30日20:30,0.3%,0.3%
2011年8月31日20:30,0.2%,0.1%
2011年7月29日20:30,-0.3%,0.1%
2011年6月30日20:30,0.0%,-0.1%
2011年5月30日20:30,0.3%,0.2%
2011年4月29日20:30,-0.2%,0.0%
2011年3月31日20:30,0.5%,0.5%
2011年2月28日21:30,0.5%,0.3%
2011年1月31日21:30,0.4%,0.3%
2010年12月23日21:30,0.2%,0.3%
2010年11月30日21:30,-0.1%,0.1%
2010年10月29日20:30,0.3%,0.3%
2010年9月30日20:30,-0.1%,-0.1%
2010年8月31日20:30,0.2%,0.2%
2010年7月30日20:30,0.1%,0.1%
2010年6月30日20:30,0.0%,0.2%
2010年5月31日20:30,0.6%,0.5%
2010年4月30日20:30,0.3%,0.5%
