时间,今值,预测值
2017年9月29日 (八月)20:30, , 
2017年8月29日 (七月)20:30,-0.6%,-2.5%
2017年7月31日 (六月)20:30,-3.7%,-3.2%
2017年6月30日 (五月)20:30,-1.8%,-1.0%
2017年5月30日 (四月)20:30,1.6%, 
2017年4月28日 (三月)20:30,-1.6%, 
2017年3月30日 (二月)20:30,1.2%,0.8%
2017年2月28日 (一月)21:30,1.7%,1.3%
2017年1月31日 (十二月)21:30,6.5%,2.8%
2017年1月5日 (十一月)21:30,-2.0%,-1.5%
2016年11月30日 (十月)21:30,3.3%,3.2%
2016年10月31日 (九月)20:30,-0.1%,0.5%
2016年9月30日 (八月)20:30,-0.7%,-1.0%
2016年8月30日 (七月)20:30,-2.7%,-1.2%
2016年7月29日 (六月)20:30,1.8%,3.2%
2016年6月30日 (五月)20:30,6.7%,5.0%
2016年5月30日 (四月)20:30,0.7%,2.2%
2016年4月29日 (三月)20:30,4.5%,3.7%
2016年3月29日 (二月)20:30,-2.6%,-0.8%
2016年2月29日 (一月)21:30,-0.4%,-3.3%
2016年1月29日 (十二月)21:30,-5.0%,-4.0%
2016年1月5日 (十一月)21:30,-4.0%,-3.0%
2015年11月27日 (十月)21:30,0.4%, 
2015年10月29日 (九月)20:30,3.0%,1.5%
2015年9月29日 (八月)20:30,-6.6%,-7.9%
2015年8月28日 (七月)20:30,-5.9%,-4.0%
2015年7月28日 (六月)20:30,0.0%,1.0%
2015年6月29日 (五月)20:30,4.4%,4.5%
2015年5月28日 (四月)20:30,3.8%,1.6%
2015年4月29日 (三月)20:30,-0.9%,-1.8%
2015年3月30日 (二月)20:30,6.1%,5.1%
2015年3月3日 (一月)21:30,-7.7%,-6.8%
2015年2月3日 (十二月)21:30,-7.6%,-8.8%
2015年1月6日 (十一月)21:30,-5.8%,-5.0%
2014年11月28日 (十月)21:30,-4.3%,1.5%
2014年10月29日 (九月)20:30,-1.8%,-1.0%
2014年9月30日 (八月)20:30,-2.2%,-1.7%
2014年8月29日20:30,-1.4%,-1.0%
2014年7月30日20:30,1.1%,0.6%
2014年6月27日20:30,-0.4%,1.3%
2014年5月30日20:30,0.1%,1.2%
2014年4月30日20:30,0.6%,1.2%
2014年4月1日20:30,5.7%,2.3%
2014年3月3日21:30,2.6%,1.0%
2014年2月3日21:30,1.9%,2.0%
2014年1月6日21:30,-4.1%,-2.0%
2013年11月28日21:30,-2.3%,-2.0%
2013年10月29日20:30,-1.5%,-1.0%
2013年9月30日20:30,0.9%,1.0%
2013年8月29日20:30,4.2%,1.0%
2013年7月30日20:30,0.3%,1.0%
2013年6月28日20:30,0.2%,1.0%
2013年5月30日20:30,-2.2%,-1.0%
2013年4月30日20:30,-1.7%,1.0%
2013年3月28日20:30,2.2%,2.0%
2013年2月28日21:30,3.8%,2.0%
2013年1月31日21:30,-2.0%,0.9%
2013年1月4日21:30,-1.9%,-1.0%
2012年11月29日21:30,0.0%,-1.0%
2012年10月30日20:30,1.3%,1.0%
2012年10月1日20:30,3.4%,2.0%
2012年8月29日20:30,0.9%,2.0%
2012年7月31日20:30,-4.0%,-2.0%
2012年6月29日20:30,-1.0%,2.3%
2012年5月30日20:30,-2.0%,-2.0%
2012年4月30日20:30,-1.6%,0.5%
2012年3月29日20:30,-0.5%,0.5%
2012年3月1日21:30,0.1%,-0.5%
2012年1月31日21:30,-2.4%,0.2%
2012年1月5日21:30,3.8%,0.5%
2011年11月30日21:30,-1.2%,1.0%
2011年10月31日20:30,1.4%,-2.4%
2011年9月29日20:30,-3.2%,-1.6%
2011年8月30日20:30,-1.2%,0.2%
2011年7月29日20:30,-2.2%,-2.1%
2011年7月4日20:30,-5.2%,-3.0%
2011年5月31日20:30,6.8%,4.3%
2011年5月2日20:30,5.7%,2.5%
2011年3月30日20:30,1.8%,0.8%
2011年3月2日21:30,0.3%,3.2%
2011年1月31日21:30,4.2%,3.2%
2011年1月5日21:30,3.5%,2.2%
2010年11月29日21:30,1.7%,0.8%
2010年10月29日20:30,-0.4%,1.9%
2010年9月29日20:30,2.2%, 
2010年8月30日20:30,1.8%,0.3%
2010年7月29日20:30,-0.3%,1.1%
2010年6月29日20:30,-7.2%, 
2010年5月31日20:30,1.7%,1.1%
2010年4月30日20:30,0.8%,0.9%
2010年3月30日20:30,0.4%,-1.0%
2010年3月1日21:30,3.3%,2.0%
2010年1月29日21:30,-1.7%,1.5%
2010年1月5日21:30,2.2%,1.2%
2009年11月30日21:30,2.5%,3.0%
2009年10月29日20:30,-1.1%,1.0%
2009年9月30日20:30,3.7%,3.0%
2009年8月28日20:30,-3.8%,-4.9%
2009年7月30日20:30,6.2%,3.5%
2009年6月30日20:30,2.2%,2.0%
2009年6月1日20:30,-0.5%,6.5%
2009年4月30日20:30,12.1%,2.5%
2009年3月31日20:30,1.7%,0.5%
2009年2月27日21:30,1.4%,-2.2%
2009年1月29日21:30,-15.4%,-10.1%
2009年1月6日21:30,-13.4%,-8.3%
2008年11月28日21:30,-12.5%,-7.5%
2008年10月30日20:30,-7.2%,-4.8%
2008年9月30日20:30,-7.7%,-3.3%
2008年8月29日20:30,1.4%,0.2%
2008年7月30日20:30,4.4%,3.3%
2008年6月27日20:30,3.1%,5.1%
2008年5月30日21:30,5.1%,2.8%
2008年4月30日20:30,6.6%,1.9%
2008年4月1日20:30,0.5%,2.6%
2008年2月29日21:30,3.4%,0.7%
2008年1月1日 (十二月)17:00,0.90%, 
2007年12月1日 (十一月)17:00,3.00%, 
2007年11月1日 (十月)17:00,0.50%, 
2007年10月1日 (九月)17:00,-0.80%, 
2007年9月1日 (八月)17:00,-2.90%, 
2007年8月1日 (七月)17:00,3.60%, 
2007年7月1日 (六月)17:00,0.30%, 
2007年6月1日 (五月)17:00,-0.40%, 
2007年5月1日 (四月)17:00,3.60%, 
2007年4月1日 (三月)17:00,2.30%, 
2007年3月1日 (二月)17:00,3.30%, 
2007年2月1日 (一月)17:00,-2.80%, 
2007年1月1日 (十二月)17:00,5.00%, 
2006年12月1日 (十一月)17:00,0.20%, 
2006年11月1日 (十月)17:00,-2.70%, 
2006年10月1日 (九月)17:00,-5.50%, 
2006年9月1日 (八月)17:00,-3.90%, 
2006年8月1日 (七月)17:00,5.40%, 
2006年7月1日 (六月)17:00,-2.50%, 
2006年6月1日 (五月)17:00,6.70%, 
2006年5月1日 (四月)17:00,6.20%, 
2006年4月1日 (三月)17:00,1.00%, 
2006年3月1日 (二月)17:00,-3.00%, 
2006年2月1日 (一月)17:00,4.80%, 
2006年1月1日 (十二月)17:00,-1.30%, 
2005年12月1日 (十一月)17:00,-1.40%, 
2005年11月1日 (十月)17:00,-1.10%, 
2005年10月1日 (九月)17:00,-0.30%, 
2005年9月1日 (八月)17:00,4.80%, 
2005年8月1日 (七月)17:00,1.50%, 
2005年7月1日 (六月)17:00,5.20%, 
2005年6月1日 (五月)17:00,-3.30%, 
2005年5月1日 (四月)17:00,-1.20%, 
2005年4月1日 (三月)17:00,6.10%, 
2005年3月1日 (二月)17:00,3.00%, 
2005年2月1日 (一月)17:00,4.90%, 
2005年1月1日 (十二月)17:00,-4.60%, 
2004年12月1日 (十一月)17:00,-5.30%, 
2004年11月1日 (十月)17:00,4.30%, 
2004年10月1日 (九月)17:00,-0.40%, 
2004年9月1日 (八月)17:00,3.60%, 
2004年8月1日 (七月)17:00,1.50%, 
2004年7月1日 (六月)17:00,-1.20%, 
2004年6月1日 (五月)17:00,2.70%, 
2004年5月1日 (四月)17:00,-0.30%, 
2004年4月1日 (三月)17:00,4.30%, 
2004年3月1日 (二月)17:00,4.20%, 
2004年2月1日 (一月)17:00,3.20%, 
2004年1月1日 (十二月)17:00,2.70%, 
2003年12月1日 (十一月)17:00,1.60%, 
2003年11月1日 (十月)17:00,1.00%, 
2003年10月1日 (九月)17:00,-2.40%, 
2003年9月1日 (八月)17:00,0.80%, 
2003年8月1日 (七月)17:00,-2.00%, 
2003年7月1日 (六月)17:00,-1.10%, 
2003年6月1日 (五月)17:00,-3.00%, 
2003年5月1日 (四月)17:00,-6.80%, 
2003年4月1日 (三月)17:00,-4.00%, 
2003年3月1日 (二月)17:00,3.50%, 
2003年2月1日 (一月)17:00,5.40%, 
2003年1月1日 (十二月)17:00,4.40%, 
2002年12月1日 (十一月)17:00,-3.20%, 
2002年11月1日 (十月)17:00,0.30%, 
2002年10月1日 (九月)17:00,2.70%, 
2002年9月1日 (八月)17:00,1.20%, 
2002年8月1日 (七月)17:00,1.90%, 
2002年7月1日 (六月)17:00,-2.30%, 
2002年6月1日 (五月)17:00,1.20%, 
2002年5月1日 (四月)17:00,1.10%, 
2002年4月1日 (三月)17:00,5.40%, 
2002年3月1日 (二月)17:00,2.40%, 
2002年2月1日 (一月)17:00,2.10%, 
2002年1月1日 (十二月)17:00,-1.00%, 
2001年12月1日 (十一月)17:00,-3.10%, 
2001年11月1日 (十月)17:00,-5.20%, 
2001年10月1日 (九月)17:00,-3.00%, 
2001年9月1日 (八月)17:00,0.00%, 
2001年8月1日 (七月)17:00,-1.80%, 
2001年7月1日 (六月)17:00,-2.30%, 
2001年6月1日 (五月)17:00,0.30%, 
2001年5月1日 (四月)17:00,-0.60%, 
2001年4月1日 (三月)17:00,-0.30%, 
2001年3月1日 (二月)17:00,0.90%, 
2001年2月1日 (一月)17:00,1.60%, 
2001年1月1日 (十二月)17:00,-5.50%, 
2000年12月1日 (十一月)17:00,2.10%, 
2000年11月1日 (十月)17:00,0.60%, 
2000年10月1日 (九月)17:00,3.60%, 
2000年9月1日 (八月)17:00,2.30%, 
2000年8月1日 (七月)17:00,-1.50%, 
2000年7月1日 (六月)17:00,2.50%, 
2000年6月1日 (五月)17:00,5.90%, 
2000年5月1日 (四月)17:00,-5.80%, 
2000年4月1日 (三月)17:00,1.90%, 
2000年3月1日 (二月)17:00,2.90%, 
2000年2月1日 (一月)17:00,0.80%, 
2000年1月1日 (十二月)17:00,3.70%, 
1999年12月1日 (十一月)17:00,3.10%, 
1999年11月1日 (十月)17:00,-0.90%, 
1999年10月1日 (九月)17:00,3.80%, 
1999年9月1日 (八月)17:00,3.10%, 
1999年8月1日 (七月)17:00,3.80%, 
1999年7月1日 (六月)17:00,-0.60%, 
1999年6月1日 (五月)17:00,1.30%, 
1999年5月1日 (四月)17:00,3.80%, 
1999年4月1日 (三月)17:00,4.60%, 
1999年3月1日 (二月)17:00,-0.60%, 
1999年2月1日 (一月)17:00,3.20%, 
1999年1月1日 (十二月)17:00,-3.90%, 
1998年12月1日 (十一月)17:00,-2.60%, 
1998年11月1日 (十月)17:00,-0.20%, 
1998年10月1日 (九月)17:00,1.00%, 
1998年9月1日 (八月)17:00,-0.80%, 
1998年8月1日 (七月)17:00,0.40%, 
1998年7月1日 (六月)17:00,-3.10%, 
1998年6月1日 (五月)17:00,-0.40%, 
1998年5月1日 (四月)17:00,1.80%, 
1998年4月1日 (三月)17:00,-2.70%, 
1998年3月1日 (二月)17:00,-1.70%, 
1998年2月1日 (一月)17:00,-2.90%, 
1998年1月1日 (十二月)17:00,-3.70%, 
1997年12月1日 (十一月)17:00,-1.20%, 
1997年11月1日 (十月)17:00,0.70%, 
1997年10月1日 (九月)17:00,-1.70%, 
1997年9月1日 (八月)17:00,0.30%, 
1997年8月1日 (七月)17:00,0.20%, 
1997年7月1日 (六月)17:00,-2.40%, 
1997年6月1日 (五月)17:00,2.30%, 
1997年5月1日 (四月)17:00,-2.20%, 
1997年4月1日 (三月)17:00,-0.70%, 
1997年3月1日 (二月)17:00,-1.50%, 
1997年2月1日 (一月)17:00,0.20%, 
1997年1月1日 (十二月)17:00,2.20%, 
1996年12月1日 (十一月)17:00,-1.30%, 
1996年11月1日 (十月)17:00,0.30%, 
1996年10月1日 (九月)17:00,0.80%, 
