时间,今值,预测值
2017年9月8日 (八月)20:30,6.2%,6.3%
2017年8月4日 (七月)20:30,6.3%,6.5%
2017年7月7日 (六月)20:30,6.5%,6.6%
2017年6月9日 (五月)20:30,6.6%,6.6%
2017年5月5日 (四月)20:30,6.5%,6.7%
2017年4月7日 (三月)20:30,6.7%,6.7%
2017年3月10日 (二月)21:30,6.6%,6.8%
2017年2月10日 (一月)21:30,6.8%,6.9%
2017年1月6日 (十二月)21:30,6.9%,6.9%
2016年12月2日 (十一月)21:30,6.8%,7.0%
2016年11月4日 (十月)20:30,7.0%,7.0%
2016年10月7日 (九月)20:30,7.0%,7.0%
2016年9月9日 (八月)20:30,7.0%,6.9%
2016年8月5日 (七月)20:30,6.9%,6.9%
2016年7月8日 (六月)20:30,6.8%,7.0%
2016年6月10日 (五月)20:30,6.9%,7.1%
2016年5月6日 (四月)20:30,7.1%,7.2%
2016年4月8日 (三月)20:30,7.1%,7.3%
2016年3月11日 (二月)21:30,7.3%,7.2%
2016年2月5日 (一月)21:30,7.2%,7.1%
2016年1月8日 (十二月)21:30,7.1%,7.1%
2015年12月4日 (十一月)21:30,7.1%,7.0%
2015年11月6日 (十月)21:30,7.0%,7.1%
2015年10月9日 (九月)20:30,7.1%,6.9%
2015年9月4日 (八月)20:30,7.0%,6.8%
2015年8月7日 (七月)20:30,6.8%,6.8%
2015年7月10日 (六月)20:30,6.8%,6.9%
2015年6月5日 (五月)20:30,6.8%,6.8%
2015年5月8日 (四月)20:30,6.8%,6.9%
2015年4月10日 (三月)20:30,6.8%,6.8%
2015年3月13日 (二月)20:30,6.8%,6.7%
2015年2月6日 (一月)21:30,6.6%,6.7%
2015年1月9日 (十二月)21:30,6.6%,6.6%
2014年12月5日 (十一月)21:30,6.6%,6.6%
2014年11月7日 (十月)21:30,6.5%,6.8%
2014年10月10日 (九月)20:30,6.8%,7.0%
2014年9月5日20:30,7.0%,7.0%
2014年8月15日20:30,7.0%,7.0%
