时间,今值,预测值
2017年9月8日 (八月)20:30,22.2K,19.0K
2017年8月4日 (七月)20:30,10.9K,10.0K
2017年7月7日 (六月)20:30,45.3K,10.0K
2017年6月9日 (五月)20:30,54.5K,11.0K
2017年5月5日 (四月)20:30,3.2K,10.0K
2017年4月7日 (三月)20:30,19.4K,5.0K
2017年3月10日 (二月)21:30,15.3K,2.5K
2017年2月10日 (一月)21:30,48.3K,-5.0K
2017年1月6日 (十二月)21:30,53.7K,-5.0K
2016年12月2日 (十一月)21:30,10.7K,-20.0K
2016年11月4日 (十月)20:30,43.9K,-10.0K
2016年10月7日 (九月)20:30,67.2K,10.0K
2016年9月9日 (八月)20:30,26.2K,15.0K
2016年8月5日 (七月)20:30,-31.2K,10.0K
2016年7月8日 (六月)20:30,-0.7K,5.0K
2016年6月10日 (五月)20:30,13.8K,3.8K
2016年5月6日 (四月)20:30,-2.1K,1.0K
2016年4月8日 (三月)20:30,40.6K,10.0K
2016年3月11日 (二月)21:30,-2.3K,9.0K
2016年2月5日 (一月)21:30,-5.7K,5.5K
2016年1月8日 (十二月)21:30,22.8K,10.0K
2015年12月4日 (十一月)21:30,-35.7K,-10.0K
2015年11月6日 (十月)21:30,44.4K,10.0K
2015年10月9日 (九月)20:30,12.1K,10.0K
2015年9月4日 (八月)20:30,12.0K,-4.5K
2015年8月7日 (七月)20:30,6.6K,5.0K
2015年7月10日 (六月)20:30,-6.4K,-10.0K
2015年6月5日 (五月)20:30,58.9K,10.0K
2015年5月8日 (四月)20:30,-19.7K,-5.0K
2015年4月10日 (三月)20:30,28.7K,-0.1K
2015年3月13日 (二月)20:30,-1.0K,-5.0K
2015年2月6日 (一月)21:30,35.4K,5.0K
2015年1月9日 (十二月)21:30,-4.3K,15.0K
2014年12月5日 (十一月)21:30,-10.7K,5.3K
2014年11月7日 (十月)21:30,43.1K,-5.0K
2014年10月10日 (九月)20:30,74.1K,20.0K
2014年9月5日20:30,-11.0K,10.0K
2014年8月15日20:30,41.7K,20.0K
2014年8月8日20:30,0.2K,20.0K
2014年7月11日20:30,-9.4K,20.7K
2014年6月6日20:30,25.8K,25.0K
2014年5月9日20:30,-28.9K,12.0K
2014年4月4日20:30,42.9K,21.5K
2014年3月7日21:30,-7.0K,15.0K
2014年2月7日21:30,29.4K,20.0K
2014年1月10日21:30,-45.9K,15.0K
2013年12月6日21:30,21.6K,12.0K
2013年11月8日21:30,13.2K,14.0K
2013年10月11日20:30,11.9K,10.0K
2013年9月6日20:30,59.2K,20.0K
2013年8月9日20:30,-39.4K,10.0K
2013年7月5日20:30,-0.4K,-3.0K
2013年6月7日20:30,95.0K,15.0K
2013年5月10日20:30,12.5K,15.0K
2013年4月5日20:30,-54.5K,9.0K
2013年3月8日21:30,50.7K,8.0K
2013年2月8日21:30,-21.9K,5.0K
2013年1月4日21:30,39.8K,5.0K
2012年12月7日21:30,59.3K,10.0K
2012年11月2日20:30,1.8K,5.0K
2012年10月5日20:30,52.1K,10.0K
2012年9月7日20:30,34.3K,10.0K
2012年8月10日20:30,-30.4K,9.0K
2012年7月6日20:30,7.3K,5.0K
2012年6月8日20:30,7.7K,10.0K
2012年5月11日20:30,58.2K,7.0K
2012年4月5日20:30,82.3K,10.0K
2012年3月9日20:00,-2.8K,13.8K
2012年2月3日20:00,2.3K,24.0K
2012年1月6日20:00,17.5K,14.8K
2011年12月2日20:00,-18.6K,20.0K
2011年11月4日19:00,-54.0K,20.0K
2011年10月7日19:00,60.9K,15.0K
2011年9月9日19:00,-5.5K,22.5K
2011年8月5日19:00,7.1K,20.0K
2011年7月8日19:00,28.4K,10.0K
2011年6月10日19:00,22.3K,20.0K
2011年5月6日19:00,58.3K,20.0K
2011年4月8日19:00,-1.5K,29.6K
2011年3月11日20:00,15.1K,23.5K
2011年2月4日20:00,69.2K,21.2K
2011年1月7日20:00,22.0K,20.3K
2010年12月3日20:00,15.2K,20.0K
2010年11月5日19:00,3.0K,10.0K
2010年10月8日19:00,-6.6K,11.3K
2010年9月10日19:00,35.8K,23.9K
2010年8月6日19:00,-9.3K,10.3K
2010年7月9日19:00,93.2K,20.3K
2010年6月4日19:00,24.7K,20.7K
2010年5月7日19:00,108.7K,20.3K
2010年4月9日19:00,17.9K,25.0K
2010年3月12日20:00,20.9K,18.0K
2010年2月5日20:00,43.0K,15.0K
2010年1月8日20:00,-2.6K,20.0K
2009年12月4日20:00,79.1K,15.0K
2009年11月6日20:00,-43.2K,11.0K
2009年10月9日19:00,30.6K,-7.0K
2009年9月4日19:00,27.1K,-20.0K
2009年8月7日19:00,-44.5K,-20.0K
2009年7月10日19:00,-7.4K,-40.3K
2009年6月5日19:00,-41.8K,-37.0K
2009年5月8日19:00,35.9K,-49.7K
2009年4月9日19:00,-61.3K,-54.3K
2009年3月13日19:00,-82.6K,-50.0K
2009年2月6日20:00,-129.0K,-40.0K
2009年1月9日20:00,-34.4K,-21.0K
2008年12月5日20:00,-70.6K,-21.0K
2008年11月7日20:00,9.5K,-10.0K
2008年10月10日19:00,106.9K,11.0K
2008年9月5日19:00,15.2K,9.0K
2008年8月8日19:00,-55.2K,5.0K
2008年7月11日19:00,-5.0K,10.0K
2008年6月6日20:00,8.4K,10.2K
2008年5月9日19:00,19.2K,10.0K
2008年4月4日19:00,14.6K,15.0K
2008年3月7日20:00,43.3K,3.0K
2008年2月1日 (一月)17:00,25.90K, 
2008年1月1日 (十二月)17:00,3.40K, 
2007年12月1日 (十一月)17:00,16.40K, 
2007年11月1日 (十月)17:00,55.60K, 
2007年10月1日 (九月)17:00,45.00K, 
2007年9月1日 (八月)17:00,7.70K, 
2007年8月1日 (七月)17:00,42.70K, 
2007年7月1日 (六月)17:00,57.30K, 
2007年6月1日 (五月)17:00,23.10K, 
2007年5月1日 (四月)17:00,-15.00K, 
2007年4月1日 (三月)17:00,48.10K, 
2007年3月1日 (二月)17:00,21.10K, 
2007年2月1日 (一月)17:00,54.00K, 
2007年1月1日 (十二月)17:00,64.30K, 
2006年12月1日 (十一月)17:00,27.60K, 
2006年11月1日 (十月)17:00,22.50K, 
2006年10月1日 (九月)17:00,24.80K, 
2006年9月1日 (八月)17:00,5.70K, 
2006年8月1日 (七月)17:00,2.10K, 
2006年7月1日 (六月)17:00,3.90K, 
2006年6月1日 (五月)17:00,76.80K, 
2006年5月1日 (四月)17:00,29.60K, 
2006年4月1日 (三月)17:00,50.40K, 
