时间,今值,预测值
2017年9月8日 (八月)20:30,65.7%, 
2017年8月4日 (七月)20:30,65.7%, 
2017年7月7日 (六月)20:30,65.9%, 
2017年6月9日 (五月)20:30,65.8%, 
2017年5月5日 (四月)20:30,65.6%, 
2017年4月7日 (三月)20:30,65.9%, 
2017年3月10日 (二月)21:30,65.8%, 
2017年2月10日 (一月)21:30,65.9%,65.8%
2017年1月6日 (十二月)21:30,65.8%, 
2016年12月2日 (十一月)21:30,65.6%, 
2016年11月4日 (十月)20:30,65.8%,65.6%
2016年10月7日 (九月)20:30,65.7%, 
2016年9月9日 (八月)20:30,65.5%, 
2016年8月5日 (七月)20:30,65.4%, 
2016年7月8日 (六月)20:30,65.5%, 
2016年6月10日 (五月)20:30,65.7%,65.8%
2016年5月6日 (四月)20:30,65.8%, 
2016年4月8日 (三月)20:30,65.9%, 
2016年3月11日 (二月)21:30,65.9%,65.9%
2016年2月5日 (一月)21:30,65.9%,65.9%
2016年1月8日 (十二月)21:30,65.9%,65.8%
2015年12月4日 (十一月)21:30,65.8%,65.9%
2015年11月6日 (十月)21:30,66.0%,65.9%
2015年10月9日 (九月)20:30,65.9%,65.8%
2015年9月4日 (八月)20:30,65.9%, 
2015年8月7日 (七月)20:30,65.7%,65.8%
2015年7月10日 (六月)20:30,65.8%, 
2015年6月5日 (五月)20:30,65.9%,65.8%
2015年5月8日 (四月)20:30,65.8%,65.9%
2015年4月10日 (三月)20:30,65.9%, 
2015年3月13日 (二月)20:30,65.8%,65.7%
2015年2月6日 (一月)21:30,65.7%,65.7%
2015年1月9日 (十二月)21:30,65.9%,66.0%
2014年12月5日 (十一月)21:30,66.0%,66.0%
2014年11月7日 (十月)21:30,66.0%,66.0%
2014年10月10日 (九月)20:30,66.0%,66.0%
2014年9月5日20:30,66.0%,66.1%
2014年8月15日20:30,66.1%,66.1%
2014年8月8日20:30,65.9%,66.1%
2014年7月11日20:30,66.1%,66.0%
2014年6月6日20:30,66.1%,66.2%
2014年5月9日20:30,66.1%,66.2%
2014年4月4日20:30,66.2%,66.2%
2014年3月7日21:30,66.2%,66.4%
2014年2月7日21:30,66.3%,66.0%
2014年1月10日21:30,66.4%,66.0%
2013年12月6日21:30,66.40%,66.00%
2013年11月8日21:30,66.40%,66.00%
2013年10月11日20:30,66.40%,67.00%
2013年9月6日20:30,66.60%,67.00%
2013年8月9日20:30,66.50%,67.00%
2013年7月5日20:30,66.70%,67.00%
2013年6月7日20:30,66.70%,67.00%
2013年5月10日20:30,66.50%,67.00%
2013年4月5日20:30,66.60%, 
2013年3月8日21:30,66.70%, 
2013年2月8日21:30,66.60%, 
2013年1月4日21:30,66.80%, 
2012年12月7日21:30,66.80%,66.80%
2012年11月2日20:30,66.80%,66.80%
2012年10月5日20:30,66.80%, 
2012年9月7日20:30,66.60%, 
2012年8月10日20:30,66.50%, 
2012年7月6日20:30,66.70%, 
2012年6月8日20:30,66.80%, 
2012年5月11日20:30,66.80%, 
2012年4月5日20:30,66.60%,67.00%
2012年3月1日 (二月)17:00,66.30%, 
2012年2月1日 (一月)17:00,66.50%, 
2012年1月1日 (十二月)17:00,66.50%, 
2011年12月1日 (十一月)17:00,66.50%, 
2011年11月1日 (十月)17:00,66.50%, 
2011年10月1日 (九月)17:00,66.60%, 
2011年9月1日 (八月)17:00,66.60%, 
2011年8月1日 (七月)17:00,66.60%, 
2011年7月1日 (六月)17:00,66.80%, 
2011年6月1日 (五月)17:00,66.70%, 
2011年5月1日 (四月)17:00,66.90%, 
2011年4月1日 (三月)17:00,66.90%, 
2011年3月1日 (二月)17:00,66.80%, 
2011年2月1日 (一月)17:00,66.90%, 
2011年1月1日 (十二月)17:00,66.70%, 
2010年12月1日 (十一月)17:00,66.60%, 
2010年11月1日 (十月)17:00,66.70%, 
2010年10月1日 (九月)17:00,66.90%, 
2010年9月1日 (八月)17:00,67.10%, 
2010年8月1日 (七月)17:00,67.00%, 
2010年7月1日 (六月)17:00,67.10%, 
2010年6月1日 (五月)17:00,67.00%, 
2010年5月1日 (四月)17:00,67.10%, 
2010年4月1日 (三月)17:00,66.90%, 
2010年3月1日 (二月)17:00,66.90%, 
2010年2月1日 (一月)17:00,67.00%, 
2010年1月1日 (十二月)17:00,67.00%, 
2009年12月1日 (十一月)17:00,67.10%, 
2009年11月1日 (十月)17:00,66.80%, 
2009年10月1日 (九月)17:00,66.80%, 
2009年9月1日 (八月)17:00,67.00%, 
2009年8月1日 (七月)17:00,67.10%, 
2009年7月1日 (六月)17:00,67.20%, 
2009年6月1日 (五月)17:00,67.20%, 
2009年5月1日 (四月)17:00,67.20%, 
2009年4月1日 (三月)17:00,67.30%, 
2009年3月1日 (二月)17:00,67.40%, 
2009年2月1日 (一月)17:00,67.20%, 
2009年1月1日 (十二月)17:00,67.40%, 
2008年12月1日 (十一月)17:00,67.40%, 
2008年11月1日 (十月)17:00,67.60%, 
2008年10月1日 (九月)17:00,67.50%, 
2008年9月1日 (八月)17:00,67.40%, 
2008年8月1日 (七月)17:00,67.40%, 
2008年7月1日 (六月)17:00,67.40%, 
2008年6月1日 (五月)17:00,67.60%, 
2008年5月1日 (四月)17:00,67.70%, 
2008年4月1日 (三月)17:00,67.70%, 
2008年3月1日 (二月)17:00,67.70%, 
2008年2月1日 (一月)17:00,67.60%, 
2008年1月1日 (十二月)17:00,67.60%, 
2007年12月1日 (十一月)17:00,67.70%, 
2007年11月1日 (十月)17:00,67.60%, 
2007年10月1日 (九月)17:00,67.50%, 
2007年9月1日 (八月)17:00,67.40%, 
2007年8月1日 (七月)17:00,67.50%, 
2007年7月1日 (六月)17:00,67.50%, 
2007年6月1日 (五月)17:00,67.30%, 
2007年5月1日 (四月)17:00,67.40%, 
2007年4月1日 (三月)17:00,67.50%, 
2007年3月1日 (二月)17:00,67.40%, 
2007年2月1日 (一月)17:00,67.40%, 
2007年1月1日 (十二月)17:00,67.10%, 
2006年12月1日 (十一月)17:00,67.10%, 
2006年11月1日 (十月)17:00,66.90%, 
2006年10月1日 (九月)17:00,67.10%, 
2006年9月1日 (八月)17:00,67.10%, 
2006年8月1日 (七月)17:00,67.20%, 
2006年7月1日 (六月)17:00,67.00%, 
2006年6月1日 (五月)17:00,67.10%, 
2006年5月1日 (四月)17:00,67.00%, 
2006年4月1日 (三月)17:00,67.00%, 
2006年3月1日 (二月)17:00,66.90%, 
2006年2月1日 (一月)17:00,66.90%, 
2006年1月1日 (十二月)17:00,67.00%, 
2005年12月1日 (十一月)17:00,66.90%, 
2005年11月1日 (十月)17:00,67.20%, 
2005年10月1日 (九月)17:00,67.10%, 
2005年9月1日 (八月)17:00,67.10%, 
2005年8月1日 (七月)17:00,67.10%, 
2005年7月1日 (六月)17:00,67.10%, 
2005年6月1日 (五月)17:00,67.20%, 
2005年5月1日 (四月)17:00,67.20%, 
2005年4月1日 (三月)17:00,67.20%, 
2005年3月1日 (二月)17:00,67.40%, 
2005年2月1日 (一月)17:00,67.30%, 
2005年1月1日 (十二月)17:00,67.50%, 
2004年12月1日 (十一月)17:00,67.50%, 
2004年11月1日 (十月)17:00,67.40%, 
2004年10月1日 (九月)17:00,67.40%, 
2004年9月1日 (八月)17:00,67.20%, 
2004年8月1日 (七月)17:00,67.40%, 
2004年7月1日 (六月)17:00,67.60%, 
2004年6月1日 (五月)17:00,67.50%, 
2004年5月1日 (四月)17:00,67.60%, 
2004年4月1日 (三月)17:00,67.60%, 
2004年3月1日 (二月)17:00,67.60%, 
2004年2月1日 (一月)17:00,67.60%, 
2004年1月1日 (十二月)17:00,67.60%, 
2003年12月1日 (十一月)17:00,67.60%, 
2003年11月1日 (十月)17:00,67.60%, 
2003年10月1日 (九月)17:00,67.70%, 
2003年9月1日 (八月)17:00,67.60%, 
2003年8月1日 (七月)17:00,67.50%, 
2003年7月1日 (六月)17:00,67.50%, 
2003年6月1日 (五月)17:00,67.50%, 
2003年5月1日 (四月)17:00,67.50%, 
2003年4月1日 (三月)17:00,67.40%, 
2003年3月1日 (二月)17:00,67.50%, 
2003年2月1日 (一月)17:00,67.30%, 
2003年1月1日 (十二月)17:00,67.30%, 
2002年12月1日 (十一月)17:00,67.20%, 
2002年11月1日 (十月)17:00,67.10%, 
2002年10月1日 (九月)17:00,67.10%, 
2002年9月1日 (八月)17:00,67.10%, 
2002年8月1日 (七月)17:00,66.90%, 
2002年7月1日 (六月)17:00,66.90%, 
2002年6月1日 (五月)17:00,66.70%, 
2002年5月1日 (四月)17:00,66.60%, 
2002年4月1日 (三月)17:00,66.50%, 
2002年3月1日 (二月)17:00,66.30%, 
2002年2月1日 (一月)17:00,66.30%, 
2002年1月1日 (十二月)17:00,66.20%, 
2001年12月1日 (十一月)17:00,66.00%, 
2001年11月1日 (十月)17:00,65.90%, 
2001年10月1日 (九月)17:00,65.80%, 
2001年9月1日 (八月)17:00,65.80%, 
2001年8月1日 (七月)17:00,65.80%, 
2001年7月1日 (六月)17:00,65.90%, 
2001年6月1日 (五月)17:00,66.00%, 
2001年5月1日 (四月)17:00,66.00%, 
2001年4月1日 (三月)17:00,66.00%, 
