时间,今值,预测值
2017年9月6日 (七月)20:30,-3.04B,-3.10B
2017年8月4日 (六月)20:30,-3.60B,-1.35B
2017年7月6日 (五月)20:30,-1.09B,-0.53B
2017年6月2日 (四月)20:30,-0.37B,-0.07B
2017年5月4日 (三月)20:30,-0.14B,-0.80B
2017年4月4日 (二月)20:30,-0.97B,0.50B
2017年3月7日 (一月)21:30,0.81B,0.70B
2017年2月7日 (十二月)21:30,0.92B,0.35B
2017年1月6日 (十一月)21:30,0.53B,-1.60B
2016年12月6日 (十月)21:30,-1.13B,-2.00B
2016年11月4日 (九月)20:30,-4.08B,-1.70B
2016年10月5日 (八月)20:30,-1.94B,-2.60B
2016年9月2日 (七月)20:30,-2.49B,-3.25B
2016年8月5日 (六月)20:30,-3.63B,-2.82B
2016年7月6日 (五月)20:30,-3.28B,-2.70B
2016年6月3日 (四月)20:30,-2.94B,-2.45B
2016年5月4日 (三月)20:30,-3.41B,-1.40B
2016年4月5日 (二月)20:30,-1.91B,-0.90B
2016年3月4日 (一月)21:30,-0.66B,-1.05B
2016年2月5日 (十二月)21:30,-0.59B,-2.20B
2016年1月6日 (十一月)21:30,-1.99B,-2.60B
2015年12月4日 (十月)21:30,-2.76B,-1.70B
2015年11月4日 (九月)21:30,-1.73B,-1.90B
2015年10月6日 (八月)20:30,-2.53B,-1.20B
2015年9月3日 (七月)20:30,-0.59B,-1.30B
2015年8月5日 (六月)20:30,-0.48B,-2.80B
2015年7月7日 (五月)20:30,-3.34B,-2.50B
2015年6月3日 (四月)20:30,-2.97B,-2.10B
2015年5月5日 (三月)20:30,-3.02B,-0.85B
2015年4月2日 (二月)20:30,-0.98B,-1.80B
2015年3月6日 (一月)21:30,-2.45B,0.30B
2015年2月5日 (十二月)21:30,-0.65B,-1.00B
2015年1月7日 (十一月)21:30,-0.64B,-0.20B
2014年12月5日 (十月)21:30,0.10B,0.40B
2014年11月4日 (九月)21:30,0.71B,-0.70B
2014年10月3日 (八月)20:30,-0.61B,1.50B
2014年9月4日20:30,2.58B,1.00B
2014年8月6日20:30,1.86B,-0.10B
2014年7月3日20:30,-0.15B,-0.30B
2014年6月4日20:30,-0.64B,0.10B
2014年5月6日20:30,0.08B,0.40B
2014年4月3日20:30,0.29B,0.20B
2014年3月7日21:30,-0.18B,-1.60B
2014年2月6日21:30,-1.66B,-1.00B
2014年1月7日21:30,-0.94B,-0.15B
2013年12月4日21:30,0.08B,-1.00B
2013年11月14日21:30,-0.44B,-1.00B
2013年10月8日20:30,-1.31B,-1.00B
2013年9月4日20:30,-0.93B,-1.00B
2013年8月6日20:30,-0.5B,-1.0B
2013年7月3日20:30,-0.3B,-1.0B
2013年6月4日20:30,-0.6B,-1.0B
2013年5月2日20:30,0.0B,-0.7B
2013年4月5日20:30,-1.0B,0.2B
2013年3月7日21:30,-0.2B,-1.0B
2013年2月8日21:30,-0.9B,-1.0B
2013年1月11日21:30,-2.0B,-1.0B
2012年12月11日21:30,-0.2B,-1.0B
2012年11月8日21:30,-0.8B,-2.0B
2012年10月11日20:30,-1.3B,-2.0B
2012年9月11日20:30,-2.3B,-1.0B
2012年8月9日20:30,-1.8B,-1.0B
2012年7月11日20:30,-0.8B,-1.0B
2012年6月8日20:30,-0.4B,-0.1B
2012年5月10日20:30,0.4B,1.0B
2012年4月12日20:30,0.3B,2.0B
2012年3月9日21:30,2.1B,2.0B
2012年2月10日21:30,2.7B,0.7B
2012年1月13日21:30,1.1B,-0.4B
2011年12月9日21:30,-0.9B,0.6B
2011年11月10日21:30,1.3B,-0.5B
2011年10月13日20:30,-0.6B,-0.9B
2011年9月8日20:30,-0.8B,-1.1B
2011年8月11日20:30,-1.6B,-0.9B
2011年7月12日20:30,-0.8B,-0.8B
2011年6月9日20:30,-0.9B,0.5B
2011年5月11日20:30,0.6B,0.5B
2011年4月12日20:30,0.0B,0.7B
2011年3月10日21:30,0.1B,2.4B
2011年2月11日21:30,3.0B,-0.4B
2011年1月13日21:30,-0.1B,-2.0B
2010年12月10日21:30,-1.7B,-2.0B
2010年11月10日21:30,-2.5B,-1.5B
2010年10月14日20:30,-1.3B,-2.1B
2010年9月9日20:30,-2.7B,-0.8B
2010年8月11日20:30,-1.1B,0.4B
2010年7月13日20:30,-0.5B,0.4B
2010年6月10日20:30,0.2B,0.7B
2010年5月12日20:30,0.3B,1.7B
2010年4月13日20:30,1.4B,0.8B
2010年3月11日21:30,0.8B,0.4B
2010年2月10日21:30,-0.2B,-0.1B
2010年1月12日21:30,-0.3B,0.9B
2009年12月10日21:30,0.4B,-0.5B
2009年11月13日21:30,-0.9B,-1.5B
2009年10月9日20:30,-2.0B,-0.8B
2009年9月10日20:30,-1.4B,-0.2B
2009年8月12日20:30,-0.1B,-0.6B
2009年7月10日20:30,-1.4B,-0.5B
2009年6月10日20:30,-0.2B,0.8B
2009年5月12日20:30,1.1B,0.5B
2009年4月9日20:30,0.1B,-1.4B
2009年3月13日20:30,-1.0B,-1.0B
2009年2月11日21:30,-0.5B,0.8B
2009年1月13日21:30,1.3B,3.3B
2008年12月11日21:30,3.8B,3.2B
2008年11月13日21:30,4.5B,5.1B
2008年10月10日20:30,5.8B,4.6B
2008年9月11日20:30,4.9B,5.6B
2008年8月12日20:30,5.8B,5.7B
2008年7月11日20:30,5.5B,5.2B
2008年6月10日21:30,5.1B,5.7B
2008年5月9日20:30,5.5B,4.5B
2008年4月10日20:30,4.9B,3.4B
2008年3月11日20:30,3.3B,2.6B
