时间,今值,预测值
2017年9月19日 (九月)17:00, , 
2017年8月22日 (八月)17:00,10.0,15.0
2017年7月18日 (七月)17:00,17.5,18.0
2017年6月13日 (六月)17:00,18.6,21.5
2017年5月16日 (五月)17:00,20.6,22.0
2017年4月11日 (四月)17:00,19.5,14.0
2017年3月14日 (三月)18:00,12.8,13.1
2017年2月14日 (二月)18:00,10.4,15.0
2017年1月17日 (一月)18:00,16.6,18.3
2016年12月13日 (十二月)18:00,13.8,14.0
2016年11月15日 (十一月)18:00,13.8,8.1
2016年10月11日 (十月)17:00,6.2,4.3
2016年9月13日 (九月)17:00,0.5,2.5
2016年8月16日 (八月)17:00,0.5,1.8
2016年7月19日 (七月)17:00,-6.8,9.0
2016年6月21日 (六月)17:00,19.2,4.7
2016年5月24日 (五月)17:00,6.4,12.0
2016年4月19日 (四月)17:00,11.2,8.0
2016年3月22日 (三月)18:00,4.3,5.0
2016年2月16日 (二月)18:00,1.0,3.2
2016年1月19日 (一月)18:00,10.2,8.2
2015年12月15日 (十二月)18:00,16.1,15.0
2015年11月17日 (十一月)18:00,10.4,6.0
2015年10月13日 (十月)17:00,1.9,6.0
2015年9月15日 (九月)17:00,12.1,18.4
2015年8月11日 (八月)17:00,25.0,32.0
2015年7月14日 (七月)17:00,29.7,29.0
2015年6月16日 (六月)17:00,31.5,37.1
2015年5月19日 (五月)17:00,41.9,49.0
2015年4月21日 (四月)17:00,53.3,55.3
2015年3月17日 (三月)18:00,54.8,58.2
2015年2月17日 (二月)18:00,53.0,55.0
2015年1月20日 (一月)18:00,48.4,40.0
2014年12月16日 (十二月)18:00,34.9,20.8
2014年11月18日 (十一月)18:00,11.5,0.9
2014年10月14日 (十月)17:00,-3.6,1.0
2014年9月16日17:00,6.9,4.8
2014年8月12日17:00,8.6,18.2
2014年7月15日17:00,27.1,28.0
2014年6月17日17:00,29.8,35.0
2014年5月13日17:00,33.1,41.0
2014年4月15日17:00,43.2,45.0
2014年3月18日18:00,46.6,53.0
2014年2月18日18:00,55.7,61.7
2014年1月21日18:00,61.7,64.0
2013年12月17日18:00,62.0,55.0
2013年11月19日18:00,54.6,54.0
2013年10月15日17:00,52.8,49.6
2013年9月17日17:00,49.6,46.0
2013年8月13日17:00,42.0,40.0
2013年7月16日17:00,36.3,39.6
2013年6月18日17:00,38.5,38.1
2013年5月14日17:00,36.4,38.3
2013年4月16日17:00,36.3,42.0
2013年3月19日18:00,48.5,48.0
2013年2月19日18:00,48.2,35.0
2013年1月22日18:00,31.5,12.0
2012年12月11日18:00,6.9,-12.0
2012年11月13日18:00,-15.7,-9.8
2012年10月16日17:00,-11.5,-15.0
2012年9月18日17:00,-18.2,-19.0
2012年8月14日17:00,-25.5,-19.3
2012年7月17日17:00,-19.6,-20.0
2012年6月19日17:00,-16.9,4.0
2012年5月15日17:00,10.8,19.0
2012年4月17日17:00,23.4,20.0
2012年3月13日18:00,22.3,10.5
2012年2月14日18:00,5.4,-11.6
2012年1月17日18:00,-21.6,-49.2
2011年12月13日18:00,-53.8,-55.8
2011年11月15日18:00,-55.2,-52.5
2011年10月18日17:00,-48.3,-45.0
2011年9月20日17:00,-43.3,-44.1
2011年8月23日17:00,-37.6,-26.0
2011年7月19日17:00,-15.1,-12.3
2011年6月21日17:00,-9.0,-3.0
2011年5月17日17:00,3.1,4.7
2011年4月12日17:00,7.6,11.3
2011年3月15日18:00,14.1,16.0
2011年2月15日18:00,15.7,20.2
2011年1月18日18:00,15.4,6.3
2010年12月14日18:00,4.3,3.9
2010年11月16日18:00,1.8,-6.0
2010年10月19日17:00,-7.2,-7.0
2010年9月14日17:00,-4.3,11.3
2010年8月17日17:00,14.0,20.9
2010年7月13日17:00,21.2,25.2
2010年6月15日17:00,28.7,48.7
2010年5月18日17:00,45.8,47.0
2010年4月20日17:00,53.0,45.0
2010年3月16日18:00,44.5,43.5
2010年2月16日18:00,45.1,42.5
2010年1月19日18:00,47.2,50.0
2009年12月15日18:00,50.4,50.2
2009年11月10日18:00,51.1,55.0
2009年10月13日17:00,56.0,58.8
2009年9月15日17:00,57.7,59.8
2009年8月18日17:00,56.1,45.2
2009年7月14日17:00,39.5,48.0
2009年6月16日17:00,44.8,35.0
2009年5月19日17:00,31.1,20.0
2009年4月21日17:00,13.0,1.8
2009年3月17日18:00,-3.5,-7.7
2009年2月17日18:00,-5.8,-26.5
2009年1月20日18:00,-31.0,-43.5
2008年12月9日18:00,-45.2,-56.5
2008年11月11日18:00,-53.5, 
2008年10月14日17:00,-63.0,-51.1
2008年9月16日17:00,-41.1,-53.0
2008年8月19日17:00,-55.5,-62.0
2008年7月15日17:00,-63.9,-55.5
2008年6月17日17:00,-52.4,-42.4
2008年5月20日18:00,-41.4,-37.5
2008年4月15日17:00,-40.7,-30.0
2008年3月11日18:00,-32.0,-39.5
2008年2月12日18:00,-39.5,-45.0
2008年1月1日 (十二月)17:00,-37.20, 
2007年12月1日 (十一月)17:00,-32.50, 
2007年11月1日 (十月)17:00,-18.10, 
2007年10月1日 (九月)17:00,-18.10, 
2007年9月1日 (八月)17:00,-6.90, 
2007年8月1日 (七月)17:00,10.40, 
2007年7月1日 (六月)17:00,20.30, 
2007年6月1日 (五月)17:00,24.00, 
2007年5月1日 (四月)17:00,16.50, 
2007年4月1日 (三月)17:00,5.80, 
