时间,今值,预测值
2017年9月19日 (九月)17:00, , 
2017年8月22日 (八月)17:00,86.7,85.5
2017年7月18日 (七月)17:00,86.4,88.0
2017年6月13日 (六月)17:00,88.0,85.0
2017年5月16日 (五月)17:00,83.9,82.0
2017年4月11日 (四月)17:00,80.1,77.7
2017年3月14日 (三月)18:00,77.3,78.0
2017年2月14日 (二月)18:00,76.4,77.2
2017年1月17日 (一月)18:00,77.3,65.0
2016年12月13日 (十二月)18:00,63.5,59.1
2016年11月15日 (十一月)18:00,58.8,61.5
2016年10月11日 (十月)17:00,59.5,55.5
2016年9月13日 (九月)17:00,55.1,56.0
2016年8月16日 (八月)17:00,57.6,50.0
2016年7月19日 (七月)17:00,49.8,51.8
2016年6月21日 (六月)17:00,54.5,53.0
2016年5月24日 (五月)17:00,53.1,48.9
2016年4月19日 (四月)17:00,47.7,51.0
2016年3月22日 (三月)18:00,50.7,53.0
2016年2月16日 (二月)18:00,52.3,55.5
2016年1月19日 (一月)18:00,59.7,54.0
2015年12月15日 (十二月)18:00,55.0,54.2
2015年11月17日 (十一月)18:00,54.4,55.0
2015年10月13日 (十月)17:00,55.2,64.7
2015年9月15日 (九月)17:00,67.5,64.0
2015年8月11日 (八月)17:00,65.7,64.3
2015年7月14日 (七月)17:00,63.9,60.0
2015年6月16日 (六月)17:00,62.9,63.0
2015年5月19日 (五月)17:00,65.7,68.0
2015年4月21日 (四月)17:00,70.2,56.0
2015年3月17日 (三月)18:00,55.1,50.0
2015年2月17日 (二月)18:00,45.5,30.0
2015年1月20日 (一月)18:00,22.4,14.8
2014年12月16日 (十二月)18:00,10.0,5.7
2014年11月18日 (十一月)18:00,3.3,1.3
2014年10月14日 (十月)17:00,3.2,18.0
2014年9月16日17:00,25.4,40.0
2014年8月12日17:00,44.3,55.5
2014年7月15日17:00,61.8,67.0
2014年6月17日17:00,67.7,62.6
2014年5月13日17:00,62.1,60.5
2014年4月15日17:00,59.5,51.8
2014年3月18日18:00,51.3,52.0
2014年2月18日18:00,50.0,44.0
2014年1月21日18:00,41.2,34.1
2013年12月17日18:00,32.4,30.0
2013年11月19日18:00,28.7,31.0
2013年10月15日17:00,29.7,31.3
2013年9月1日 (八月)17:00,18.30, 
2013年8月1日 (七月)17:00,10.60, 
