时间,今值,预测值
2017年9月13日 (八月)14:00, ,0.1%
2017年8月30日 (八月)20:00  ,0.1%,0.1%
2017年8月11日 (七月)14:00,0.4%,0.4%
2017年7月28日 (七月)18:00  ,0.4%,0.2%
2017年7月13日 (六月)14:00,0.2%,0.2%
2017年6月29日 (六月)20:00  ,0.2%,0.0%
2017年6月14日 (五月)14:00,-0.2%,-0.2%
2017年5月30日 (五月)20:00  ,-0.2%,-0.1%
2017年5月12日 (四月)14:00,0.0%,0.0%
2017年4月27日 (四月)20:00  ,0.0%,-0.1%
2017年4月13日 (三月)14:00,0.2%,0.2%
2017年3月30日 (三月)20:00  ,0.2%,0.4%
2017年3月14日 (二月)15:00,0.6%,0.6%
2017年3月1日 (二月)21:00  ,0.6%,0.6%
2017年2月14日 (一月)15:00,-0.6%,-0.6%
2017年1月30日 (一月)21:00  ,-0.6%,-0.6%
2017年1月18日 (十二月)15:00,0.7%,0.7%
2017年1月3日 (十二月)21:00  ,0.7%,0.6%
2016年12月13日 (十一月)15:00,0.1%,0.1%
2016年11月29日 (十一月)21:00  ,0.1%,0.1%
2016年11月11日 (十月)15:00,0.2%,0.2%
2016年10月28日 (十月)20:00  ,0.2%,0.1%
2016年10月13日 (九月)14:00,0.1%,0.1%
2016年9月29日 (九月)20:00  ,0.1%,0.0%
2016年9月13日 (八月)14:00,0.0%,0.0%
2016年8月30日 (八月)20:00  ,0.0%,0.1%
2016年8月12日 (七月)14:00,0.3%,0.3%
2016年7月28日 (七月)20:00  ,0.3%,0.2%
2016年7月12日 (六月)14:00,0.1%,0.1%
2016年6月29日 (六月)20:00  ,0.1%,0.2%
2016年6月10日 (五月)14:00,0.3%,0.3%
2016年5月30日 (五月)20:00  ,0.3%,0.3%
2016年5月13日 (四月)14:00,-0.4%,-0.4%
2016年4月28日 (四月)20:00  ,-0.2%,-0.2%
2016年4月12日 (三月)14:00,0.8%,0.8%
2016年3月30日 (三月)20:00  ,0.8%,0.6%
2016年3月11日 (二月)15:00,0.4%,0.4%
2016年2月26日 (二月)21:00  ,0.4%,0.5%
2016年2月12日 (一月)15:00,-0.8%,-0.8%
2016年1月28日 (一月)21:00  ,-0.8%,-0.8%
2016年1月19日 (十二月)15:00,-0.1%,-0.1%
2016年1月4日 (十二月)21:00  ,-0.1%,0.2%
2015年12月11日 (十一月)15:00,0.1%,0.1%
2015年11月30日 (十一月)21:00  ,0.1%,0.1%
2015年11月12日 (十月)15:00,0.0%,0.0%
2015年10月29日 (十月)21:00  ,0.0%,-0.1%
2015年10月13日 (九月)14:00,-0.2%,-0.2%
2015年9月29日 (九月)20:00  ,-0.2%,-0.1%
2015年9月11日 (八月)14:00,0.0%,0.0%
2015年8月28日 (八月)20:00  ,0.0%,-0.1%
2015年8月13日 (七月)14:00,0.2%,0.2%
2015年7月30日 (七月)20:00  ,0.2%,0.3%
2015年7月14日 (六月)14:00,-0.1%,-0.1%
2015年6月29日 (六月)20:00  ,-0.1%,0.1%
2015年6月16日 (五月)14:00,0.1%,0.1%
2015年6月1日 (五月)20:00  ,0.1%,0.1%
2015年5月13日 (四月)14:00,0.0%,-0.1%
2015年4月29日 (四月)20:00  ,-0.1%,-0.1%
2015年4月15日 (三月)14:00,0.5%,0.5%
2015年3月30日 (三月)20:00  ,0.5%,0.5%
2015年3月12日 (二月)15:00,0.9%,0.9%
2015年2月27日 (二月)21:00  ,0.9%,0.7%
2015年2月12日 (一月)15:00,-1.1%,-1.0%
2015年1月29日 (一月)21:00  ,-1.0%,-0.8%
2015年1月16日 (十二月)15:00,0.0%,0.0%
2015年1月5日 (十二月)21:00  ,0.0%,0.1%
2014年12月11日 (十一月)15:00,0.0%,0.0%
2014年11月27日 (十一月)21:00  ,0.0%,0.0%
2014年11月13日 (十月)15:00,-0.3%,-0.3%
2014年10月30日 (十月)21:00  ,-0.3%,-0.1%
2014年10月15日 (九月)14:00,0.0%,0.0%
2014年9月29日 (九月)20:00  ,0.0%,-0.1%
2014年9月11日14:00,0.0%,0.0%
2014年8月28日20:00  ,0.0%,0.0%
2014年8月13日14:00,0.3%,0.3%
2014年7月30日20:00  ,0.3%,0.2%
2014年7月11日14:00,0.3%,0.3%
2014年6月27日20:00  ,0.3%,0.2%
2014年6月13日14:00,-0.1%,-0.1%
2014年6月2日20:00  ,-0.1%,0.2%
2014年5月14日14:00,-0.2%,-0.2%
2014年4月29日20:00  ,-0.2%,-0.1%
2014年4月11日14:00,0.3%,0.3%
2014年3月28日21:00  ,0.3%,0.4%
2014年3月14日15:00,0.5%,0.5%
2014年2月27日21:00  ,0.5%,0.6%
2014年2月13日15:00,-0.6%,-0.6%
2014年1月30日21:00  ,-0.6%,-0.4%
2014年1月16日15:00,0.4%,0.4%
2014年1月6日21:00  ,0.4%,0.4%
2013年12月11日15:00,0.2%,0.2%
2013年11月28日21:00  ,0.2%,0.1%
2013年11月12日15:00,-0.2%,-0.2%
2013年10月30日21:00  ,-0.2%,0.1%
2013年10月11日14:00,0.0%,0.0%
2013年9月27日20:00  ,0.0%,0.0%
2013年9月11日14:00,0.0%,0.0%
2013年8月29日20:00  ,0.0%,0.1%
2013年8月13日14:00,0.5%,0.5%
2013年7月30日20:00  ,0.5%,0.3%
2013年7月10日14:00,0.1%,0.1%
2013年6月28日20:00  ,0.1%,0.1%
2013年6月12日14:00,0.4%,0.4%
2013年5月29日20:00  ,0.4%,0.2%
2013年5月14日14:00,-0.5%,-0.5%
2013年4月29日20:00  ,-0.5%,-0.2%
2013年4月11日14:00,0.5%,0.5%
2013年4月2日20:00  ,0.5%,0.4%
2013年3月12日15:00,0.6%,0.6%
2013年2月28日21:00  ,0.6%,0.7%
2013年2月20日15:00,-0.5%,-0.5%
2013年1月31日21:00  ,-0.5%,-0.4%
2013年1月15日15:00,0.9%,0.0%
2013年1月2日21:00  ,0.9%,0.7%
2012年12月12日15:00,-0.1%,-0.1%
2012年11月28日21:00  ,-0.1%,-0.1%
2012年11月9日15:00,0.0%,0.0%
2012年10月29日21:00  ,0.0%,0.0%
2012年10月11日14:00,0.0%,0.0%
2012年9月26日20:00  ,0.0%,0.0%
2012年9月12日14:00,0.4%,0.3%
2012年8月29日20:00  ,0.3%,0.2%
2012年8月10日14:00,0.4%,0.4%
2012年7月27日20:00  ,0.4%,0.4%
2012年7月11日14:00,-0.1%,-0.1%
2012年6月27日20:00  ,-0.1%,0.0%
2012年6月13日14:00,-0.2%,-0.2%
2012年5月29日20:00  ,-0.2%,-0.1%
2012年5月11日14:00,0.2%,0.1%
2012年4月26日20:00  ,0.1%,0.1%
2012年4月13日14:00,0.3%,0.3%
2012年3月28日20:00  ,0.3%,0.3%
2012年3月9日15:00,0.7%,0.7%
2012年2月28日21:30  ,0.7%,0.5%
2012年2月10日15:00,-0.4%,-0.4%
2012年1月30日21:00  ,-0.4%,-0.5%
2012年1月12日15:00,0.7%,0.7%
2011年12月29日21:00  ,0.7%,0.8%
2011年12月9日15:00,0.0%,0.0%
2011年11月28日21:00  ,0.0%,0.1%
2011年11月10日15:00,0.0%,0.0%
2011年10月27日20:00  ,0.0%,0.1%
2011年10月13日14:00,0.1%,0.1%
2011年9月28日20:00  ,0.1%,-0.1%
2011年9月9日14:00,0.0%,-0.1%
2011年8月29日20:00  ,-0.1%,0.0%
2011年8月10日14:00,0.4%,0.4%
2011年7月27日20:00  ,0.4%,0.3%
2011年7月12日14:00,0.1%,0.1%
2011年6月28日20:30  ,0.1%,0.1%
2011年6月10日14:00,0.0%,0.0%
2011年5月27日20:20  ,0.0%,0.0%
2011年5月11日14:00,0.2%,0.3%
2011年4月27日20:10  ,0.2%,0.2%
2011年4月12日14:00,0.5%,0.5%
2011年3月29日21:00  ,0.5%,0.4%
2011年3月11日15:00,0.5%,0.5%
2011年2月25日21:20  ,0.5%,0.5%
2011年2月11日15:00,-0.4%,-0.5%
2011年1月27日21:00  ,-0.5%,-0.3%
2011年1月14日15:00,1.0%,1.0%
2010年12月29日22:20  ,1.0%,0.9%
2010年12月9日15:00,0.1%,0.1%
2010年11月26日20:30  ,0.1%,0.2%
2010年11月9日15:00,0.1%,0.1%
2010年10月27日20:25  ,0.1%,0.1%
2010年10月12日14:00,-0.1%,-0.1%
2010年9月28日21:20  ,-0.1%,-0.2%
2010年9月9日14:00,0.0%,0.0%
2010年8月27日20:50  ,0.0%,0.2%
2010年8月10日14:00,0.3%,0.2%
2010年7月28日20:00  ,0.2%,0.3%
2010年7月9日14:00,0.1%,0.1%
2010年6月28日20:20  ,0.1%,0.1%
2010年6月10日14:00,0.1%,0.1%
2010年5月27日20:15  ,0.1%,0.1%
2010年5月11日14:00,-0.1%,-0.1%
2010年4月28日20:50  ,-0.1%,0.1%
2010年4月13日14:00,0.5%,0.5%
2010年3月30日00:00  ,0.5%,0.3%
2010年3月10日15:00,0.4%,0.2%
2010年2月26日23:40  ,0.2%,0.5%
2010年2月9日15:00,-0.6%,-0.6%
2010年1月28日00:40  ,-0.6%,-0.2%
2010年1月14日15:00,0.8%,0.7%
2009年12月29日22:00  ,0.7%,0.6%
2009年12月9日15:00,-0.1%,-0.2%
2009年11月26日23:45  ,-0.2%,0.0%
2009年11月10日15:00,0.1%,0.1%
2009年10月28日22:40  ,0.1%,0.1%
2009年10月9日14:00,-0.4%,-0.4%
2009年9月28日21:35  ,-0.4%,-0.2%
2009年9月9日14:00,0.2%,0.2%
2009年8月27日20:20  ,0.2%,0.0%
2009年8月11日14:00,0.0%,-0.1%
2009年7月29日21:20  ,-0.1%,0.2%
2009年7月9日14:00,0.4%,0.4%
2009年6月26日22:00  ,0.4%,0.2%
2009年6月10日14:00,-0.1%,-0.1%
2009年5月27日22:30  ,-0.1%,0.1%
2009年5月12日14:00,0.0%,0.0%
2009年4月28日17:00  ,0.0%,0.1%
2009年4月9日14:00,-0.1%,-0.1%
2009年3月27日08:00  ,-0.1%,0.2%
2009年3月10日15:00,0.6%,0.6%
2009年2月26日08:00  ,0.6%,0.3%
2009年2月11日15:00,-0.5%,-0.5%
2009年1月28日16:00  ,-0.5%,-0.3%
2009年1月15日15:00,0.3%,0.3%
2008年12月30日16:00  ,0.3%,0.4%
2008年12月17日15:00,-0.5%,-0.5%
2008年11月26日15:30,-0.5%,-0.3%
2008年11月14日15:00,-0.2%,-0.2%
2008年10月29日16:00  ,-0.2%,-0.2%
2008年10月15日14:00,-0.1%,-0.1%
2008年9月26日15:01,-0.1%,-0.2%
2008年9月16日14:00,-0.3%,-0.3%
2008年8月14日14:00,0.6%,0.6%
2008年7月29日14:00,0.6%,0.5%
2008年7月16日14:00,0.3%,0.3%
2008年6月13日14:00,0.6%,0.6%
2008年5月28日08:00,0.6%,0.3%
2008年5月15日15:00,-0.2%,-0.2%
2008年4月16日14:00,0.5%,0.5%
2008年3月14日15:00,0.5%,0.5%
2008年2月29日23:30,0.5%,0.4%
2008年1月1日 (十二月)17:00,0.60%, 
2007年12月1日 (十一月)17:00,0.50%, 
2007年11月1日 (十月)17:00,0.20%, 
2007年10月1日 (九月)17:00,0.20%, 
2007年9月1日 (八月)17:00,-0.10%, 
2007年8月1日 (七月)17:00,0.50%, 
2007年7月1日 (六月)17:00,0.00%, 
2007年6月1日 (五月)17:00,0.00%, 
2007年5月1日 (四月)17:00,0.50%, 
2007年4月1日 (三月)17:00,0.20%, 
2007年3月1日 (二月)17:00,0.40%, 
2007年2月1日 (一月)17:00,0.00%, 
2007年1月1日 (十二月)17:00,0.70%, 
2006年12月1日 (十一月)17:00,0.00%, 
2006年11月1日 (十月)17:00,0.10%, 
2006年10月1日 (九月)17:00,-0.30%, 
2006年9月1日 (八月)17:00,-0.20%, 
2006年8月1日 (七月)17:00,0.40%, 
2006年7月1日 (六月)17:00,0.20%, 
2006年6月1日 (五月)17:00,0.00%, 
2006年5月1日 (四月)17:00,0.30%, 
2006年4月1日 (三月)17:00,0.00%, 
2006年3月1日 (二月)17:00,0.40%, 
2006年2月1日 (一月)17:00,-0.30%, 
