时间,今值,预测值
2017年9月29日 (九月)16:00, , 
2017年8月31日 (八月)15:55,-5K,-6K
2017年8月1日 (七月)15:55,-9K,-5K
2017年6月30日 (六月)15:55,7K,-10K
2017年5月31日 (五月)16:00,-9K,-15K
2017年5月3日 (四月)15:55,-15K,-12K
2017年3月31日 (三月)16:00,-30K,-10K
2017年3月1日 (二月)16:55,-14K,-10K
2017年1月31日 (一月)16:55,-26K,-5K
2017年1月3日 (十二月)16:55,-17K,-5K
2016年11月30日 (十一月)16:55,-5K,-5K
2016年11月2日 (十月)16:55,-13K,-1K
2016年9月29日 (九月)15:55,1K,-5K
2016年8月31日 (八月)15:55,-7K,-5K
2016年7月28日 (七月)15:55,-7K,-3K
2016年6月30日 (六月)15:55,-6K,-5K
2016年5月31日 (五月)15:55,-11K,-5K
2016年4月28日 (四月)15:55,-16K,4K
2016年3月31日 (三月)15:55,0K,-7K
2016年3月1日 (二月)16:55,-10K,-10K
2016年2月2日 (一月)16:55,-20K,-7K
2016年1月5日 (十二月)16:55,-14K,-6K
2015年12月1日 (十一月)16:55,-13K,-5K
2015年10月29日 (十月)16:55,-5K,-4K
2015年9月30日 (九月)15:55,2K,-5K
2015年9月1日 (八月)15:55,-7K,-2K
2015年7月30日 (七月)15:55,9K,-5K
2015年6月30日 (六月)15:55,-1K,-5K
2015年6月2日 (五月)15:55,-6K,-10K
2015年4月30日 (四月)15:55,-8K,-13K
2015年3月31日 (三月)15:55,-15K,-12K
2015年2月26日 (二月)16:55,-20K,-10K
2015年1月29日 (一月)16:55,-9K,-10K
2015年1月7日 (十二月)16:55,-27K,-6K
2014年11月27日 (十一月)16:55,-14K,-1K
2014年10月30日 (十月)16:55,-22K,5K
2014年9月30日 (九月)15:55,12K,-2K
2014年8月28日15:55,2K,-5K
2014年7月31日15:55,-12K,-5K
2014年7月1日15:55,9K,-10K
2014年5月28日15:55,24K,-15K
2014年4月30日15:55,-25K,-10K
2014年4月1日15:55,-12K,-10K
2014年2月27日16:55,-14K,-10K
2014年1月30日16:55,-28K,-5K
2014年1月7日16:55,-15K,-1K
2013年11月28日16:55,10K,1K
2013年10月30日16:55,2K,5K
2013年10月1日15:55,25K,-5K
2013年8月29日15:55,7K,-5K
2013年7月31日15:55,-7K,-4K
2013年6月27日15:55,-12K,8K
2013年5月29日15:55,21K,5K
2013年4月30日15:55,4K,2K
2013年3月28日16:55,13K,-4K
2013年2月28日16:55,-3K,-5K
2013年1月31日16:55,-16K,8K
2013年1月3日16:55,3K,10K
2012年11月29日16:55,5K,15K
2012年10月30日16:55,20K,10K
2012年9月27日15:55,9K,10K
2012年8月30日15:55,9K,8K
2012年7月31日15:55,7K,10K
2012年6月28日15:55,7K,5K
2012年5月31日15:55,0K,-5K
2012年5月2日15:55,19K,-10K
2012年3月29日15:55,-18K,-10K
2012年2月29日16:55,0K,-5K
2012年1月31日16:55,-34K,-7K
2012年1月3日16:55,-22K,-10K
2011年11月30日16:55,-20K,-5K
2011年11月2日16:55,10K,-10K
2011年9月29日15:55,-26K,-9K
2011年8月31日15:55,-8K,-10K
2011年7月28日15:55,-11K,-15K
2011年6月30日15:55,-8K,-17K
2011年5月31日15:55,-8K,-31K
2011年4月28日15:55,-37K,-36K
2011年3月31日15:55,-55K,-29K
2011年3月1日16:55,-52K,-13K
2011年2月1日16:55,-13K,-10K
2011年1月4日16:55,3K,-14K
2010年11月30日16:55,-9K,-20K
2010年10月27日21:55,-3K,-27K
2010年9月30日15:55,-40K,-20K
2010年8月31日15:55,-17K,-19K
2010年7月29日15:55,-20K,-17K
2010年6月30日15:55,-21K,-23K
2010年6月1日15:55,-45K,-17K
2010年4月29日15:55,-68K,-11K
2010年3月31日15:55,-31K,10K
2010年2月25日16:55,7K,18K
2010年1月28日16:55,6K,17K
2010年1月5日16:55,-3K,6K
2009年12月1日16:55,-7K,5K
2009年10月29日16:55,-26K,15K
2009年9月30日15:55,-12K,15K
2009年9月1日15:55,-1K,30K
2009年7月30日15:55,-6K,44K
2009年6月30日15:55,31K,45K
2009年5月28日15:55,1K,66K
2009年4月30日15:55,58K,65K
2009年3月31日15:55,69K,53K
2009年2月26日16:55,40K,60K
2009年1月29日16:55,56K,32K
2009年1月7日16:55,18K,10K
2008年11月27日16:55,-10K,-4K
2008年10月30日16:55,-26K,-10K
2008年9月30日15:55,-29K,-15K
2008年8月28日15:55,-40K,-10K
2008年7月31日15:55,-20K,-20K
2008年7月1日 (六月)17:00,-55.00K, 
2008年6月1日 (五月)17:00,-6.00K, 
2008年5月1日 (四月)17:00,-8.00K, 
2008年4月1日 (三月)17:00,-61.00K, 
2008年3月1日 (二月)17:00,-66.00K, 
2008年2月1日 (一月)17:00,-78.00K, 
2008年1月1日 (十二月)17:00,-60.00K, 
2007年12月1日 (十一月)17:00,-51.00K, 
2007年11月1日 (十月)17:00,-33.00K, 
2007年10月1日 (九月)17:00,-54.00K, 
2007年9月1日 (八月)17:00,-21.00K, 
2007年8月1日 (七月)17:00,-41.00K, 
2007年7月1日 (六月)17:00,-50.00K, 
2007年6月1日 (五月)17:00,-25.00K, 
2007年5月1日 (四月)17:00,-47.00K, 
2007年4月1日 (三月)17:00,-69.00K, 
2007年3月1日 (二月)17:00,-66.00K, 
2007年2月1日 (一月)17:00,-89.00K, 
2007年1月1日 (十二月)17:00,-96.00K, 
2006年12月1日 (十一月)17:00,-91.00K, 
2006年11月1日 (十月)17:00,-77.00K, 
2006年10月1日 (九月)17:00,-19.00K, 
2006年9月1日 (八月)17:00,-21.00K, 
2006年8月1日 (七月)17:00,-96.00K, 
2006年7月1日 (六月)17:00,-60.00K, 
2006年6月1日 (五月)17:00,-97.00K, 
2006年5月1日 (四月)17:00,-60.00K, 
2006年4月1日 (三月)17:00,-8.00K, 
2006年3月1日 (二月)17:00,-2.00K, 
2006年2月1日 (一月)17:00,43.00K, 
2006年1月1日 (十二月)17:00,-58.00K, 
2005年12月1日 (十一月)17:00,-33.00K, 
2005年11月1日 (十月)17:00,-16.00K, 
2005年10月1日 (九月)17:00,-31.00K, 
2005年9月1日 (八月)17:00,-36.00K, 
2005年8月1日 (七月)17:00,-41.00K, 
2005年7月1日 (六月)17:00,-25.00K, 
2005年6月1日 (五月)17:00,-1.00K, 
2005年5月1日 (四月)17:00,-71.00K, 
2005年4月1日 (三月)17:00,58.00K, 
2005年3月1日 (二月)17:00,158.00K, 
2005年2月1日 (一月)17:00,264.00K, 
2005年1月1日 (十二月)17:00,58.00K, 
2004年12月1日 (十一月)17:00,31.00K, 
2004年11月1日 (十月)17:00,20.00K, 
2004年10月1日 (九月)17:00,25.00K, 
2004年9月1日 (八月)17:00,3.00K, 
2004年8月1日 (七月)17:00,27.00K, 
2004年7月1日 (六月)17:00,9.00K, 
2004年6月1日 (五月)17:00,9.00K, 
2004年5月1日 (四月)17:00,27.00K, 
2004年4月1日 (三月)17:00,10.00K, 
2004年3月1日 (二月)17:00,15.00K, 
2004年2月1日 (一月)17:00,-94.00K, 
2004年1月1日 (十二月)17:00,15.00K, 
2003年12月1日 (十一月)17:00,6.00K, 
2003年11月1日 (十月)17:00,-4.00K, 
2003年10月1日 (九月)17:00,-21.00K, 
2003年9月1日 (八月)17:00,-12.00K, 
2003年8月1日 (七月)17:00,8.00K, 
2003年7月1日 (六月)17:00,-13.00K, 
2003年6月1日 (五月)17:00,12.00K, 
2003年5月1日 (四月)17:00,15.00K, 
2003年4月1日 (三月)17:00,21.00K, 
2003年3月1日 (二月)17:00,46.00K, 
2003年2月1日 (一月)17:00,52.00K, 
2003年1月1日 (十二月)17:00,55.00K, 
2002年12月1日 (十一月)17:00,62.00K, 
2002年11月1日 (十月)17:00,41.00K, 
2002年10月1日 (九月)17:00,10.00K, 
2002年9月1日 (八月)17:00,0.00K, 
2002年8月1日 (七月)17:00,2.00K, 
2002年7月1日 (六月)17:00,71.00K, 
2002年6月1日 (五月)17:00,83.00K, 
2002年5月1日 (四月)17:00,-14.00K, 
2002年4月1日 (三月)17:00,-15.00K, 
2002年3月1日 (二月)17:00,-15.00K, 
2002年2月1日 (一月)17:00,10.00K, 
2002年1月1日 (十二月)17:00,15.00K, 
2001年12月1日 (十一月)17:00,23.00K, 
2001年11月1日 (十月)17:00,34.00K, 
2001年10月1日 (九月)17:00,39.00K, 
2001年9月1日 (八月)17:00,14.00K, 
2001年8月1日 (七月)17:00,14.00K, 
2001年7月1日 (六月)17:00,31.00K, 
2001年6月1日 (五月)17:00,8.00K, 
2001年5月1日 (四月)17:00,-10.00K, 
2001年4月1日 (三月)17:00,11.00K, 
2001年3月1日 (二月)17:00,3.00K, 
2001年2月1日 (一月)17:00,-6.00K, 
2001年1月1日 (十二月)17:00,-6.00K, 
2000年12月1日 (十一月)17:00,-9.00K, 
2000年11月1日 (十月)17:00,-28.00K, 
2000年10月1日 (九月)17:00,-16.00K, 
2000年9月1日 (八月)17:00,-5.00K, 
2000年8月1日 (七月)17:00,-11.00K, 
2000年7月1日 (六月)17:00,-9.00K, 
2000年6月1日 (五月)17:00,-45.00K, 
2000年5月1日 (四月)17:00,-19.00K, 
2000年4月1日 (三月)17:00,-3.00K, 
2000年3月1日 (二月)17:00,-29.00K, 
2000年2月1日 (一月)17:00,-38.00K, 
2000年1月1日 (十二月)17:00,-45.00K, 
1999年12月1日 (十一月)17:00,-29.00K, 
1999年11月1日 (十月)17:00,-15.00K, 
1999年10月1日 (九月)17:00,-1.00K, 
1999年9月1日 (八月)17:00,9.00K, 
1999年8月1日 (七月)17:00,0.00K, 
1999年7月1日 (六月)17:00,-5.00K, 
1999年6月1日 (五月)17:00,10.00K, 
1999年5月1日 (四月)17:00,2.00K, 
1999年4月1日 (三月)17:00,-27.00K, 
1999年3月1日 (二月)17:00,-11.00K, 
1999年2月1日 (一月)17:00,-33.00K, 
1999年1月1日 (十二月)17:00,49.00K, 
1998年12月1日 (十一月)17:00,11.00K, 
1998年11月1日 (十月)17:00,-31.00K, 
1998年10月1日 (九月)17:00,-41.00K, 
1998年9月1日 (八月)17:00,-27.00K, 
1998年8月1日 (七月)17:00,-41.00K, 
1998年7月1日 (六月)17:00,-74.00K, 
1998年6月1日 (五月)17:00,-59.00K, 
1998年5月1日 (四月)17:00,-47.00K, 
1998年4月1日 (三月)17:00,-22.00K, 
1998年3月1日 (二月)17:00,-29.00K, 
1998年2月1日 (一月)17:00,-17.00K, 
1998年1月1日 (十二月)17:00,-8.00K, 
1997年12月1日 (十一月)17:00,-9.00K, 
1997年11月1日 (十月)17:00,21.00K, 
1997年10月1日 (九月)17:00,32.00K, 
1997年9月1日 (八月)17:00,38.00K, 
1997年8月1日 (七月)17:00,25.00K, 
1997年7月1日 (六月)17:00,20.00K, 
1997年6月1日 (五月)17:00,70.00K, 
1997年5月1日 (四月)17:00,21.00K, 
1997年4月1日 (三月)17:00,-16.00K, 
1997年3月1日 (二月)17:00,-18.00K, 
1997年2月1日 (一月)17:00,179.00K, 
1997年1月1日 (十二月)17:00,26.00K, 
1996年12月1日 (十一月)17:00,44.00K, 
1996年11月1日 (十月)17:00,47.00K, 
1996年10月1日 (九月)17:00,41.00K, 
1996年9月1日 (八月)17:00,17.00K, 
1996年8月1日 (七月)17:00,20.00K, 
1996年7月1日 (六月)17:00,16.00K, 
1996年6月1日 (五月)17:00,2.00K, 
1996年5月1日 (四月)17:00,-35.00K, 
1996年4月1日 (三月)17:00,40.00K, 
1996年3月1日 (二月)17:00,78.00K, 
1996年2月1日 (一月)17:00,46.00K, 
1996年1月1日 (十二月)17:00,56.00K, 
