时间,今值,预测值
2017年9月29日 (九月)16:00, , 
2017年8月31日 (八月)15:55,5.7%,5.7%
2017年8月1日 (七月)15:55,5.7%,5.7%
2017年6月30日 (六月)15:55,5.7%,5.7%
2017年5月31日 (五月)16:00,5.7%,5.8%
2017年5月3日 (四月)15:55,5.8%,5.8%
2017年3月31日 (三月)16:00,5.8%,5.9%
2017年3月1日 (二月)16:55,5.9%,5.9%
2017年1月31日 (一月)16:55,5.9%,6.0%
2017年1月3日 (十二月)16:55,6.0%,6.0%
2016年11月30日 (十一月)16:55,6.0%,6.0%
2016年11月2日 (十月)16:55,6.0%,6.1%
2016年9月29日 (九月)15:55,6.1%,6.1%
2016年8月31日 (八月)15:55,6.1%,6.1%
2016年7月28日 (七月)15:55,6.1%,6.1%
2016年6月30日 (六月)15:55,6.1%,6.1%
2016年5月31日 (五月)15:55,6.1%,6.2%
2016年4月28日 (四月)15:55,6.2%,6.2%
2016年3月31日 (三月)15:55,6.2%,6.2%
2016年3月1日 (二月)16:55,6.2%,6.2%
2016年2月2日 (一月)16:55,6.2%,6.3%
2016年1月5日 (十二月)16:55,6.3%,6.3%
2015年12月1日 (十一月)16:55,6.3%,6.4%
2015年10月29日 (十月)16:55,6.4%,6.4%
2015年9月30日 (九月)15:55,6.4%,6.4%
2015年9月1日 (八月)15:55,6.4%,6.4%
2015年7月30日 (七月)15:55,6.4%,6.4%
2015年6月30日 (六月)15:55,6.4%,6.4%
2015年6月2日 (五月)15:55,6.4%,6.4%
2015年4月30日 (四月)15:55,6.4%,6.4%
2015年3月31日 (三月)15:55,6.4%,6.5%
2015年2月26日 (二月)16:55,6.5%,6.5%
2015年1月29日 (一月)16:55,6.5%,6.5%
2015年1月7日 (十二月)16:55,6.5%,6.6%
2014年11月27日 (十一月)16:55,6.6%,6.7%
2014年10月30日 (十月)16:55,6.7%,6.7%
2014年9月30日 (九月)15:55,6.7%,6.7%
2014年8月28日15:55,6.7%,6.7%
2014年7月31日15:55,6.7%,6.7%
2014年7月1日15:55,6.7%,6.7%
2014年5月28日15:55,6.7%,6.7%
2014年4月30日15:55,6.7%,6.7%
2014年4月1日15:55,6.7%,6.8%
2014年2月27日16:55,6.8%,6.8%
2014年1月30日16:55,6.8%,6.9%
2014年1月7日16:55,6.9%,6.9%
2013年11月28日16:55,6.9%,6.9%
2013年10月30日16:55,6.9%,6.9%
2013年10月1日15:55,6.9%,6.8%
2013年8月29日15:55,6.8%,6.8%
2013年7月31日15:55,6.8%,6.8%
2013年6月27日15:55,6.8%,6.9%
2013年5月29日15:55,6.9%,6.9%
2013年4月30日15:55,6.9%,6.9%
2013年3月28日16:55,6.9%,6.9%
2013年2月28日16:55,6.9%,6.8%
2013年1月31日16:55,6.8%,6.9%
2013年1月3日16:55,6.9%,6.9%
2012年11月29日16:55,6.9%,6.9%
2012年10月30日16:55,6.9%,6.9%
2012年9月27日15:55,6.8%,6.8%
2012年8月30日15:55,6.8%,6.8%
2012年7月31日15:55,6.8%,6.8%
2012年6月28日15:55,6.8%,6.7%
2012年5月31日15:55,6.7%,6.8%
2012年5月2日15:55,6.8%,6.7%
2012年3月29日15:55,6.7%,6.8%
2012年2月29日16:55,6.8%,6.7%
2012年1月31日16:55,6.7%,6.8%
2012年1月3日16:55,6.8%,6.9%
2011年11月30日16:55,6.9%,7.0%
2011年11月2日16:55,7.0%,6.9%
2011年9月29日15:55,6.9%,7.0%
2011年8月31日15:55,7.0%,7.0%
2011年7月28日15:55,7.0%,7.0%
2011年6月30日15:55,7.0%,7.0%
2011年5月31日15:55,7.0%,7.0%
2011年4月28日15:55,7.1%,7.0%
2011年3月31日15:55,7.1%,7.2%
2011年3月1日16:55,7.3%,7.4%
2011年2月1日16:55,7.4%,7.5%
2011年1月4日16:55,7.5%,7.5%
2010年11月30日16:55,7.5%,7.5%
2010年10月28日16:00,7.5%,7.4%
2010年9月30日15:55,7.5%,7.6%
2010年8月31日15:55,7.6%,7.6%
2010年7月29日15:55,7.6%,7.6%
2010年6月30日15:55,7.7%,7.7%
2010年6月1日15:55,7.7%,7.8%
2010年4月29日15:55,7.8%,8.0%
2010年3月31日15:55,8.0%,8.3%
2010年2月25日16:55,8.2%,8.2%
2010年1月28日16:55,8.2%,8.2%
2010年1月5日16:55,8.1%,8.1%
2009年10月29日16:55,8.1%,8.3%
2009年9月30日15:55,8.2%,8.3%
2009年9月1日15:55,8.3%,8.3%
2009年7月30日15:55,8.3%, 
2009年6月30日15:55,8.3%, 
2009年5月28日15:55,8.2%, 
2009年4月30日15:55,8.3%, 
2009年3月31日15:55,8.1%, 
2009年2月26日16:00,7.9%,7.9%
2009年1月29日16:00,7.8%,7.7%
2009年1月7日08:00,7.7%,7.7%
2008年7月1日15:55,7.8%,7.9%
2008年4月30日15:55,7.9%,7.8%
2008年4月1日15:55,7.9%,7.9%
2008年2月28日16:15,8.0%,8.0%
2008年1月1日 (十二月)17:00,8.40%, 
2007年12月1日 (十一月)17:00,8.50%, 
2007年11月1日 (十月)17:00,8.60%, 
2007年10月1日 (九月)17:00,8.70%, 
2007年9月1日 (八月)17:00,8.80%, 
2007年8月1日 (七月)17:00,8.90%, 
2007年7月1日 (六月)17:00,9.00%, 
2007年6月1日 (五月)17:00,9.10%, 
2007年5月1日 (四月)17:00,9.20%, 
2007年4月1日 (三月)17:00,9.30%, 
2007年3月1日 (二月)17:00,9.50%, 
2007年2月1日 (一月)17:00,9.60%, 
2007年1月1日 (十二月)17:00,9.80%, 
2006年12月1日 (十一月)17:00,10.10%, 
2006年11月1日 (十月)17:00,10.30%, 
2006年10月1日 (九月)17:00,10.50%, 
2006年9月1日 (八月)17:00,10.50%, 
2006年8月1日 (七月)17:00,10.60%, 
2006年7月1日 (六月)17:00,10.80%, 
2006年6月1日 (五月)17:00,10.90%, 
2006年5月1日 (四月)17:00,11.30%, 
2006年4月1日 (三月)17:00,11.40%, 
2006年3月1日 (二月)17:00,11.40%, 
2006年2月1日 (一月)17:00,11.40%, 
2006年1月1日 (十二月)17:00,11.30%, 
2005年12月1日 (十一月)17:00,11.50%, 
2005年11月1日 (十月)17:00,11.50%, 
2005年10月1日 (九月)17:00,11.60%, 
2005年9月1日 (八月)17:00,11.70%, 
2005年8月1日 (七月)17:00,11.70%, 
2005年7月1日 (六月)17:00,11.80%, 
2005年6月1日 (五月)17:00,11.90%, 
2005年5月1日 (四月)17:00,11.90%, 
2005年4月1日 (三月)17:00,12.10%, 
2005年3月1日 (二月)17:00,11.90%, 
2005年2月1日 (一月)17:00,11.60%, 
2005年1月1日 (十二月)17:00,10.90%, 
2004年12月1日 (十一月)17:00,10.80%, 
2004年11月1日 (十月)17:00,10.70%, 
2004年10月1日 (九月)17:00,10.70%, 
2004年9月1日 (八月)17:00,10.60%, 
2004年8月1日 (七月)17:00,10.60%, 
2004年7月1日 (六月)17:00,10.50%, 
2004年6月1日 (五月)17:00,10.50%, 
2004年5月1日 (四月)17:00,10.40%, 
2004年4月1日 (三月)17:00,10.40%, 
2004年3月1日 (二月)17:00,10.30%, 
2004年2月1日 (一月)17:00,10.30%, 
2004年1月1日 (十二月)17:00,10.50%, 
2003年12月1日 (十一月)17:00,10.50%, 
2003年11月1日 (十月)17:00,10.50%, 
2003年10月1日 (九月)17:00,10.50%, 
2003年9月1日 (八月)17:00,10.50%, 
2003年8月1日 (七月)17:00,10.60%, 
2003年7月1日 (六月)17:00,10.60%, 
2003年6月1日 (五月)17:00,10.60%, 
2003年5月1日 (四月)17:00,10.60%, 
2003年4月1日 (三月)17:00,10.50%, 
2003年3月1日 (二月)17:00,10.50%, 
2003年2月1日 (一月)17:00,10.40%, 
2003年1月1日 (十二月)17:00,10.20%, 
2002年12月1日 (十一月)17:00,10.10%, 
2002年11月1日 (十月)17:00,10.00%, 
2002年10月1日 (九月)17:00,9.90%, 
2002年9月1日 (八月)17:00,9.80%, 
2002年8月1日 (七月)17:00,9.80%, 
2002年7月1日 (六月)17:00,9.80%, 
2002年6月1日 (五月)17:00,9.70%, 
2002年5月1日 (四月)17:00,9.50%, 
2002年4月1日 (三月)17:00,9.60%, 
2002年3月1日 (二月)17:00,9.60%, 
2002年2月1日 (一月)17:00,9.60%, 
2002年1月1日 (十二月)17:00,9.60%, 
2001年12月1日 (十一月)17:00,9.60%, 
2001年11月1日 (十月)17:00,9.50%, 
2001年10月1日 (九月)17:00,9.40%, 
2001年9月1日 (八月)17:00,9.30%, 
2001年8月1日 (七月)17:00,9.30%, 
2001年7月1日 (六月)17:00,9.30%, 
2001年6月1日 (五月)17:00,9.20%, 
2001年5月1日 (四月)17:00,9.30%, 
2001年4月1日 (三月)17:00,9.30%, 
2001年3月1日 (二月)17:00,9.30%, 
2001年2月1日 (一月)17:00,9.30%, 
2001年1月1日 (十二月)17:00,9.30%, 
2000年12月1日 (十一月)17:00,9.30%, 
2000年11月1日 (十月)17:00,9.40%, 
2000年10月1日 (九月)17:00,9.40%, 
2000年9月1日 (八月)17:00,9.50%, 
2000年8月1日 (七月)17:00,9.50%, 
2000年7月1日 (六月)17:00,9.50%, 
2000年6月1日 (五月)17:00,9.50%, 
2000年5月1日 (四月)17:00,9.60%, 
2000年4月1日 (三月)17:00,10.10%, 
2000年3月1日 (二月)17:00,10.10%, 
2000年2月1日 (一月)17:00,10.20%, 
2000年1月1日 (十二月)17:00,10.30%, 
1999年12月1日 (十一月)17:00,10.40%, 
1999年11月1日 (十月)17:00,10.50%, 
1999年10月1日 (九月)17:00,10.50%, 
1999年9月1日 (八月)17:00,10.50%, 
1999年8月1日 (七月)17:00,10.50%, 
1999年7月1日 (六月)17:00,10.50%, 
1999年6月1日 (五月)17:00,10.50%, 
1999年5月1日 (四月)17:00,10.60%, 
1999年4月1日 (三月)17:00,10.60%, 
1999年3月1日 (二月)17:00,10.70%, 
1999年2月1日 (一月)17:00,10.70%, 
1999年1月1日 (十二月)17:00,10.80%, 
1998年12月1日 (十一月)17:00,10.60%, 
1998年11月1日 (十月)17:00,10.60%, 
1998年10月1日 (九月)17:00,10.70%, 
1998年9月1日 (八月)17:00,10.80%, 
1998年8月1日 (七月)17:00,10.90%, 
1998年7月1日 (六月)17:00,11.00%, 
1998年6月1日 (五月)17:00,11.20%, 
1998年5月1日 (四月)17:00,11.30%, 
1998年4月1日 (三月)17:00,11.50%, 
1998年3月1日 (二月)17:00,11.60%, 
1998年2月1日 (一月)17:00,11.70%, 
1998年1月1日 (十二月)17:00,11.70%, 
1997年12月1日 (十一月)17:00,11.70%, 
1997年11月1日 (十月)17:00,11.80%, 
1997年10月1日 (九月)17:00,11.70%, 
1997年9月1日 (八月)17:00,11.60%, 
1997年8月1日 (七月)17:00,11.50%, 
1997年7月1日 (六月)17:00,11.50%, 
1997年6月1日 (五月)17:00,11.40%, 
1997年5月1日 (四月)17:00,11.20%, 
1997年4月1日 (三月)17:00,11.20%, 
1997年3月1日 (二月)17:00,11.20%, 
1997年2月1日 (一月)17:00,11.30%, 
1997年1月1日 (十二月)17:00,10.80%, 
1996年12月1日 (十一月)17:00,10.70%, 
1996年11月1日 (十月)17:00,10.60%, 
1996年10月1日 (九月)17:00,10.50%, 
1996年9月1日 (八月)17:00,10.40%, 
1996年8月1日 (七月)17:00,10.40%, 
1996年7月1日 (六月)17:00,10.30%, 
1996年6月1日 (五月)17:00,10.30%, 
1996年5月1日 (四月)17:00,10.30%, 
1996年4月1日 (三月)17:00,10.30%, 
1996年3月1日 (二月)17:00,10.20%, 
1996年2月1日 (一月)17:00,10.00%, 
1996年1月1日 (十二月)17:00,9.90%, 
1995年12月1日 (十一月)17:00,9.70%, 
1995年11月1日 (十月)17:00,9.70%, 
1995年10月1日 (九月)17:00,9.60%, 
1995年9月1日 (八月)17:00,9.50%, 
1995年8月1日 (七月)17:00,9.40%, 
1995年7月1日 (六月)17:00,9.40%, 
1995年6月1日 (五月)17:00,9.30%, 
1995年5月1日 (四月)17:00,9.30%, 
1995年4月1日 (三月)17:00,9.20%, 
1995年3月1日 (二月)17:00,9.20%, 
1995年2月1日 (一月)17:00,9.20%, 
1995年1月1日 (十二月)17:00,9.30%, 
1994年12月1日 (十一月)17:00,9.30%, 
1994年11月1日 (十月)17:00,9.40%, 
1994年10月1日 (九月)17:00,9.50%, 
1994年9月1日 (八月)17:00,9.60%, 
1994年8月1日 (七月)17:00,9.70%, 
1994年7月1日 (六月)17:00,9.70%, 
1994年6月1日 (五月)17:00,9.80%, 
1994年5月1日 (四月)17:00,9.80%, 
1994年4月1日 (三月)17:00,9.70%, 
1994年3月1日 (二月)17:00,9.70%, 
1994年2月1日 (一月)17:00,9.70%, 
1994年1月1日 (十二月)17:00,9.60%, 
1993年12月1日 (十一月)17:00,9.60%, 
1993年11月1日 (十月)17:00,9.60%, 
1993年10月1日 (九月)17:00,9.40%, 
1993年9月1日 (八月)17:00,9.20%, 
1993年8月1日 (七月)17:00,9.10%, 
1993年7月1日 (六月)17:00,8.80%, 
1993年6月1日 (五月)17:00,8.70%, 
1993年5月1日 (四月)17:00,8.50%, 
1993年4月1日 (三月)17:00,8.40%, 
1993年3月1日 (二月)17:00,8.30%, 
1993年2月1日 (一月)17:00,8.20%, 
1993年1月1日 (十二月)17:00,8.10%, 
1992年12月1日 (十一月)17:00,8.00%, 
1992年11月1日 (十月)17:00,7.90%, 
1992年10月1日 (九月)17:00,7.80%, 
1992年9月1日 (八月)17:00,7.80%, 
1992年8月1日 (七月)17:00,7.80%, 
1992年7月1日 (六月)17:00,7.60%, 
1992年6月1日 (五月)17:00,7.60%, 
1992年5月1日 (四月)17:00,7.50%, 
1992年4月1日 (三月)17:00,7.40%, 
1992年3月1日 (二月)17:00,7.40%, 
1992年2月1日 (一月)17:00,7.60%, 
1992年1月1日 (十二月)17:00,7.30%, 
