时间,今值,预测值
2017年11月23日 (第二季度)15:00, ,0.6%
2017年8月25日 (第二季度)14:00,0.6%,0.6%
2017年8月15日 (第二季度)14:00  ,0.6%,0.7%
2017年5月23日 (第一季度)14:00,0.6%,0.6%
2017年5月12日 (第一季度)14:00  ,0.6%,0.6%
2017年2月23日 (第四季度)15:00,0.4%,0.4%
2017年2月14日 (第四季度)15:00  ,0.4%,0.5%
2016年11月24日 (第四季度)15:00,0.2%,0.2%
2016年11月15日 (第三季度)15:00  ,0.2%,0.3%
2016年8月24日 (第二季度)14:00,0.4%,0.4%
2016年8月12日 (第二季度)14:00  ,0.4%,0.2%
2016年5月24日 (第一季度)14:00,0.7%,0.7%
2016年5月13日 (第一季度)14:00  ,0.7%,0.6%
2016年2月23日 (第四季度)15:00,0.3%,0.3%
2016年2月12日 (第四季度)15:00  ,0.3%,0.3%
2015年11月24日 (第三季度)15:00,0.3%,0.3%
2015年11月13日 (第三季度)15:00  ,0.3%,0.3%
2015年8月25日 (第二季度)14:00,0.4%,0.4%
2015年8月14日 (第二季度)14:00  ,0.4%,0.5%
2015年5月22日 (第一季度)14:00,0.3%,0.3%
2015年5月13日 (第一季度)14:00  ,0.3%,0.5%
2015年2月24日 (第四季度)15:00,0.7%,0.7%
2015年2月13日 (第四季度)15:00  ,0.7%,0.3%
2014年11月25日 (第三季度)15:00,0.1%,0.1%
2014年11月14日 (第三季度)15:00  ,0.1%,0.1%
2014年9月1日 (第二季度)14:00,-0.2%,-0.2%
2014年8月14日 (第二季度)14:00  ,-0.2%,-0.1%
2014年5月23日14:00,0.8%,0.8%
2014年5月15日14:00  ,0.8%,0.7%
2014年2月25日15:00,0.4%,0.4%
2014年2月14日15:00  ,0.4%,0.3%
2013年11月22日15:00,0.3%,0.3%
2013年11月14日15:00  ,0.3%,0.3%
2013年8月23日14:00,0.7%,0.7%
2013年8月14日14:00  ,0.7%,0.6%
2013年5月24日14:00,0.1%,0.1%
2013年5月15日14:00  ,0.1%,0.3%
2013年2月22日15:00,-0.6%,-0.6%
2013年2月14日15:00  ,-0.6%,-0.5%
2012年11月23日15:00,0.2%,0.2%
2012年11月15日15:00  ,0.2%,0.2%
2012年8月23日14:00,0.3%,0.3%
2012年8月14日14:00  ,0.3%,0.2%
2012年5月24日14:00,0.5%,0.5%
2012年5月15日14:00  ,0.5%,0.1%
2012年2月24日15:00,-0.2%,-0.2%
2012年2月15日15:00  ,-0.2%,-0.3%
2011年11月24日15:00,0.5%,0.5%
2011年11月15日15:00  ,0.5%,0.5%
2011年9月1日14:00,0.1%,0.1%
2011年8月16日14:00  ,0.1%,0.5%
2011年5月24日14:00,1.5%,1.5%
2011年5月13日14:00  ,1.5%,0.9%
2011年2月24日15:00,0.4%,0.4%
2011年2月15日15:00  ,0.4%,0.5%
2010年11月23日15:00,0.7%,0.7%
2010年11月12日15:00  ,0.7%,0.8%
2010年8月24日14:00,2.2%,2.2%
2010年8月13日14:00  ,2.2%,1.3%
2010年5月21日14:00,0.2%,0.2%
2010年5月12日14:00  ,0.2%,0.0%
2010年2月24日15:00,0.0%,0.0%
2010年2月12日15:00  ,0.0%,0.1%
2009年11月24日15:00,0.7%,0.7%
2009年11月13日15:00  ,0.7%,0.8%
2009年8月25日14:00,0.3%,0.3%
2009年8月13日14:00  ,0.3%,-0.3%
2009年5月26日14:00,-3.8%,-3.8%
2009年5月15日14:00  ,-3.8%,-3.0%
2009年2月25日15:00,-2.1%,-2.1%
2009年2月13日15:00,-2.1%,-1.8%
2008年11月25日15:00,-0.5%,-0.5%
2008年8月26日14:00,-0.5%,-0.5%
2008年8月14日14:00,-0.5%,-0.8%
2008年5月15日15:00,1.5%,0.7%
2008年2月26日15:00,0.3%,0.3%
2008年2月14日10:00,0.3%,0.3%
