时间,今值,预测值
2017年9月8日 (七月)14:00,0.2%,1.3%
2017年8月8日 (六月)14:00,-2.8%,-0.3%
2017年7月10日 (五月)14:00,1.4%,0.3%
2017年6月9日 (四月)14:00,0.9%,0.3%
2017年5月9日 (三月)14:00,0.4%,0.2%
2017年4月7日 (二月)14:00,0.8%,-0.5%
2017年3月10日 (一月)15:00,2.7%,1.9%
2017年2月9日 (十二月)15:00,-3.3%,-1.1%
2017年1月9日 (十一月)15:00,3.9%,0.5%
2016年12月9日 (十月)15:00,0.5%,1.0%
2016年11月8日 (九月)15:00,-0.7%,-0.9%
2016年10月10日 (八月)14:00,5.4%,2.2%
2016年9月9日 (七月)14:00,-2.6%,0.3%
2016年8月9日 (六月)14:00,0.3%,1.0%
2016年7月8日 (五月)14:00,-1.8%,0.3%
2016年6月9日 (四月)14:00,0.0%,-0.6%
2016年5月10日 (三月)14:00,1.9%,-0.1%
2016年4月8日 (二月)14:00,1.3%,0.5%
2016年3月10日 (一月)15:00,-0.5%,0.5%
2016年2月9日 (十二月)15:00,-1.6%,0.5%
2016年1月8日 (十一月)15:00,0.4%,0.7%
2015年12月9日 (十月)15:00,-1.2%,-0.5%
2015年11月9日 (九月)15:00,2.6%,2.1%
2015年10月8日 (八月)14:00,-5.2%,-1.2%
2015年9月8日 (七月)14:00,2.4%,0.7%
2015年8月7日 (六月)14:00,-1.0%,-0.5%
2015年7月9日 (五月)14:00,1.7%,-0.8%
2015年6月8日 (四月)14:00,1.9%,0.1%
2015年5月8日 (三月)14:00,1.2%,0.4%
2015年4月9日 (二月)14:00,1.5%,1.0%
2015年3月9日 (一月)15:00,-2.1%,-1.5%
2015年2月9日 (十二月)15:00,3.4%,1.0%
2015年1月9日 (十一月)15:00,-2.1%,-0.2%
2014年12月9日 (十月)15:00,-0.5%,-1.6%
2014年11月7日 (九月)15:00,5.5%,1.9%
2014年10月9日14:00,-5.8%,-4.0%
2014年9月1日 (八月)17:00,-4.57%, 
2014年8月1日 (七月)17:00,3.82%, 
2014年7月1日 (六月)17:00,1.11%, 
2014年6月1日 (五月)17:00,-1.24%, 
2014年5月1日 (四月)17:00,2.83%, 
2014年4月1日 (三月)17:00,-1.86%, 
2014年3月1日 (二月)17:00,-1.55%, 
2014年2月1日 (一月)17:00,3.10%, 
2014年1月1日 (十二月)17:00,-1.87%, 
2013年12月1日 (十一月)17:00,0.98%, 
2013年11月1日 (十月)17:00,0.53%, 
2013年10月1日 (九月)17:00,0.55%, 
2013年9月1日 (八月)17:00,2.01%, 
2013年8月1日 (七月)17:00,-1.58%, 
2013年7月1日 (六月)17:00,0.30%, 
2013年6月1日 (五月)17:00,-1.05%, 
2013年5月1日 (四月)17:00,0.25%, 
2013年4月1日 (三月)17:00,1.56%, 
