时间,今值,预测值
2017年9月6日 (七月)14:00,-0.7%,0.3%
2017年8月4日 (六月)14:00,1.0%,0.5%
2017年7月6日 (五月)14:00,1.0%,2.0%
2017年6月7日 (四月)14:00,-2.1%,-0.4%
2017年5月8日 (三月)14:00,1.0%,1.0%
2017年4月6日 (二月)14:00,3.4%,4.0%
2017年3月7日 (一月)15:00,-7.4%,-2.5%
2017年2月6日 (十二月)15:00,5.2%,0.5%
2017年1月6日 (十一月)15:00,-2.5%,-2.3%
2016年12月6日 (十月)15:00,4.9%,0.6%
2016年11月7日 (九月)15:00,-0.6%,0.3%
2016年10月6日 (八月)14:00,1.0%,0.2%
2016年9月6日 (七月)14:00,0.2%,0.5%
2016年8月5日 (六月)14:00,-0.4%,0.6%
2016年7月6日 (五月)14:00,0.0%,1.0%
2016年6月6日 (四月)14:00,-2.0%,-0.5%
2016年5月9日 (三月)14:00,1.9%,0.7%
2016年4月5日 (二月)14:00,-1.2%,0.2%
2016年3月7日 (一月)15:00,-0.1%,-0.3%
2016年2月5日 (十二月)15:00,-0.7%,-0.5%
2016年1月7日 (十一月)15:00,1.5%,0.1%
2015年12月4日 (十月)15:00,1.8%,1.2%
2015年11月5日 (九月)15:00,-1.7%,1.0%
2015年10月6日 (八月)14:00,-1.8%,0.5%
2015年9月4日 (七月)14:00,-1.4%,-0.6%
2015年8月6日 (六月)14:00,2.0%,0.2%
2015年7月6日 (五月)14:00,-0.2%,-0.4%
2015年6月5日 (四月)14:00,1.4%,0.5%
2015年5月7日 (三月)14:00,0.9%,1.5%
2015年4月8日 (二月)14:00,-0.9%,1.5%
2015年3月5日 (一月)15:00,-3.9%,-1.0%
2015年2月5日 (十二月)15:00,4.2%,1.5%
2015年1月8日 (十一月)15:00,-2.4%,-0.7%
2014年12月5日 (十月)15:00,2.5%,0.6%
2014年11月6日 (九月)15:00,0.8%,2.3%
2014年10月6日 (八月)14:00,-5.7%,-2.5%
2014年9月4日14:00,4.6%,1.5%
2014年8月6日14:00,-3.2%,1.0%
2014年7月4日14:00,-1.7%,-1.0%
2014年6月5日14:00,3.1%,1.3%
2014年5月7日14:00,-2.8%,0.3%
2014年4月4日14:00,0.6%,0.1%
2014年3月6日19:00,1.2%,0.7%
2014年2月6日19:00,-0.5%,0.4%
2014年1月8日19:00,2.1%,1.5%
2013年12月6日19:00,-2.2%,-0.6%
2013年11月6日19:00,3.3%,0.5%
2013年10月8日18:00,-0.3%,1.2%
2013年9月5日18:00,-2.7%,-1.0%
2013年8月6日18:00,3.8%,1.0%
2013年7月5日18:00,-1.3%,1.2%
2013年6月6日18:00,-2.3%,-1.0%
2013年5月7日18:00,2.2%,-0.5%
2013年4月5日18:00,2.3%,1.2%
2013年3月7日19:00,-1.9%,0.5%
2013年2月6日19:00,0.8%,0.9%
2013年1月8日19:00,-1.8%,-1.4%
2012年12月6日19:00,3.9%,0.9%
2012年11月6日19:00,-3.3%,-0.5%
2012年10月5日18:00,-1.3%,-0.5%
2012年9月6日18:00,0.5%,0.2%
2012年8月7日18:00,-1.7%,-1.0%
2012年7月5日18:00,0.6%,0.2%
2012年6月5日18:00,-1.9%,-1.0%
2012年5月7日18:00,2.2%,0.5%
2012年4月4日18:00,0.3%,1.2%
2012年3月7日19:00,-2.7%,0.6%
2012年2月6日19:00,1.7%,0.5%
2012年1月6日19:00,-4.8%,-1.6%
2011年12月6日19:00,5.2%,1.0%
2011年11月4日19:00,-4.3%,0.3%
2011年10月6日18:00,-1.4%,0.1%
2011年9月6日18:00,-2.8%,-1.5%
2011年8月4日18:00,1.8%,-0.2%
2011年7月6日18:00,1.8%,-0.5%
2011年6月7日18:00,2.8%,2.0%
2011年5月5日18:00,-4.0%,0.4%
2011年4月6日18:00,2.4%,0.5%
2011年3月8日19:00,2.9%,2.5%
2011年2月7日19:00,-3.4%,-1.4%
2011年1月6日19:00,5.2%,1.1%
2010年12月7日19:00,1.6%,1.9%
2010年11月5日19:00,-4.0%,0.5%
