时间,今值,预测值
2017年9月22日 (九月)15:30, , 
2017年9月5日 (八月)15:55,53.5,53.4
2017年8月23日 (八月)15:30  ,53.4,53.3
2017年8月3日 (七月)15:55,53.1,53.5
2017年7月24日 (七月)15:30  ,53.5,54.3
2017年7月5日 (六月)15:55,54.0,53.7
2017年6月23日 (六月)15:30  ,53.7,55.5
2017年6月5日 (五月)15:55,55.4,55.2
2017年5月23日 (五月)15:30  ,55.2,55.5
2017年5月4日 (四月)15:55,55.4,54.7
2017年4月21日 (四月)15:30  ,54.7,55.5
2017年4月5日 (三月)15:55,55.6,55.6
2017年3月24日 (三月)16:30  ,55.6,54.6
2017年3月3日 (二月)16:55,54.4,54.4
2017年2月21日 (二月)16:30  ,54.4,53.6
2017年2月3日 (一月)16:55,53.4,53.2
2017年1月24日 (一月)16:30  ,53.2,54.5
2017年1月4日 (十二月)16:55,54.3,53.8
2016年12月15日 (十二月)16:30  ,53.8,54.9
2016年12月5日 (十一月)16:55,55.1,55.0
2016年11月23日 (十一月)16:30  ,55.0,54.0
2016年11月4日 (十月)16:55,54.2,54.1
2016年10月24日 (十月)15:30  ,54.1,51.5
2016年10月5日 (九月)15:55,50.9,50.6
2016年9月23日 (九月)15:30  ,50.6,52.1
2016年9月5日 (八月)15:55,51.7,53.3
2016年8月23日 (八月)15:30  ,53.3,54.4
2016年8月3日 (七月)15:55,54.4,54.6
2016年7月22日 (七月)15:30  ,54.6,53.2
2016年7月5日 (六月)15:55,53.7,53.2
2016年6月23日 (六月)15:30  ,53.2,55.0
2016年6月3日 (五月)15:55,55.2,55.2
2016年5月23日 (五月)15:30  ,55.2,54.6
2016年5月4日 (四月)15:55,54.5,54.6
2016年4月22日 (四月)15:30  ,54.6,55.2
2016年4月5日 (三月)15:55,55.1,55.5
2016年3月22日 (三月)16:30  ,55.5,55.0
2016年3月3日 (二月)16:55,55.3,55.1
2016年2月22日 (二月)16:30  ,55.1,54.7
2016年2月3日 (一月)16:55,55.0,55.4
2016年1月22日 (一月)16:30  ,55.4,55.6
2016年1月6日 (十二月)16:55,56.0,55.4
2015年12月16日 (十二月)16:30  ,55.4,55.5
2015年12月3日 (十一月)16:55,55.6,55.6
2015年11月23日 (十一月)16:30  ,55.6,54.3
2015年11月4日 (十月)16:55,54.5,55.2
2015年10月23日 (十月)15:30  ,55.2,53.9
2015年10月5日 (九月)15:55,54.1,54.3
2015年9月23日 (九月)15:30  ,54.3,54.6
2015年9月3日 (八月)15:55,54.9,53.6
2015年8月21日 (八月)15:30  ,53.6,53.9
2015年8月5日 (七月)15:55,53.8,53.7
2015年7月24日 (七月)15:30  ,53.7,53.9
2015年7月3日 (六月)15:55,53.8,54.2
2015年6月23日 (六月)15:30  ,54.2,53.0
2015年6月3日 (五月)15:55,53.0,52.9
2015年5月21日 (五月)15:30  ,52.9,53.9
2015年5月6日 (四月)15:55,54.0,54.4
2015年4月23日 (四月)15:30  ,54.4,55.5
2015年4月7日 (三月)15:55,55.4,55.3
2015年3月24日 (三月)16:30  ,55.3,55.0
2015年3月4日 (二月)16:55,54.7,55.5
2015年2月20日 (二月)16:30  ,55.5,54.2
2015年2月4日 (一月)16:55,54.0,52.7
2015年1月23日 (一月)16:30  ,52.7,52.5
2015年1月6日 (十二月)16:55,52.1,51.4
2014年12月16日 (十二月)16:30  ,51.4,52.6
2014年12月3日 (十一月)16:55,52.1,52.1
2014年11月20日 (十一月)16:30  ,52.1,54.5
2014年11月5日 (十月)16:55,54.4,54.8
2014年10月23日 (十月)15:30  ,54.8,55.0
2014年10月3日 (九月)15:55,55.7,55.4
2014年9月23日 (九月)15:30  ,55.4,54.6
2014年9月3日15:55,54.9,56.4
2014年8月21日15:30  ,56.4,55.7
2014年8月5日15:55,56.7,56.6
2014年7月24日15:30  ,56.6,54.5
2014年7月3日15:55,54.6,54.8
2014年6月23日15:30  ,54.8,55.7
2014年6月4日15:55,56.0,56.4
2014年5月22日15:30  ,56.4,54.5
2014年5月6日15:55,54.7,55.0
2014年4月23日15:30  ,55.0,53.4
2014年4月3日15:55,53.0,54.0
2014年3月24日16:30  ,54.0,55.5
2014年3月5日16:53,55.9,55.4
2014年2月20日16:28  ,55.4,53.4
2014年2月5日16:53,53.1,53.6
2014年1月23日16:28  ,53.6,54.0
2014年1月6日16:53,53.5,54.0
2013年12月16日16:28  ,54.0,55.5
2013年12月4日16:53,55.7,54.5
2013年11月21日16:28  ,54.5,53.0
2013年11月6日16:53,52.9,52.3
2013年10月24日15:28  ,52.3,53.9
2013年10月3日15:53,53.7,54.4
2013年9月23日15:28  ,54.4,53.1
2013年9月4日15:53,52.8,52.4
2013年8月22日15:28  ,52.4,51.8
2013年8月5日15:53,51.3,52.5
2013年7月24日15:28  ,52.5,50.8
2013年7月3日15:53,50.4,51.3
2013年6月20日15:28  ,51.3,50.0
2013年6月5日15:53,49.7,49.8
2013年5月23日15:28  ,49.8,50.0
2013年5月6日15:53,49.6,49.2
2013年4月23日15:28  ,49.2,51.0
2013年4月4日15:53,50.9,51.6
2013年3月21日16:28  ,51.6,55.0
2013年3月5日16:55,54.7,54.1
2013年2月21日16:28  ,54.1,55.5
2013年2月5日16:55,55.7,55.3
2013年1月24日16:28  ,55.3,52.0
2013年1月4日16:55,52.0,52.1
2012年12月14日16:28  ,52.1,50.0
2012年12月5日16:55,49.7,48.0
2012年11月22日16:30  ,48.0,48.5
2012年11月6日16:55,48.4,49.3
2012年10月24日15:28  ,49.3,50.0
2012年10月3日15:55,49.7,50.6
2012年9月20日15:28  ,50.6,48.5
2012年9月5日15:55,48.3,48.3
2012年8月23日15:28  ,48.3,50.0
2012年8月3日15:55,50.3,49.7
2012年7月24日15:28  ,49.7,50.0
2012年7月4日15:55,49.9,50.3
2012年6月21日15:28  ,50.3,51.5
2012年6月5日15:55,51.8,52.2
2012年5月24日15:28  ,52.2,52.0
2012年5月4日15:55,52.2,52.6
2012年4月23日15:28  ,52.6,52.3
2012年4月4日15:55,52.1,51.8
2012年3月22日16:28  ,51.8,53.0
2012年3月5日16:55,52.8,52.6
