时间,今值,预测值
2017年9月22日 (九月)15:30, , 
2017年9月5日 (八月)15:55,55.8,55.7
2017年8月23日 (八月)15:30  ,55.7,54.7
2017年8月3日 (七月)15:55,54.7,55.1
2017年7月24日 (七月)15:30  ,55.1,56.3
2017年7月5日 (六月)15:55,56.4,56.1
2017年6月23日 (六月)15:30  ,56.1,57.3
2017年6月5日 (五月)15:55,57.4,57.3
2017年5月23日 (五月)15:30  ,57.3,56.6
2017年5月4日 (四月)15:55,56.7,56.3
2017年4月21日 (四月)15:30  ,56.3,56.8
2017年4月5日 (三月)15:55,57.1,57.0
2017年3月24日 (三月)16:30  ,57.0,56.0
2017年3月3日 (二月)16:55,56.1,56.1
2017年2月21日 (二月)16:30  ,56.1,54.7
2017年2月3日 (一月)16:55,54.8,54.7
2017年1月24日 (一月)16:30  ,54.7,55.2
2017年1月4日 (十二月)16:55,55.2,54.8
2016年12月15日 (十二月)16:30  ,54.8,54.8
2016年12月5日 (十一月)16:55,55.0,54.9
2016年11月23日 (十一月)16:30  ,54.9,55.0
2016年11月4日 (十月)16:55,55.1,55.1
2016年10月24日 (十月)15:30  ,55.1,53.3
2016年10月5日 (九月)15:55,52.8,52.7
2016年9月23日 (九月)15:30  ,52.7,53.4
2016年9月5日 (八月)15:55,53.3,54.4
2016年8月23日 (八月)15:30  ,54.4,55.0
2016年8月3日 (七月)15:55,55.3,55.3
2016年7月22日 (七月)15:30  ,55.3,53.7
2016年7月5日 (六月)15:55,54.4,54.1
2016年6月23日 (六月)15:30  ,54.1,54.2
2016年6月3日 (五月)15:55,54.5,54.7
2016年5月23日 (五月)15:30  ,54.7,53.8
2016年5月4日 (四月)15:55,53.6,53.8
2016年4月22日 (四月)15:30  ,53.8, 
2016年4月5日 (三月)15:55,54.0,54.1
2016年3月22日 (三月)16:30  ,54.1,53.9
2016年3月3日 (二月)16:55,54.1,53.8
2016年2月22日 (二月)16:30  ,53.8,54.1
2016年2月3日 (一月)16:55,54.5,54.5
2016年1月22日 (一月)16:30  ,54.5, 
2016年1月6日 (十二月)16:55,55.5,54.9
2015年12月16日 (十二月)16:30  ,54.9,55.3
2015年12月3日 (十一月)16:55,55.2,54.9
2015年11月23日 (十一月)16:30  ,54.9,54.0
2015年11月4日 (十月)16:55,54.2,54.5
2015年10月23日 (十月)15:30  ,54.5,53.7
2015年10月5日 (九月)15:55,54.1, 
2015年9月23日 (九月)15:30  ,54.3,54.6
2015年9月3日 (八月)15:55,55.0,54.0
2015年8月21日 (八月)15:30  ,54.0, 
2015年8月5日 (七月)15:55,53.7,53.4
2015年7月24日 (七月)15:30  ,53.4,53.9
2015年7月3日 (六月)15:55,53.7,54.0
2015年6月23日 (六月)15:30  ,54.0,52.8
2015年6月3日 (五月)15:55,52.6,52.8
2015年5月21日 (五月)15:30  ,52.8,53.8
2015年5月6日 (四月)15:55,54.1,54.2
2015年4月23日 (四月)15:30  ,54.2, 
2015年4月7日 (三月)15:55,55.4,55.3
2015年3月24日 (三月)16:30  ,55.3,54.1
2015年3月4日 (二月)16:55,53.8,54.3
2015年2月20日 (二月)16:30  ,54.3, 
2015年2月4日 (一月)16:55,53.5,52.6
2015年1月23日 (一月)16:30  ,52.6,52.4
2015年1月6日 (十二月)16:55,52.0,51.4
2014年12月16日 (十二月)16:30  ,51.4, 
2014年11月20日 (十一月)16:30  ,52.1, 
2014年10月23日 (十月)15:30  ,54.3,53.6
2014年9月23日15:30  ,54.0,53.5
2014年8月1日 (七月)17:00,55.70, 
2014年7月1日 (六月)17:00,54.00, 
2014年6月1日 (五月)17:00,55.60, 
2014年5月1日 (四月)17:00,56.10, 
2014年4月1日 (三月)17:00,54.30, 
2014年3月1日 (二月)17:00,56.40, 
2014年2月1日 (一月)17:00,55.50, 
2014年1月1日 (十二月)17:00,55.00, 
2013年12月1日 (十一月)17:00,55.40, 
2013年11月1日 (十月)17:00,53.20, 
2013年10月1日 (九月)17:00,53.20, 
2013年9月1日 (八月)17:00,53.50, 
2013年8月1日 (七月)17:00,52.10, 
2013年7月1日 (六月)17:00,50.40, 
2013年6月1日 (五月)17:00,50.20, 
2013年5月1日 (四月)17:00,49.20, 
2013年4月1日 (三月)17:00,50.60, 
2013年3月1日 (二月)17:00,53.30, 
2013年2月1日 (一月)17:00,54.40, 
2013年1月1日 (十二月)17:00,50.30, 
2012年12月1日 (十一月)17:00,49.20, 
2012年11月1日 (十月)17:00,47.70, 
2012年10月1日 (九月)17:00,49.20, 
2012年9月1日 (八月)17:00,47.00, 
2012年8月1日 (七月)17:00,47.50, 
2012年7月1日 (六月)17:00,48.10, 
