时间,今值,预测值
2017年9月28日 (八月)20:00, ,0.1%
2017年9月13日 (八月)14:00, ,0.2%
2017年8月30日 (八月)20:00  ,0.2%,0.1%
2017年8月11日 (七月)14:00,0.4%,0.4%
2017年7月28日 (七月)18:00  ,0.4%,0.3%
2017年7月13日 (六月)14:00,0.2%,0.2%
2017年6月29日 (六月)20:00  ,0.2%,-0.2%
2017年6月14日 (五月)14:00,-0.2%,-0.2%
2017年5月30日 (五月)20:00  ,-0.2%,-0.1%
2017年5月12日 (四月)14:00,0.0%,0.0%
2017年4月27日 (四月)20:00  ,0.0%,-0.1%
2017年4月13日 (三月)14:00,0.1%,0.1%
2017年3月30日 (三月)20:00  ,0.1%,0.5%
2017年3月14日 (二月)15:00,0.7%,0.7%
2017年3月1日 (二月)21:00  ,0.7%,0.6%
2017年2月14日 (一月)15:00,-0.8%,-0.8%
2017年1月30日 (一月)21:00  ,-0.8%,-0.7%
2017年1月18日 (十二月)15:00,1.0%,1.0%
2017年1月3日 (十二月)21:00  ,1.0%,0.6%
2016年12月13日 (十一月)15:00,0.0%,0.0%
2016年11月29日 (十一月)21:00  ,0.0%,0.1%
2016年11月11日 (十月)15:00,0.2%,0.2%
2016年10月28日 (十月)20:00  ,0.2%,0.1%
2016年10月13日 (九月)14:00,0.0%,0.0%
2016年9月29日 (九月)20:00  ,0.0%,0.0%
2016年9月13日 (八月)14:00,-0.1%,-0.1%
2016年8月30日 (八月)20:00  ,-0.1%,0.1%
2016年8月12日 (七月)14:00,0.4%,0.4%
2016年7月28日 (七月)20:00  ,0.4%,0.3%
2016年7月12日 (六月)14:00,0.1%,0.1%
2016年6月29日 (六月)20:00  ,0.1%,0.1%
2016年6月10日 (五月)14:00,0.4%,0.4%
2016年5月30日 (五月)20:00  ,0.4%,0.3%
2016年5月13日 (四月)14:00,-0.5%,-0.5%
2016年4月28日 (四月)20:00  ,-0.3%,-0.2%
2016年4月12日 (三月)14:00,0.8%,0.8%
2016年3月30日 (三月)20:00  ,0.8%,0.7%
2016年3月11日 (二月)15:00,0.4%,0.4%
2016年2月26日 (二月)21:00  ,0.4%,0.6%
2016年2月25日 (一月)15:00,-1.0%,-1.0%
2016年1月28日 (一月)21:00  ,-0.9%,-1.0%
2016年1月19日 (十二月)15:00,0.0%,0.0%
2016年1月4日 (十二月)21:00  ,0.0%,0.2%
2015年12月11日 (十一月)15:00,0.1%,0.1%
2015年11月30日 (十一月)21:00  ,0.1%,0.1%
2015年11月12日 (十月)15:00,0.0%,0.0%
2015年10月29日 (十月)21:00  ,0.0%,-0.1%
2015年10月13日 (九月)14:00,-0.3%,-0.3%
2015年9月29日 (九月)20:00  ,-0.3%,-0.1%
2015年9月11日 (八月)14:00,0.0%,0.0%
2015年8月28日 (八月)20:00  ,0.0%,-0.1%
2015年8月13日 (七月)14:00,0.3%,0.3%
2015年7月30日 (七月)20:00  ,0.3%,0.3%
2015年7月14日 (六月)14:00,-0.2%,-0.2%
2015年6月29日 (六月)20:00  ,-0.2%,0.2%
2015年6月16日 (五月)14:00,0.1%,0.1%
2015年6月1日 (五月)20:00  ,0.1%,-0.1%
2015年5月13日 (四月)14:00,-0.1%,-0.1%
2015年4月29日 (四月)20:00  ,-0.1%,-0.1%
2015年4月15日 (三月)14:00,0.5%,0.5%
2015年3月30日 (三月)20:00  ,0.5%,0.5%
2015年3月12日 (二月)15:00,1.00%,1.00%
2015年2月27日 (二月)21:00  ,1.00%,0.70%
2015年2月12日 (一月)15:00,-1.30%,-1.30%
2015年1月29日 (一月)21:00  ,-1.30%,-1.00%
2015年1月16日 (十二月)15:00,0.10%,0.10%
2015年1月5日 (十二月)21:00  ,0.10%,0.20%
2014年12月11日 (十一月)15:00,0.00%,0.00%
2014年11月27日21:00  ,0.00%,0.00%
2014年11月13日 (十月)15:00,-0.30%,-0.30%
2014年10月15日 (九月)14:00,0.00%,0.00%
2014年9月1日 (八月)17:00,0.00%, 
2014年8月1日 (七月)17:00,0.30%, 
2014年7月1日 (六月)17:00,0.40%, 
2014年6月1日 (五月)17:00,-0.30%, 
2014年5月1日 (四月)17:00,-0.30%, 
2014年4月1日 (三月)17:00,0.30%, 
2014年3月1日 (二月)17:00,0.50%, 
2014年2月1日 (一月)17:00,-0.70%, 
2014年1月1日 (十二月)17:00,0.50%, 
2013年12月1日 (十一月)17:00,0.20%, 
2013年11月1日 (十月)17:00,-0.20%, 
2013年10月1日 (九月)17:00,0.00%, 
2013年9月1日 (八月)17:00,0.00%, 
2013年8月1日 (七月)17:00,0.40%, 
2013年7月1日 (六月)17:00,0.10%, 
2013年6月1日 (五月)17:00,0.40%, 
2013年5月1日 (四月)17:00,-0.60%, 
2013年4月1日 (三月)17:00,0.40%, 
2013年3月1日 (二月)17:00,0.80%, 
2013年2月1日 (一月)17:00,-0.70%, 
2013年1月1日 (十二月)17:00,1.00%, 
2012年12月1日 (十一月)17:00,-0.10%, 
2012年11月1日 (十月)17:00,0.10%, 
2012年10月1日 (九月)17:00,0.00%, 
2012年9月1日 (八月)17:00,0.30%, 
2012年8月1日 (七月)17:00,0.40%, 
2012年7月1日 (六月)17:00,-0.20%, 
2012年6月1日 (五月)17:00,-0.30%, 
2012年5月1日 (四月)17:00,0.20%, 
2012年4月1日 (三月)17:00,0.40%, 
2012年3月1日 (二月)17:00,0.90%, 
2012年2月1日 (一月)17:00,-0.50%, 
2012年1月1日 (十二月)17:00,0.80%, 
2011年12月1日 (十一月)17:00,0.00%, 
2011年11月1日 (十月)17:00,0.00%, 
2011年10月1日 (九月)17:00,0.10%, 
2011年9月1日 (八月)17:00,-0.10%, 
2011年8月1日 (七月)17:00,0.40%, 
2011年7月1日 (六月)17:00,0.00%, 
2011年6月1日 (五月)17:00,-0.20%, 
2011年5月1日 (四月)17:00,0.20%, 
2011年4月1日 (三月)17:00,0.50%, 
2011年3月1日 (二月)17:00,0.60%, 
2011年2月1日 (一月)17:00,-0.60%, 
2011年1月1日 (十二月)17:00,1.20%, 
2010年12月1日 (十一月)17:00,0.10%, 
2010年11月1日 (十月)17:00,0.10%, 
2010年10月1日 (九月)17:00,-0.20%, 
2010年9月1日 (八月)17:00,0.00%, 
2010年8月1日 (七月)17:00,0.30%, 
2010年7月1日 (六月)17:00,0.00%, 
2010年6月1日 (五月)17:00,0.10%, 
2010年5月1日 (四月)17:00,-0.10%, 
2010年4月1日 (三月)17:00,0.60%, 
2010年3月1日 (二月)17:00,0.20%, 
2010年2月1日 (一月)17:00,-0.70%, 
2010年1月1日 (十二月)17:00,0.80%, 
2009年12月1日 (十一月)17:00,-0.10%, 
2009年11月1日 (十月)17:00,0.20%, 
2009年10月1日 (九月)17:00,-0.40%, 
2009年9月1日 (八月)17:00,0.40%, 
2009年8月1日 (七月)17:00,0.00%, 
2009年7月1日 (六月)17:00,0.40%, 
2009年6月1日 (五月)17:00,-0.20%, 
