时间,今值,预测值
2017年9月21日 (第二季度)06:45, , 
2017年6月15日 (第一季度)06:45,0.5%,0.7%
2017年3月16日 (第四季度)05:45,0.4%,0.7%
2016年12月22日 (第三季度)05:45,1.1%,0.9%
2016年9月15日 (第二季度)06:45,0.9%,1.1%
2016年6月16日 (第一季度)06:45,0.7%,0.5%
2016年3月17日 (第四季度)05:45,0.9%,0.6%
2015年12月17日 (第三季度)05:45,0.9%,0.8%
2015年9月17日 (第二季度)06:45,0.4%,0.5%
2015年6月18日 (第一季度)06:45,0.2%,0.6%
2015年3月19日 (第四季度)05:45,0.8%,0.7%
2014年12月18日 (第三季度)05:45,1.0%,0.7%
2014年9月18日 (第二季度)06:45,0.7%,0.6%
2014年6月19日06:45,1.0%,1.2%
2014年3月20日05:45,0.9%,0.9%
2013年12月19日05:45,1.4%,1.1%
2013年9月19日06:45,0.2%,0.1%
2013年6月20日06:45,0.3%,0.6%
2013年3月21日05:45,1.5%,0.9%
2012年12月20日05:45,0.2%,0.4%
2012年9月20日06:45,0.6%,0.3%
2012年6月21日06:45,1.1%,0.5%
2012年3月22日05:45,0.3%,0.6%
2011年12月22日05:45,0.8%,0.6%
2011年9月22日06:45,0.1%,0.5%
2011年7月14日06:45,0.8%,0.3%
2011年3月24日05:45,0.2%,0.1%
2010年12月23日05:45,-0.2%,0.1%
2010年9月23日06:45,0.2%,0.5%
2010年6月24日06:45,0.6%,0.5%
2010年3月25日05:45,0.8%,0.8%
2009年12月23日05:45,0.2%,0.4%
2009年9月23日06:45,0.1%,-0.2%
2009年6月26日06:45,-1.0%,-0.7%
2009年3月27日05:45,-0.9%,-1.1%
2008年12月23日05:45,-0.4%,-0.5%
2008年9月26日06:45,-0.2%,-0.5%
2008年6月27日06:45,-0.3%,-0.3%
2008年3月28日05:45,1.0%,0.8%
