时间,今值,预测值
2017年7月18日 (第二季度)06:45,0.0%,0.2%
2017年4月20日 (第一季度)06:45,1.0%,0.8%
2017年1月26日 (第四季度)05:45,0.4%,0.3%
2016年10月18日 (第三季度)05:45,0.2%,0.0%
2016年7月18日 (第二季度)06:45,0.4%,0.5%
2016年4月18日 (第一季度)06:45,0.2%,0.1%
2016年1月20日 (第四季度)05:45,-0.5%,-0.2%
2015年10月16日 (第三季度)05:45,0.3%,0.2%
2015年7月16日 (第二季度)06:45,0.4%,0.6%
2015年4月20日 (第一季度)06:45,-0.3%,-0.2%
2015年1月21日 (第四季度)05:45,-0.2%,0.0%
2014年10月23日 (第二季度)05:45,0.3%,0.5%
2014年7月16日 (第二季度)06:45,0.3%,0.4%
2014年4月16日06:45,0.3%,0.5%
2014年1月21日05:45,0.1%,-0.1%
2013年10月16日05:45,0.9%,0.9%
2013年7月16日06:45,0.2%,0.3%
2013年4月17日06:45,0.4%,0.4%
2013年1月18日05:45,-0.2%,0.1%
2012年10月16日05:45,0.3%,0.6%
2012年7月17日06:45,0.3%,0.5%
2012年4月19日06:45,0.5%,0.6%
2012年1月19日05:45,-0.3%,0.4%
2011年10月25日05:45,0.4%,0.7%
2011年7月18日06:45,1.0%,0.8%
2011年4月18日06:45,0.8%,1.0%
2011年1月20日05:45,2.3%,2.3%
2010年10月18日05:45,1.1%,1.0%
2010年7月16日06:45,0.3%,0.5%
2010年4月20日06:45,0.4%,0.6%
2010年1月20日05:45,-0.2%,0.0%
2009年10月15日05:45,1.3%,0.8%
2009年7月16日06:45,0.6%,0.5%
2009年4月17日06:45,0.3%,0.3%
2009年1月20日05:45,-0.5%,-0.4%
2008年10月21日05:45,1.5%,1.5%
2008年7月15日06:45,1.6%,1.4%
2008年4月15日06:45,0.7%,0.9%
