时间,今值,预测值
2017年8月2日 (第二季度)06:45,4.8%,4.8%
2017年5月3日 (第一季度)06:45,4.9%,5.2%
2017年2月1日 (第四季度)05:45,5.2%,4.8%
2016年11月2日 (第三季度)05:45,4.9%,5.1%
2016年8月17日 (第二季度)06:45,5.1%,5.3%
2016年5月4日 (第一季度)06:45,5.7%,5.5%
2016年2月3日 (第四季度)05:45,5.3%,6.1%
2015年11月4日 (第三季度)05:45,6.0%,6.0%
2015年8月5日 (第二季度)06:45,5.9%,5.9%
2015年5月6日 (第一季度)06:45,5.8%,5.5%
2015年2月4日 (第四季度)05:45,5.7%,5.3%
2014年11月5日 (第三季度)05:45,5.4%,5.4%
2014年8月6日 (第二季度)06:45,5.6%,5.8%
2014年5月7日06:45,6.0%,5.9%
2014年2月5日05:45,6.0%,6.0%
2013年11月6日05:45,6.2%,6.3%
2013年8月7日06:45,6.4%,6.3%
2013年5月9日06:45,6.2%,6.8%
2013年2月7日05:45,6.9%,7.1%
2012年11月8日05:45,7.3%,6.7%
2012年8月9日06:45,6.8%,6.5%
2012年5月3日06:45,6.7%,6.3%
2012年2月9日05:45,6.3%,6.5%
2011年11月3日05:45,6.6%,6.4%
2011年8月4日06:45,6.5%,6.5%
2011年5月5日06:45,6.6%,6.7%
2011年2月3日05:45,6.8%,6.5%
2010年11月4日05:45,6.4%,6.7%
2010年8月5日06:45,6.8%,6.2%
2010年5月6日06:45,6.0%,7.3%
2010年2月4日05:45,7.3%,6.8%
2009年11月5日05:45,6.5%,6.4%
2009年8月6日06:45,6.0%,5.6%
2009年5月7日06:45,5.0%,5.3%
2009年2月5日05:45,4.6%,4.6%
2008年11月6日05:45,4.2%,4.3%
2008年8月7日06:45,3.9%,3.8%
2008年5月8日06:45,3.6%,3.5%
