时间,今值,预测值
2017年8月2日 (第二季度)06:45,-0.2%,0.7%
2017年5月3日 (第一季度)06:45,1.2%,0.8%
2017年2月1日 (第四季度)05:45,0.8%,0.8%
2016年11月2日 (第三季度)05:45,1.4%,0.6%
2016年8月17日 (第二季度)06:45,2.4%,0.6%
2016年5月4日 (第一季度)06:45,1.2%,0.7%
2016年2月3日 (第四季度)05:45,0.9%,0.8%
2015年11月4日 (第三季度)05:45,-0.4%,0.4%
2015年8月5日 (第二季度)06:45,0.3%,0.5%
2015年5月6日 (第一季度)06:45,0.7%,0.8%
2015年2月4日 (第四季度)05:45,1.2%,0.8%
2014年11月5日 (第三季度)05:45,0.8%,0.6%
2014年8月6日 (第二季度)06:45,0.4%,0.7%
2014年5月7日06:45,0.9%,0.6%
2014年2月5日05:45,1.1%,0.6%
2013年11月6日05:45,1.2%,0.6%
2013年8月7日06:45,0.4%,0.4%
2013年5月9日06:45,1.7%,0.8%
2013年2月7日05:45,-1.0%,0.4%
2012年11月8日05:45,-0.4%,0.3%
2012年8月9日06:45,-0.1%,0.3%
2012年5月3日06:45,0.4%,0.3%
2012年2月9日05:45,0.1%,0.4%
2011年11月3日05:45,0.2%,0.6%
2011年8月4日06:45,0.0%,0.1%
2011年5月5日06:45,1.4%,0.6%
2011年2月3日05:45,-0.5%,0.2%
2010年11月4日05:45,1.0%,0.5%
2010年8月5日06:45,-0.3%,0.5%
2010年5月6日06:45,1.0%,0.3%
2010年2月4日05:45,-0.1%,-0.1%
2009年11月5日05:45,-0.8%,-0.3%
2009年8月6日06:45,-0.4%,-0.6%
2009年5月7日06:45,-1.1%,-1.0%
2009年2月5日05:45,0.9%,-0.7%
2008年11月6日05:45,0.1%,-0.8%
2008年8月7日06:45,1.2%,0.1%
2008年5月8日06:45,-1.3%,-0.1%
