时间,今值,预测值
2017年8月14日06:45,2.1%, 
2017年5月15日06:45,1.2%,0.9%
2017年2月17日05:45,0.6%, 
2016年11月21日05:45,0.3%,1.1%
2016年8月12日06:45,2.6%,1.1%
2016年5月13日06:45,1.0%,1.1%
2016年2月16日05:45,1.4%,1.1%
2015年11月16日05:45,1.0%,1.4%
2015年8月14日06:45,0.1%,0.7%
2015年5月14日06:45,2.9%,1.5%
2015年2月16日05:45,1.5%,1.1%
2014年11月17日05:45,1.4%,1.0%
2014年8月14日06:45,1.2%,1.1%
2014年5月14日06:45,0.8%,0.9%
2014年2月17日05:45,0.7%,1.2%
2013年11月14日05:45,-0.1%,1.4%
2013年8月14日06:45,2.3%,1.3%
2013年5月14日06:45,0.6%,0.7%
2013年2月15日05:45,1.5%, 
2012年11月14日05:45,-0.3%,0.6%
2012年8月14日06:45,0.9%,1.0%
2012年5月14日06:45,-2.5%,0.3%
2012年2月15日05:45,2.9%,1.1%
2011年11月14日05:45,2.4%,0.7%
2011年8月25日06:45,1.0%,0.7%
2011年6月15日06:45,0.7%,0.7%
2011年2月14日05:45,0.0%, 
2010年11月15日05:45,0.9%, 
2010年8月13日06:45,0.9%, 
2010年5月14日06:45,-0.5%, 
2010年2月12日05:45,1.3%, 
