时间,今值,预测值
2017年9月26日 (八月)05:45, , 
2017年8月24日 (七月)06:45,4.55B,4.60B
2017年7月26日 (六月)06:45,4.46B,4.39B
2017年6月27日 (五月)06:45,4.85B,4.48B
2017年5月24日 (四月)06:45,4.17B,4.10B
2017年4月28日 (三月)06:45,4.31B,4.30B
2017年3月24日 (二月)05:45,4.02B,3.99B
2017年2月28日 (一月)05:45,4.19B,3.90B
2017年1月30日 (十二月)05:45,4.42B,4.34B
2016年12月21日 (十一月)05:45,4.56B, 
2016年11月25日 (十月)05:45,4.74B, 
2016年10月27日 (九月)05:45,4.90B,4.65B
2016年9月26日 (八月)05:45,4.65B,4.31B
2016年8月24日 (七月)06:45,4.40B,4.45B
2016年7月26日 (六月)06:45,4.13B,4.11B
2016年6月27日 (五月)06:45,4.22B, 
2016年5月25日 (四月)06:45,4.01B,4.06B
2016年4月27日 (三月)06:45,4.09B,4.30B
2016年3月24日 (二月)05:45,3.91B,3.94B
2016年2月26日 (一月)05:45,3.89B,3.87B
2016年1月28日 (十二月)05:45,4.48B,4.55B
2015年12月23日 (十一月)05:45,4.86B,4.75B
2015年11月26日 (十月)05:45,4.79B,5.01B
2015年10月27日 (九月)05:45,4.91B,4.78B
2015年9月24日 (八月)06:45,4.77B,4.40B
2015年8月26日 (七月)06:45,4.85B,4.50B
2015年7月24日 (六月)06:45,4.29B,3.95B
2015年6月26日 (五月)06:45,4.01B,4.29B
2015年5月26日 (四月)06:45,4.04B,4.10B
2015年4月29日 (三月)06:45,4.30B,4.06B
2015年3月25日 (二月)05:45,3.87B,3.75B
2015年2月26日 (一月)05:45,3.64B,3.93B
2015年1月29日 (十二月)05:45,4.58B,4.21B
2014年12月23日 (十一月)05:45,4.24B,4.52B
2014年11月27日 (十月)05:45,4.93B,4.60B
2014年10月24日 (八月)05:45,4.96B,4.20B
2014年9月24日 (八月)06:45,3.99B,4.45B
2014年8月26日06:45,4.39B,4.50B
2014年7月24日06:45,3.95B,4.10B
2014年6月27日06:45,4.32B,4.20B
2014年5月26日06:45,3.96B,4.00B
2014年4月29日06:45,4.16B,4.10B
2014年3月27日05:45,3.74B,3.78B
2014年2月27日05:45,3.77B,3.90B
2014年1月31日05:45,4.24B,4.10B
2013年12月1日 (十一月)17:00,4.29B, 
2013年11月1日 (十月)17:00,4.41B, 
2013年10月1日 (九月)17:00,4.04B, 
2013年9月1日 (八月)17:00,4.53B, 
2013年8月1日 (七月)17:00,4.62B, 
2013年7月1日 (六月)17:00,3.63B, 
2013年6月1日 (五月)17:00,4.04B, 
2013年5月1日 (四月)17:00,3.77B, 
2013年4月1日 (三月)17:00,3.68B, 
2013年3月1日 (二月)17:00,3.46B, 
2013年2月1日 (一月)17:00,3.64B, 
2013年1月1日 (十二月)17:00,3.57B, 
2012年12月1日 (十一月)17:00,4.41B, 
2012年11月1日 (十月)17:00,4.18B, 
2012年10月1日 (九月)17:00,4.08B, 
2012年9月1日 (八月)17:00,4.12B, 
2012年8月1日 (七月)17:00,3.95B, 
2012年7月1日 (六月)17:00,3.89B, 
2012年6月1日 (五月)17:00,4.18B, 
2012年5月1日 (四月)17:00,3.53B, 
2012年4月1日 (三月)17:00,4.02B, 
2012年3月1日 (二月)17:00,3.41B, 
2012年2月1日 (一月)17:00,3.89B, 
2012年1月1日 (十二月)17:00,3.98B, 
2011年12月1日 (十一月)17:00,4.49B, 
2011年11月1日 (十月)17:00,4.11B, 
2011年10月1日 (九月)17:00,4.23B, 
2011年9月1日 (八月)17:00,4.12B, 
2011年8月1日 (七月)17:00,3.60B, 
2011年7月1日 (六月)17:00,3.75B, 
2011年6月1日 (五月)17:00,4.07B, 
2011年5月1日 (四月)17:00,3.53B, 
2011年4月1日 (三月)17:00,4.04B, 
2011年3月1日 (二月)17:00,3.68B, 
2011年2月1日 (一月)17:00,3.30B, 
2011年1月1日 (十二月)17:00,4.05B, 
