时间,今值,预测值
2017年8月7日11:00,2.1%, 
2017年5月5日11:00,2.2%, 
2017年2月7日10:00,1.9%, 
2016年11月2日10:00,1.7%, 
2016年8月2日11:00,1.7%, 
2016年5月17日11:00,1.6%, 
2016年2月16日10:00,1.6%, 
2015年11月17日10:00,1.9%, 
2015年8月25日11:00,1.9%, 
2015年5月19日11:00,1.9%, 
2015年2月24日10:00,1.8%, 
2014年11月25日10:00,2.1%, 
2014年8月19日11:00,2.2%, 
2014年5月22日11:00,2.4%, 
2014年2月25日10:00,2.3%, 
2013年11月19日10:00,2.3%, 
2013年8月20日11:00,2.4%, 
2013年5月21日11:00,2.1%, 
2013年2月26日10:00,2.2%, 
2012年11月27日10:00,2.3%, 
2012年8月21日11:00,2.3%, 
2012年5月22日11:00,2.4%, 
2012年2月21日10:00,2.5%, 
2011年11月22日10:00,2.8%, 
2011年8月23日11:00,2.9%, 
2011年5月24日11:00,3.0%, 
2011年2月22日10:00,2.6%, 
2010年11月23日10:00,2.6%, 
2010年8月24日11:00,2.6%, 
2010年5月25日11:00,2.8%, 
2010年2月23日10:00,2.7%, 
2009年11月27日10:00,2.6%, 
2009年8月25日11:00,2.3%, 
2009年5月26日11:00,2.2%, 
2009年2月25日10:00,2.3%, 
2008年11月25日10:00,2.7%, 
2008年8月26日11:00,3.0%, 
