时间,今值,预测值
2017年8月14日 (第二季度)06:45,2.0%,0.7%
2017年5月15日 (第一季度)06:45,1.5%,1.1%
2017年2月17日 (第四季度)05:45,0.8%,1.0%
2016年11月18日 (第三季度)11:45,0.9%,0.9%
2016年8月12日 (第二季度)06:45,2.3%,0.9%
2016年5月13日 (第一季度)06:45,0.8%,1.0%
2016年2月16日 (第四季度)05:45,1.2%,1.4%
2015年11月16日 (第三季度)05:45,1.6%,1.3%
2015年8月14日 (第二季度)06:45,0.1%,0.5%
2015年5月14日 (第一季度)06:45,2.7%,1.5%
2015年2月16日 (第四季度)05:45,1.7%,1.3%
2014年11月17日 (第三季度)05:45,1.5%,0.9%
2014年8月14日 (第二季度)06:45,1.2%,1.0%
2014年5月14日06:45,0.7%,0.9%
2014年2月17日05:45,1.2%,1.6%
2013年11月14日05:45,0.3%,0.9%
2013年8月14日06:45,1.7%,1.3%
2013年5月14日06:45,0.5%,0.8%
2013年2月15日05:45,2.1%,1.1%
2012年11月14日05:45,-0.4%,0.5%
2012年8月14日06:45,1.3%,0.7%
2012年5月14日06:45,-1.5%,-0.5%
2012年2月15日05:45,2.2%,1.3%
2011年11月14日05:45,2.2%,0.6%
2011年8月25日06:45,0.9%,0.6%
2011年6月15日06:45,0.9%,0.9%
2011年2月14日05:45,-0.4%,-0.4%
2010年11月15日05:45,0.7%,0.1%
2010年8月13日06:45,1.3%,0.3%
2010年5月14日06:45,0.2%,0.3%
2010年2月12日05:45,1.0%,1.5%
