时间,今值,预测值
2017年9月25日 (九月)08:30, , 
2017年9月1日 (八月)08:30,52.2,52.8
2017年8月23日 (八月)08:30  ,52.8,52.3
2017年8月1日 (七月)08:30,52.1,52.2
2017年7月24日 (七月)08:30  ,52.2,52.3
2017年7月3日 (六月)08:30,52.4,52.0
2017年6月23日 (六月)08:30  ,52.0,53.4
2017年6月1日 (五月)08:30,53.1,52.0
2017年5月23日 (五月)08:30  ,52.0,52.9
2017年5月1日 (四月)08:30,52.7,52.8
2017年4月21日 (四月)08:30  ,52.8, 
2017年4月3日 (三月)08:30,52.4,52.6
2017年3月24日 (三月)08:30  ,52.6,53.5
2017年3月1日 (二月)08:30,53.3,53.6
2017年2月21日 (二月)08:30  ,53.5,52.1
2017年2月1日 (一月)08:30,52.7,52.8
2017年1月24日 (一月)08:30  ,52.8,52.3
2017年1月4日 (十二月)08:30,52.4,51.9
2016年12月15日 (十二月)08:30  ,51.9,51.5
2016年12月1日 (十一月)08:30,51.3,51.1
2016年11月30日08:00, , 
2016年11月24日 (十一月)08:30  ,51.1,51.7
2016年11月1日 (十月)08:30,51.4,51.7
2016年10月24日 (十月)08:30  ,51.7,50.6
2016年10月3日 (九月)08:30,50.4,50.3
2016年9月23日 (九月)08:30  ,50.3,49.3
2016年9月1日 (八月)08:30,49.5,49.6
2016年8月23日 (八月)10:00  ,49.6,49.5
2016年8月1日 (七月)10:00,49.3,49.0
2016年7月22日 (七月)10:00  ,49.0,48.3
2016年7月1日 (六月)10:00,48.1,47.9
2016年6月23日 (六月)10:00  ,47.8,48.2
2016年6月1日 (五月)10:00,47.7,47.6
2016年5月23日 (五月)10:00  ,47.6,48.3
2016年5月2日 (四月)10:00,48.2,48.0
2016年4月22日 (四月)10:00  ,48.0,49.6
2016年4月1日 (三月)10:00,49.1,49.1
2016年3月22日 (三月)10:00  ,49.1,50.6
2016年3月1日 (二月)10:00,50.1,50.2
2016年2月22日 (二月)10:00  ,50.2,52.0
2016年2月1日 (一月)10:00,52.3,52.4
2016年1月22日 (一月)10:00  ,52.4,52.8
2016年1月4日 (十二月)09:35,52.6,52.5
2015年12月16日 (十二月)09:35  ,52.5, 
2015年12月1日 (十一月)09:35,52.6,52.8
2015年11月24日 (十一月)09:35  ,52.8,52.1
2015年11月2日 (十月)09:35,52.4,52.1
2015年10月23日 (十月)09:35  ,52.5,50.6
2015年10月1日 (九月)09:35,51.0,50.9
2015年9月24日 (九月)09:35  ,50.9,51.3
2015年9月1日 (八月)09:35,51.7,51.9
2015年8月21日 (八月)09:35  ,51.9,52.1
2015年8月3日 (七月)09:35,51.2,51.4
2015年7月24日 (七月)09:35  ,51.4,50.5
2015年7月1日 (六月)09:35,50.1,49.9
2015年6月23日 (六月)09:35  ,49.9,50.6
2015年6月1日 (五月)09:35,50.9,50.9
2015年5月21日 (五月)09:35  ,50.9,50.3
2015年5月1日 (四月)09:35,49.9,49.8
2015年4月23日 (四月)09:35  ,49.7,50.8
2015年4月1日 (三月)09:35,50.3,50.4
2015年3月24日 (三月)09:35  ,50.4,52.1
2015年3月2日 (二月)09:35,51.6,51.5
2015年2月20日 (二月)09:35  ,51.5,52.6
2015年2月2日 (一月)09:35,52.2,52.1
2015年1月23日 (一月)09:35  ,52.1, 
2015年1月5日 (十二月)09:35,52.0,52.1
2014年12月16日 (十二月)09:35  ,52.1,52.3
2014年12月1日 (十一月)09:35,52.0,52.1
2014年11月20日 (十一月)09:35  ,52.1,52.7
2014年11月4日 (十月)09:35,52.4,52.8
2014年10月23日 (九月)09:35  ,52.8,52.1
2014年10月1日 (九月)09:35,51.7,51.7
2014年9月24日 (九月)09:35  ,51.7,52.5
2014年9月1日09:35,52.2,52.4
2014年8月21日09:35  ,52.4,51.7
2014年8月1日09:35,50.5,50.8
2014年7月24日09:35  ,50.8,51.9
2014年7月1日09:35,51.5, 
2014年6月23日09:35  ,51.1, 
2014年6月2日09:35,49.9,49.9
2014年5月22日09:35  ,49.9, 
2014年4月30日05:50,49.4,53.0
2014年3月31日07:15,53.9, 
2014年2月28日07:13,55.5, 
2014年1月31日07:15,56.6, 
2013年12月27日07:15,55.2, 
2013年11月29日07:13,55.1, 
2013年10月31日07:13,54.2, 
2013年9月30日07:00,52.5,52.2
2013年8月30日07:15,52.2, 
2013年7月31日07:13,50.7, 
2013年6月28日07:13,52.3, 
2013年5月31日07:13,51.5, 
2013年4月30日07:13,51.1, 
2013年3月29日07:15,50.4, 
2013年2月28日07:15,48.5, 
2013年1月31日07:15,47.7, 
2012年12月28日07:15,45.0, 
2012年11月30日07:15,46.5, 
2012年10月31日07:15,46.9, 
2012年9月28日07:15,48.0, 
2012年8月31日07:15,47.7, 
2012年7月31日07:15,47.9, 
2012年6月29日07:15,49.9, 
2012年5月30日07:15,50.7, 
2012年4月27日07:15,50.7, 
2012年3月30日07:15,51.1, 
2012年2月29日07:15,50.5, 
2012年1月31日07:15,50.7, 
2011年12月30日07:15,50.2, 
2011年11月30日07:15,49.1, 
2011年10月31日07:15,50.6, 
2011年9月30日07:15,49.3, 
2011年8月31日07:15,51.9, 
2011年7月29日07:15,52.1, 
2011年6月30日07:15,50.7, 
2011年5月31日07:15,51.3, 
2011年4月28日07:15,45.7, 
2011年3月31日07:15,46.4, 
2011年2月28日07:15,52.9, 
2011年1月31日07:15,51.4, 
2010年12月30日07:15,48.3, 
2010年11月30日07:15,47.3, 
