时间,今值,预测值
2017年9月6日08:00,-0.3%,0.5%
2017年8月4日08:00,-0.4%,0.6%
2017年7月7日08:00,0.7%,0.4%
2017年6月6日08:00,0.5%,0.3%
2017年5月9日08:00,-0.4%,0.4%
2017年4月7日08:00,0.4%,0.5%
2017年3月9日08:00,0.5%,0.3%
2017年2月6日08:00,0.1%,0.4%
2017年1月6日08:00,0.2%,0.2%
2016年12月6日08:00,0.1%,0.2%
2016年11月7日08:00,0.2%,0.2%
2016年10月7日08:00,-0.1%,0.5%
2016年9月5日08:00,1.4%,0.5%
2016年8月5日08:00,1.3%,0.4%
2016年7月8日08:00,-0.2%,0.5%
2016年6月3日08:00,0.3%,0.9%
2016年5月9日08:00,1.4%,0.6%
2016年4月5日08:00,0.9%,0.2%
2016年3月4日09:30,0.4%,0.2%
2016年2月8日08:00,0.1%,0.7%
2016年1月8日09:30,0.0%,0.7%
2015年12月4日09:30,0.7%,0.4%
2015年11月9日09:30,0.6%,0.5%
2015年10月5日09:30,0.5%,0.7%
2015年9月4日09:30,0.6%,2.3%
2015年8月4日09:30,-2.4%,0.9%
2015年6月30日09:30,0.6%,0.7%
2015年6月2日09:30,0.9%,0.4%
2015年5月1日09:30,0.1%,0.4%
2015年4月3日09:30,0.5%,0.7%
2015年3月3日09:30,1.3%,0.6%
2015年2月4日09:30,1.6%,1.6%
2014年12月26日09:30,-1.5%,0.5%
2014年12月2日09:30,0.5%,0.8%
2014年11月5日09:30,0.8%,0.9%
2014年9月30日09:30,1.4%,1.1%
2014年9月2日09:35,2.6%,0.9%
2014年7月31日09:30,0.4%,0.7%
2014年7月1日09:30,0.8%,0.8%
2014年6月3日09:30,0.9%,0.6%
2014年4月30日09:30,0.7%,0.2%
2014年4月1日09:30,0.0%,-0.1%
2014年3月4日09:30,-0.2%,0.3%
2014年2月5日09:30,0.8%,0.7%
2013年12月27日09:30,0.5%,0.4%
2013年12月3日09:30,0.1%, 
2013年10月31日09:30,0.1%,-0.5%
2013年10月1日09:30,-0.6%,-0.2%
2013年9月3日09:30,0.4%,0.8%
2013年7月31日09:30,0.1%,0.2%
2013年7月2日09:30,0.0%,0.6%
2013年6月4日09:30,0.3%,0.6%
2013年5月1日09:30,-0.6%,-1.0%
2013年4月2日09:30,-0.7%,-0.1%
2013年3月5日09:30,0.7%,-0.3%
2013年1月31日09:30,-1.4%,1.1%
2012年12月28日09:30,-1.1%,-0.4%
2012年12月4日09:30,0.2%,0.4%
2012年10月31日09:30,0.0%,-0.3%
2012年10月2日09:30,0.2%,-0.9%
2012年9月4日09:30,-1.2%,-0.3%
2012年7月31日09:30,-0.6%,0.1%
2012年7月3日09:30,-0.8%,0.6%
2012年5月31日09:30,0.8%,1.1%
2012年5月2日09:30,1.3%,0.4%
2012年4月3日09:30,0.7%,0.2%
2012年3月6日09:30,0.0%,-0.3%
2012年2月1日09:30,-0.2%,-0.4%
2011年12月28日09:30,-1.0%,0.1%
2011年11月30日09:30,0.1%,0.0%
2011年11月1日09:30,0.0%,-0.4%
2011年10月4日09:30,-0.6%,0.7%
2011年8月31日09:30,-0.1%,-0.4%
2011年8月2日09:30,-0.8%,0.4%
2011年7月5日09:30,1.1%,-0.4%
2011年5月31日09:30,-1.4%,-0.2%
2011年5月2日09:30,-0.4%,-0.1%
2011年3月31日09:30,0.3%,0.3%
2011年3月1日09:30,0.2%,0.3%
2011年2月1日09:30,-0.4%,0.9%
2010年12月28日09:30,-0.2%,0.6%
2010年11月30日09:30,0.6%,0.7%
2010年11月1日09:30,0.9%,0.5%
2010年10月4日09:30,0.0%,0.8%
2010年8月31日09:30,1.3%,0.9%
2010年8月2日09:30,1.5%,0.7%
2010年6月30日09:30,-0.2%,0.9%
2010年5月31日09:30,1.5%,0.9%
2010年4月30日09:30,0.8%,-0.2%
2010年3月31日09:30,-0.6%,0.0%
2010年3月3日09:30,0.1%,-1.2%
2010年2月2日09:30,-6.1%,-2.6%
2009年12月28日09:30,-2.8%,-1.8%
2009年11月30日09:30,-1.7%,-1.7%
2009年11月2日09:30,-1.6%,-2.0%
2009年9月30日09:30,-3.1%,-4.0%
2009年8月31日09:30,-4.8%,-6.3%
2009年8月3日09:30,-7.1%,-3.5%
2009年6月30日09:30,-2.9%,-3.0%
2009年6月1日09:30,-2.5%,-4.2%
2009年5月1日09:30,-3.7%,-2.7%
2009年3月31日09:30,-2.7%,-1.4%
2009年3月2日09:30,-1.3%,-1.2%
2009年2月3日09:30,-1.4%,-1.5%
2008年12月26日09:30,-1.9%,-0.2%
2008年12月1日09:30,-0.1%,0.1%
2008年11月4日09:30,0.1%,0.2%
2008年10月1日09:30,-0.3%,0.0%
2008年9月1日09:30,0.3%,0.3%
2008年7月31日09:30,-0.6%,0.6%
2008年7月1日09:30,0.2%,0.7%
2008年6月2日10:30,0.6%,1.3%
2008年5月1日09:30,1.2%,1.2%
2008年3月31日09:30,1.3%,0.6%
2008年3月31日07:50,1.3%,0.0%
2008年3月3日09:30,1.0%,0.0%
