时间,今值,预测值
2017年9月29日 (八月)07:30, , 
2017年8月29日 (七月)07:30,2.8%,2.8%
2017年7月28日 (六月)07:30,2.8%,3.0%
2017年6月30日 (五月)07:30,3.1%,2.8%
2017年5月30日 (四月)07:30,2.8%,2.8%
2017年4月28日 (三月)07:30,2.8%,2.9%
2017年3月31日 (二月)07:30,2.8%,3.0%
2017年3月3日 (一月)07:30,3.0%,3.0%
2017年1月31日 (十二月)07:30,3.1%,3.1%
2016年12月27日 (十一月)07:30,3.1%,3.0%
2016年11月29日 (十月)07:30,3.0%,3.0%
2016年10月28日 (九月)07:30,3.0%,3.1%
2016年9月30日 (八月)07:30,3.1%,3.0%
2016年8月30日 (七月)07:30,3.0%,3.1%
2016年7月29日 (六月)07:30,3.1%,3.2%
2016年7月1日 (五月)07:30,3.2%,3.2%
2016年5月31日 (四月)07:30,3.2%,3.2%
2016年4月28日 (三月)07:30,3.2%,3.3%
2016年3月29日 (二月)07:30,3.3%,3.2%
2016年3月1日 (一月)07:30,3.2%,3.3%
2016年1月29日 (十二月)07:30,3.3%,3.3%
2015年12月25日 (十一月)07:30,3.3%,3.2%
2015年11月27日 (十月)07:30,3.1%,3.4%
2015年10月30日 (九月)07:30,3.4%,3.4%
2015年10月2日 (八月)07:30,3.4%,3.3%
2015年8月28日 (七月)07:30,3.3%,3.4%
2015年7月31日 (六月)07:30,3.4%,3.3%
2015年6月26日 (五月)07:30,3.3%,3.3%
2015年5月29日 (四月)07:30,3.3%,3.4%
2015年5月1日 (三月)07:30,3.4%,3.5%
2015年3月27日 (二月)07:30,3.5%,3.5%
2015年2月27日 (一月)07:30,3.6%,3.4%
2015年1月30日 (十二月)07:30,3.4%,3.5%
2014年12月26日 (十一月)07:30,3.5%,3.5%
2014年11月28日 (十月)07:30,3.5%,3.6%
2014年10月31日 (九月)07:30,3.6%,3.6%
2014年9月30日 (八月)07:30,3.5%,3.8%
2014年8月29日07:30,3.8%,3.7%
2014年7月29日07:30,3.7%,3.5%
2014年6月27日07:30,3.5%,3.6%
2014年5月30日07:30,3.6%,3.6%
2014年5月2日07:30,3.6%,3.6%
2014年3月28日07:30,3.6%,3.7%
2014年2月28日07:30,3.7%,3.7%
2014年1月31日07:30,3.7%,3.9%
2013年12月27日07:30,4.0%,3.9%
