时间,今值,预测值
2017年9月1日 (八月)13:00,43.3,43.7
2017年8月2日 (七月)13:00,43.8,43.6
2017年7月3日 (六月)13:00,43.3,43.9
2017年6月2日 (五月)13:00,43.6,43.6
2017年5月8日 (四月)13:00,43.2,44.3
2017年4月6日 (三月)13:00,43.9,43.5
2017年3月3日 (二月)13:00,43.1,43.7
2017年2月2日 (一月)13:00,43.2,43.7
2017年1月10日 (十二月)13:00,43.1,41.3
2016年12月5日 (十一月)13:00,40.9,43.8
2016年11月2日 (十月)13:00,42.3,42.8
2016年10月4日 (九月)13:00,43.0,41.8
2016年9月2日 (八月)13:00,42.0,41.6
2016年8月2日 (七月)13:00,41.3,42.2
2016年7月1日 (六月)13:00,41.8, 
2016年6月2日 (五月)13:00,40.9,40.4
2016年5月9日 (四月)13:00,40.8,40.8
2016年4月8日 (三月)13:00,41.7,40.5
2016年3月8日 (二月)13:00,40.1,42.3
2016年2月3日 (一月)13:00,42.5,43.8
2016年1月12日 (十二月)13:00,42.7,42.3
2015年12月4日 (十一月)13:00,42.6,41.8
2015年11月4日 (十月)13:00,41.5,41.1
2015年10月13日 (九月)13:00,40.6,41.6
2015年9月9日 (八月)13:00,41.7,40.6
2015年8月10日 (七月)13:00,40.3,42.2
2015年7月10日 (六月)13:00,41.7,41.9
2015年6月9日 (五月)13:00,41.4,41.9
2015年5月15日 (四月)13:00,41.5,41.9
2015年4月17日 (三月)13:00,41.7,41.4
2015年3月12日 (二月)13:00,40.7,39.9
2015年2月9日 (一月)13:00,39.1,39.4
2015年1月19日 (十二月)13:00,38.8,38.6
2014年12月10日 (十一月)13:00,37.7,39.6
2014年11月11日 (十月)13:00,38.9,40.6
2014年10月10日 (九月)13:00,39.9,42.2
2014年9月9日13:00,41.2,42.3
2014年8月11日13:00,41.5,42.3
2014年7月10日13:00,41.1,40.7
2014年6月9日13:00,39.3,37.7
2014年5月15日13:00,37.0,38.3
2014年4月17日13:00,37.5,40.2
2014年3月12日13:00,38.3,40.3
2014年2月10日13:00,40.5,43.9
2014年1月17日13:00,41.3,43.4
2013年12月10日13:00,42.5,44.2
2013年11月12日13:00,41.2,46.3
2013年10月10日13:00,45.4,43.8
2013年9月9日13:00,43.0,44.3
2013年8月9日13:00,43.6,45.3
2013年7月10日13:00,44.3,47.2
2013年6月10日13:00,45.7,44.8
2013年5月15日13:00,44.5,45.8
2013年4月17日13:00,44.8,46.7
2013年3月12日13:00,44.3,43.0
2013年2月12日13:00,43.3,40.5
2013年1月16日13:00,39.2,40.7
2012年12月10日13:00,39.4,40.3
2012年11月9日13:00,39.7,39.7
2012年10月11日13:00,40.1,41.2
2012年9月10日13:00,40.5,39.6
2012年8月9日13:00,39.7,40.8
2012年7月10日13:00,40.4,40.9
2012年6月11日13:00,40.7,39.9
2012年5月15日13:00,40.0,40.9
2012年4月17日13:00,40.3, 
2012年3月12日13:00,39.5,40.6
2012年2月9日13:00,40.0,38.5
2012年1月16日13:00,38.9,38.7
2011年12月12日13:00,38.1,38.3
2011年11月10日13:00,38.6,39.0
2011年10月11日13:00,38.6,37.2
2011年9月9日13:00,37.0,41.3
2011年8月9日13:00,37.0,37.0
2011年7月11日13:00,35.3,35.7
2011年6月9日13:00,34.2,34.5
2011年5月16日13:00,33.1,37.3
2011年4月19日13:00,38.6,39.9
2011年3月14日13:00,40.6,41.6
2011年2月9日13:00,41.1,40.3
2011年1月17日13:00,40.1,41.7
2010年12月10日13:00,40.4,42.3
2010年11月10日13:00,40.9,40.6
2010年10月12日13:00,41.2,43.9
2010年9月9日13:00,42.4,43.8
2010年8月12日13:00,43.3,44.2
2010年7月13日13:00,43.5,42.4
2010年6月10日13:00,42.8,42.3
2010年5月18日13:00,42.0,42.0
2010年4月19日13:00,40.9,40.2
2010年3月15日13:00,39.8,40.5
2010年2月12日13:00,39.0,38.2
2010年1月19日13:00,37.6,40.3
2009年12月11日13:00,39.5,40.5
2009年11月13日13:00,40.5,40.9
2009年10月14日13:00,40.5,41.5
2009年9月11日13:00,40.1,41.1
2009年8月11日13:00,39.4,39.2
2009年7月13日13:00,37.6,36.8
2009年6月12日13:00,35.7,34.0
2009年5月18日13:00,32.4,31.5
2009年4月17日13:00,28.9,29.3
2009年3月13日13:00,26.7,26.4
2009年2月10日13:00,26.4,25.2
2009年1月20日13:00,26.2,27.2
2008年12月12日13:00,28.4,28.0
2008年11月12日13:00,29.4,30.1
2008年10月14日13:00,31.4,30.2
2008年9月16日13:00,30.1,31.5
2008年8月12日13:00,31.4,32.1
2008年7月11日13:00,32.6,31.5
2008年6月13日13:00,33.9,34.5
2008年5月16日14:00,35.2,0.0
2008年4月18日13:00,36.7,35.5
2008年3月12日13:00,36.1,37.5
2008年2月13日13:00,37.5,37.5
2008年1月1日 (十二月)17:00,39.20, 
2007年12月1日 (十一月)17:00,40.30, 
2007年11月1日 (十月)17:00,42.70, 
2007年10月1日 (九月)17:00,43.50, 
2007年9月1日 (八月)17:00,43.90, 
2007年8月1日 (七月)17:00,44.10, 
2007年7月1日 (六月)17:00,44.30, 
2007年6月1日 (五月)17:00,46.30, 
2007年5月1日 (四月)17:00,47.00, 
2007年4月1日 (三月)17:00,46.70, 
2007年3月1日 (二月)17:00,49.00, 
2007年2月1日 (一月)17:00,49.00, 
2007年1月1日 (十二月)17:00,47.00, 
2006年12月1日 (十一月)17:00,49.10, 
2006年11月1日 (十月)17:00,48.30, 
2006年10月1日 (九月)17:00,46.00, 
2006年9月1日 (八月)17:00,47.50, 
2006年8月1日 (七月)17:00,48.40, 
2006年7月1日 (六月)17:00,46.60, 
2006年6月1日 (五月)17:00,48.90, 
2006年5月1日 (四月)17:00,49.50, 
2006年4月1日 (三月)17:00,47.70, 
2006年3月1日 (二月)17:00,50.10, 
2006年2月1日 (一月)17:00,50.00, 
2006年1月1日 (十二月)17:00,47.40, 
2005年12月1日 (十一月)17:00,48.60, 
2005年11月1日 (十月)17:00,48.10, 
2005年10月1日 (九月)17:00,45.60, 
2005年9月1日 (八月)17:00,48.40, 
2005年8月1日 (七月)17:00,48.20, 
2005年7月1日 (六月)17:00,46.10, 
2005年6月1日 (五月)17:00,47.30, 
2005年5月1日 (四月)17:00,47.10, 
2005年4月1日 (三月)17:00,44.70, 
2005年3月1日 (二月)17:00,47.70, 
2005年2月1日 (一月)17:00,47.70, 
2005年1月1日 (十二月)17:00,45.00, 
2004年12月1日 (十一月)17:00,48.30, 
2004年11月1日 (十月)17:00,48.30, 
2004年10月1日 (九月)17:00,46.20, 
2004年9月1日 (八月)17:00,49.10, 
2004年8月1日 (七月)17:00,48.70, 
2004年7月1日 (六月)17:00,44.30, 
2004年6月1日 (五月)17:00,47.30, 
2004年5月1日 (四月)17:00,45.10, 
2004年4月1日 (三月)17:00,42.80, 
2004年1月1日 (十二月)17:00,40.30, 
2003年10月1日 (九月)17:00,39.60, 
2003年7月1日 (六月)17:00,36.00, 
2003年4月1日 (三月)17:00,34.90, 
2003年1月1日 (十二月)17:00,36.40, 
2002年10月1日 (九月)17:00,37.20, 
2002年7月1日 (六月)17:00,38.10, 
2002年4月1日 (三月)17:00,36.30, 
2002年1月1日 (十二月)17:00,34.10, 
2001年10月1日 (九月)17:00,34.10, 
2001年7月1日 (六月)17:00,39.10, 
2001年4月1日 (三月)17:00,38.80, 
2001年1月1日 (十二月)17:00,43.20, 
2000年10月1日 (九月)17:00,43.60, 
2000年7月1日 (六月)17:00,42.90, 
2000年4月1日 (三月)17:00,42.10, 
2000年1月1日 (十二月)17:00,41.30, 
1999年10月1日 (九月)17:00,40.10, 
1999年7月1日 (六月)17:00,38.70, 
1999年4月1日 (三月)17:00,39.00, 
1999年1月1日 (十二月)17:00,36.60, 
1998年10月1日 (九月)17:00,34.50, 
1998年7月1日 (六月)17:00,35.50, 
1998年4月1日 (三月)17:00,37.30, 
1998年1月1日 (十二月)17:00,36.80, 
1997年10月1日 (九月)17:00,42.40, 
1997年7月1日 (六月)17:00,41.90, 
1997年4月1日 (三月)17:00,38.40, 
1997年1月1日 (十二月)17:00,43.90, 
1996年10月1日 (九月)17:00,45.20, 
1996年7月1日 (六月)17:00,46.10, 
1996年4月1日 (三月)17:00,45.10, 
1996年1月1日 (十二月)17:00,44.00, 
1995年10月1日 (九月)17:00,41.60, 
1995年7月1日 (六月)17:00,41.90, 
1995年4月1日 (三月)17:00,44.80, 
1995年1月1日 (十二月)17:00,46.90, 
1994年10月1日 (九月)17:00,45.30, 
1994年7月1日 (六月)17:00,42.80, 
1994年4月1日 (三月)17:00,41.00, 
1994年1月1日 (十二月)17:00,36.40, 
1993年10月1日 (九月)17:00,39.50, 
1993年7月1日 (六月)17:00,42.30, 
1993年4月1日 (三月)17:00,39.00, 
1993年1月1日 (十二月)17:00,40.10, 
1992年10月1日 (九月)17:00,41.40, 
1992年7月1日 (六月)17:00,43.80, 
1992年4月1日 (三月)17:00,45.20, 
1992年1月1日 (十二月)17:00,46.10, 
1991年10月1日 (九月)17:00,48.10, 
1991年7月1日 (六月)17:00,48.70, 
1991年4月1日 (三月)17:00,49.90, 
1991年1月1日 (十二月)17:00,49.00, 
1990年10月1日 (九月)17:00,48.60, 
1990年7月1日 (六月)17:00,49.90, 
1990年4月1日 (三月)17:00,50.00, 
1990年1月1日 (十二月)17:00,50.70, 
1989年10月1日 (九月)17:00,49.20, 
1989年7月1日 (六月)17:00,47.60, 
1989年4月1日 (三月)17:00,48.70, 
1989年1月1日 (十二月)17:00,50.80, 
1988年10月1日 (九月)17:00,49.90, 
1988年7月1日 (六月)17:00,49.80, 
1988年4月1日 (三月)17:00,49.90, 
1988年1月1日 (十二月)17:00,48.40, 
1987年10月1日 (九月)17:00,46.90, 
1987年7月1日 (六月)17:00,44.30, 
1987年4月1日 (三月)17:00,41.00, 
1987年1月1日 (十二月)17:00,42.30, 
1986年10月1日 (九月)17:00,43.70, 
1986年7月1日 (六月)17:00,45.60, 
1986年4月1日 (三月)17:00,46.80, 
1986年1月1日 (十二月)17:00,47.60, 
1985年10月1日 (九月)17:00,48.10, 
1985年7月1日 (六月)17:00,47.80, 
1985年4月1日 (三月)17:00,48.50, 
1985年1月1日 (十二月)17:00,48.20, 
1984年10月1日 (九月)17:00,47.60, 
1984年7月1日 (六月)17:00,47.10, 
1984年4月1日 (三月)17:00,47.00, 
1984年1月1日 (十二月)17:00,46.60, 
1983年10月1日 (九月)17:00,45.40, 
1983年7月1日 (六月)17:00,44.90, 
1983年4月1日 (三月)17:00,43.30, 
1983年1月1日 (十二月)17:00,41.90, 
1982年10月1日 (九月)17:00,41.90, 
1982年7月1日 (六月)17:00,43.60, 
