时间,今值,预测值
2017年9月29日 (八月)07:30, , 
2017年8月29日 (七月)07:30,-0.2%,0.7%
2017年7月28日 (六月)07:30,2.3%,0.6%
2017年6月30日 (五月)07:30,-0.1%,-0.6%
2017年5月30日 (四月)07:30,-1.4%,-0.7%
2017年4月28日 (三月)07:30,-1.3%,-0.3%
2017年3月31日 (二月)07:30,-3.8%,-1.7%
2017年3月3日 (一月)07:30,-1.2%,-0.4%
2017年1月31日 (十二月)07:30,-0.3%,-0.6%
2016年12月27日 (十一月)07:30,-1.5%,0.2%
2016年11月29日 (十月)07:30,-0.4%,-0.6%
2016年10月28日 (九月)07:30,-2.1%,-3.0%
2016年9月30日 (八月)07:30,-4.6%,-2.5%
2016年8月30日 (七月)07:30,-0.5%,-0.9%
2016年7月29日 (六月)07:30,-2.2%,-0.3%
2016年7月1日 (五月)07:30,-1.1%,-1.4%
2016年5月31日 (四月)07:30,-0.4%,-1.4%
2016年4月28日 (三月)07:30,-5.3%,-4.2%
2016年3月29日 (二月)07:30,1.2%,-1.5%
2016年3月1日 (一月)07:30,-3.1%,-2.7%
2016年1月29日 (十二月)07:30,-4.4%,-2.4%
2015年12月25日 (十一月)07:30,-2.9%,-2.4%
2015年11月27日 (十月)07:30,-2.4%,0.1%
2015年10月30日 (九月)07:30,-0.4%,1.2%
2015年10月2日 (八月)07:30,2.9%,0.4%
2015年8月28日 (七月)07:30,-0.2%,1.3%
2015年7月31日 (六月)07:30,-2.0%,1.7%
2015年6月26日 (五月)07:30,4.8%,3.4%
2015年5月29日 (四月)07:30,-1.3%,3.1%
2015年5月1日 (三月)07:30,-10.6%,-12.1%
2015年3月27日 (二月)07:30,-2.9%,-3.2%
2015年2月27日 (一月)07:30,-5.1%,-4.1%
2015年1月30日 (十二月)07:30,-3.4%,-2.5%
2014年12月26日 (十一月)07:30,-2.5%,-3.8%
2014年11月28日 (十月)07:30,-4.0%,-4.8%
2014年10月31日 (九月)07:30,-5.6%,-4.3%
2014年9月30日 (八月)07:30,-4.7%,-3.8%
2014年8月29日07:30,-5.9%,-3.0%
2014年7月29日07:30,-3.0%,-3.8%
2014年6月27日07:30,-8.0%,-2.0%
2014年5月30日07:30,-4.6%,-3.2%
2014年5月2日07:30,7.2%,1.0%
2014年3月28日07:30,-2.5%,0.1%
2014年2月28日07:30,1.1%,0.2%
2014年1月31日07:30,0.7%,1.2%
2013年12月27日07:30,0.2%,1.7%
2013年11月29日07:30,0.9%,0.9%
2013年10月29日07:30,3.7%,0.5%
2013年10月1日07:30,-1.6%,0.1%
2013年8月30日07:30,0.1%,0.3%
2013年7月30日07:30,-0.4%,1.0%
2013年6月28日07:30,-1.6%,1.4%
2013年5月31日07:30,1.5%,3.1%
2013年4月30日07:30,5.2%,1.8%
2013年3月29日07:30,0.8%,0.2%
2013年3月1日07:30,2.4%,0.3%
2013年2月1日07:30,-0.7%,-0.3%
2012年12月28日07:30,0.2%,1.0%
2012年11月30日07:30,-0.1%,-0.9%
2012年10月30日07:30,-0.9%,0.7%
2012年9月28日07:30,1.8%,1.0%
2012年8月31日07:30,1.7%,1.2%
2012年7月31日07:30,1.6%,2.9%
2012年6月29日07:30,4.0%,2.4%
2012年5月29日07:30,2.6%,2.4%
2012年4月27日07:30,3.4%,3.5%
2012年3月30日07:30,2.3%,-0.5%
2012年3月2日07:30,-2.3%,-0.7%
2012年1月31日07:30,0.5%,-0.1%
2011年12月28日07:30,-3.2%,-1.2%
2011年11月29日07:30,-0.4%,-1.4%
2011年10月28日07:30,-1.9%,-3.5%
2011年9月30日07:30,-4.1%,-2.6%
2011年8月30日07:30,-2.1%,-3.5%
2011年7月29日07:30,-4.2%,-2.3%
2011年7月1日07:30,-1.9%,-1.7%
2011年5月31日07:30,-3.0%,-2.8%
2011年4月28日07:30,-8.5%,-6.8%
2011年3月29日07:30,-0.2%,0.1%
2011年3月1日07:30,-1.0%,-1.3%
2011年1月28日07:30,-3.3%,-0.5%
2010年12月28日07:30,-0.4%,0.4%
2010年11月30日07:30,-0.4%,0.4%
2010年10月29日07:30,0.0%,0.8%
2010年10月1日07:30,1.7%,1.4%
2010年8月27日07:30,1.1%,1.5%
2010年7月30日07:30,0.5%,-0.7%
2010年6月29日07:30,-0.7%,0.4%
2010年5月28日07:30,-0.7%,2.5%
