时间,今值,预测值
2017年9月29日 (八月)13:00, , 
2017年8月31日 (七月)13:00,-2.3%,-0.3%
2017年7月31日 (六月)13:00,1.7%,-0.1%
2017年6月30日 (五月)13:00,-0.3%,-1.5%
2017年5月31日 (四月)13:00,1.9%,-1.5%
2017年4月28日 (三月)13:00,0.2%,-2.4%
2017年3月31日 (二月)13:00,-2.6%,-1.1%
2017年2月28日 (一月)13:00,12.8%,3.2%
2017年1月31日 (十二月)13:00,3.9%,8.4%
2016年12月27日 (十一月)13:00,6.7%,10.2%
2016年11月30日 (十月)13:00,13.7%,11.2%
2016年10月31日 (九月)13:00,10.0%,5.1%
2016年9月30日 (八月)13:00,2.5%,7.1%
2016年8月31日 (七月)13:00,8.9%,7.4%
2016年7月29日 (六月)13:00,-2.5%,-3.0%
2016年6月30日 (五月)13:00,9.8%,4.8%
2016年5月31日 (四月)13:00,9.0%,3.5%
2016年4月28日 (三月)13:00,8.4%,-1.3%
2016年3月31日 (二月)13:00,7.8%,-2.4%
2016年2月29日 (一月)13:00,0.2%,-0.2%
2016年1月29日 (十二月)13:00,-1.3%,0.5%
2015年12月25日 (十一月)13:00,1.7%,1.0%
2015年11月30日 (十月)13:00,-2.5%,2.9%
2015年10月30日 (九月)13:00,2.6%,6.6%
2015年9月30日 (八月)13:00,8.8%,7.8%
2015年8月31日 (七月)13:00,7.4%,11.0%
2015年7月31日 (六月)13:00,16.3%,2.9%
2015年6月30日 (五月)13:00,5.8%,5.8%
2015年5月29日 (四月)13:00,0.4%,0.1%
2015年4月30日 (三月)13:00,0.7%,-1.9%
2015年3月31日 (二月)13:00,-3.1%,-7.1%
2015年2月27日 (一月)13:00,-13.0%,-11.3%
2015年1月30日 (十二月)13:00,-14.7%,-14.8%
2014年12月25日 (十一月)13:00,-14.3%,-13.2%
2014年11月28日 (十月)13:00,-12.3%,-14.5%
2014年10月31日 (九月)13:00,-14.3%,-17.5%
2014年9月30日 (八月)13:00,-12.5%,-14.2%
2014年8月29日13:00,-14.1%,-10.5%
2014年7月31日13:00,-9.5%,-11.5%
2014年6月30日13:00,-15.0%,-10.6%
2014年5月30日13:00,-3.3%,-8.4%
2014年4月30日13:00,-2.9%,-2.9%
