时间,今值,预测值
2017年9月29日 (八月)07:50, ,1.0%
2017年8月30日 (七月)07:50,1.9%,1.0%
2017年7月28日 (六月)07:50,2.1%,2.3%
2017年6月29日 (五月)07:50,2.0%,2.6%
2017年5月30日 (四月)07:50,3.2%,2.3%
2017年4月28日 (三月)07:50,2.1%,1.5%
2017年3月29日 (二月)07:50,0.1%,0.5%
2017年2月28日 (一月)07:50,1.0%,0.9%
2017年1月30日 (十二月)07:50,0.6%,1.3%
2016年12月28日 (十一月)07:50,1.7%,0.9%
2016年11月29日 (十月)07:50,-0.1%,-1.2%
2016年10月31日 (九月)07:50,-1.9%,-1.8%
2016年9月29日 (八月)07:50,-2.1%,-1.8%
2016年8月30日 (七月)07:50,-0.2%,-0.9%
2016年7月29日 (六月)07:50,-1.4%,-1.5%
2016年6月29日 (五月)07:50,-1.9%,-1.6%
2016年5月30日 (四月)07:50,-0.8%,-1.2%
2016年4月28日 (三月)07:50,-1.1%,-1.5%
2016年3月29日 (二月)07:50,0.5%,1.7%
2016年2月29日 (一月)07:50,-0.1%,0.5%
2016年1月28日 (十二月)07:50,-1.1%,-0.1%
2015年12月28日 (十一月)07:50,-1.0%,-0.6%
2015年11月30日 (十月)07:50,1.8%,0.8%
2015年10月28日 (九月)07:50,-0.2%,0.4%
2015年9月30日 (八月)07:50,0.8%,1.1%
2015年8月28日 (七月)07:50,1.6%,1.1%
2015年7月29日 (六月)07:50,0.9%,0.5%
2015年6月29日 (五月)07:50,3.0%,2.3%
2015年5月28日 (四月)07:50,5.0%,5.4%
2015年4月28日 (三月)07:50,-9.7%,-7.3%
2015年3月27日 (二月)07:50,-1.8%,-1.5%
2015年2月27日 (一月)07:50,-2.0%,-1.3%
2015年1月29日 (十二月)07:50,0.2%,0.9%
2014年12月26日 (十一月)07:50,0.4%,1.1%
2014年11月28日 (十月)07:50,1.4%,1.5%
2014年10月28日 (九月)07:50,2.3%,0.6%
2014年9月30日 (八月)07:50,1.2%,0.3%
2014年8月29日07:50,0.5%,0.1%
2014年7月29日07:50,-0.6%,-0.5%
2014年6月27日07:50,-0.4%,-1.8%
2014年5月29日07:50,-4.4%,-3.3%
2014年4月28日07:50,11.0%,11.0%
2014年3月28日07:50,3.6%,3.2%
2014年2月28日07:50,4.4%,3.8%
2014年1月30日07:50,2.6%,3.8%
2013年12月27日07:50,4.0%,2.9%
2013年11月28日07:50,2.3%,2.1%
2013年10月29日07:50,3.1%,1.9%
2013年9月30日07:50,1.1%,1.0%
2013年8月29日07:50,-0.3%,0.6%
2013年7月29日07:50,1.6%,1.9%
2013年6月28日07:50,0.8%,0.1%
2013年5月29日07:50,-0.1%,-0.4%
2013年4月30日07:50,-0.3%,0.6%
2013年3月28日07:50,-2.3%,-1.2%
2013年2月27日07:50,-1.1%,-1.3%
2013年1月30日07:50,0.4%,0.3%
2012年12月28日07:50,1.3%,1.1%
2012年11月29日07:50,-1.2%,-0.7%
2012年10月29日07:50,0.4%,1.0%
2012年9月28日07:50,1.8%,-0.2%
2012年8月30日07:50,-0.8%,-0.2%
2012年7月27日07:50,0.2%,1.2%
2012年6月28日07:50,3.6%,3.0%
2012年5月29日07:50,5.8%,6.3%
2012年4月27日07:50,10.3%,9.8%
2012年3月29日07:50,3.5%,1.4%
2012年2月28日07:50,1.9%,-0.1%
2012年1月27日07:50,2.5%,2.0%
2011年12月28日07:50,-2.3%,0.1%
2011年11月29日07:50,1.9%,0.7%
2011年10月27日07:50,-1.2%,-0.1%
2011年9月29日07:50,-2.6%,-0.8%
2011年8月30日07:50,0.7%,1.5%
2011年7月28日07:50,1.1%,-0.5%
2011年6月28日07:50,-1.3%,-2.2%
2011年5月27日07:50,-4.8%,-6.2%
2011年4月27日07:50,-8.5%,-5.8%
2011年3月29日07:50,0.1%,-0.5%
2011年2月28日07:50,0.1%,-1.5%
2011年1月28日07:50,-2.0%,0.6%
2010年12月28日07:50,1.3%,0.4%
2010年11月29日07:50,-0.2%,0.7%
2010年10月28日07:50,1.2%,3.3%
2010年9月30日07:50,4.3%,4.6%
2010年8月31日07:50,3.9%,3.1%
2010年7月29日07:50,3.2%,3.3%
2010年6月28日07:50,2.8%,4.7%
2010年5月28日07:50,4.9%,3.7%
2010年4月28日07:50,4.7%,3.7%
2010年3月29日07:50,4.2%,1.7%
2010年2月26日07:50,2.6%,-0.1%
2010年1月28日07:50,-0.3%,0.3%
2009年12月28日07:50,-1.0%,-1.0%
2009年11月27日07:50,-0.9%,-1.5%
2009年10月28日07:50,-1.4%,-1.5%
2009年10月1日07:50,-1.8%,-2.4%
2009年8月31日07:50,-2.5%,-3.3%
2009年7月29日07:50,-3.0%,-2.5%
2009年6月29日07:50,-2.8%,-2.6%
2009年5月28日07:50,-2.9%,-3.2%
2009年4月28日07:50,-3.9%,-4.8%
2009年3月27日07:50,-5.8%,-3.6%
2009年2月27日07:50,-2.4%,-3.0%
2009年1月29日07:50,-2.7%,-1.6%
2008年12月26日07:50,-0.9%,-1.4%
2008年11月28日07:50,-0.6%,-0.9%
