时间,今值,预测值
2017年9月7日13:00  ,105.0,105.2
2017年8月24日13:00,105.9,106.3
2017年8月7日13:00  ,106.3,106.2
2017年7月24日13:00,104.6,104.7
2017年7月7日13:00  ,104.7,104.6
2017年6月26日13:00,104.2,104.5
2017年6月7日13:00  ,104.5,104.4
2017年5月24日13:00,105.5,105.5
2017年5月10日13:00  ,105.5,105.5
2017年4月24日13:00,104.8,104.4
2017年4月7日13:00  ,104.4,104.7
2017年3月24日13:00,104.9,105.5
2017年3月8日13:00  ,105.5,105.4
2017年2月23日13:00,104.8,105.2
2017年2月7日13:00  ,105.2,105.6
2017年1月23日13:00,102.8,102.7
2017年1月11日13:00  ,102.7,102.6
2016年12月26日13:00,100.8,101.0
2016年12月7日13:00  ,101.0,103.0
2016年11月24日13:00,103.0,100.5
2016年11月8日13:00  ,100.5,100.5
2016年10月7日13:00  ,101.2,101.7
2016年9月26日13:00,100.0,100.0
2016年9月7日13:00  ,100.0,98.6
2016年8月24日13:00,99.2,98.4
2016年8月5日13:00  ,98.4,99.6
2016年7月25日13:00,99.7,100.0
2016年7月7日13:00  ,100.0,100.1
2016年6月23日13:00,100.0,100.5
2016年6月7日13:00  ,100.5,100.8
2016年5月23日13:00,99.3,98.4
2016年5月11日13:00  ,98.4,96.4
2016年4月25日13:00,96.8, 
2016年4月6日13:00  ,99.8,99.9
2016年3月25日13:00,101.8,101.4
2016年3月7日13:00  ,101.4,101.6
2016年2月24日13:00,102.1,102.0
2016年2月5日13:00  ,102.0,102.8
2016年1月25日13:00,103.5,103.9
2016年1月8日13:00  ,103.9,103.9
2015年12月7日13:00  ,102.9,102.9
2015年11月25日13:00,101.6,101.4
2015年11月6日13:00  ,101.4,102.1
2015年10月23日13:00,103.5,103.5
2015年10月7日13:00  ,103.5,103.4
2015年9月28日13:00,105.0,104.9
2015年9月7日13:00  ,104.9,104.9
2015年8月24日13:00,106.5,107.2
2015年8月6日13:00  ,107.2,106.9
2015年7月21日13:00,106.2,106.2
2015年7月6日13:00  ,106.2,106.2
2015年6月19日13:00,106.4,107.2
2015年6月5日13:00  ,107.2,107.3
2015年5月20日13:00,106.0,105.5
2015年5月12日13:00  ,105.5,105.5
2015年4月21日13:00,104.8,105.3
2015年4月6日13:00  ,105.3,105.2
2015年3月17日13:00,105.5,105.1
2015年3月6日13:00  ,105.1,105.9
2015年2月19日13:00,105.6,105.2
2015年2月6日13:00  ,105.2,105.5
2015年1月9日13:00  ,103.8,104.9
2014年12月5日13:00  ,104.0,104.2
2014年11月19日13:00,105.6,105.6
2014年11月6日13:00  ,105.6,105.5
2014年10月20日13:00,104.4,104.0
2014年10月7日13:00  ,104.0,104.2
2014年9月19日13:00,105.4,105.5
2014年9月5日13:00  ,106.5,107.2
2014年8月6日13:00  ,105.5,105.5
2014年7月7日13:00  ,105.7,106.0
2014年6月6日13:00  ,106.6,106.2
2014年5月9日13:00  ,106.5,106.9
2014年4月22日13:00,108.9,108.5
2014年4月7日13:00  ,108.5,114.2
2014年3月7日13:00  ,112.2,112.4
2014年2月7日13:00  ,112.1,111.9
2014年1月10日13:00  ,110.8,110.9
2013年12月6日13:00  ,109.9,109.9
2013年11月7日13:00  ,109.5,109.4
2013年10月7日13:00  ,106.5,106.9
2013年9月6日13:00  ,107.8,107.9
2013年8月6日13:00  ,107.0,108.0
2013年7月5日13:00  ,110.5,96.3
2013年6月7日13:00  ,99.3,98.8
2013年5月9日13:00  ,97.6,97.7
2013年4月5日13:00  ,97.5,97.2
2013年3月7日13:00  ,96.3,96.2
2013年2月7日13:00  ,93.4,93.8
2013年1月10日13:00  ,91.9,93.1
2012年12月7日13:00  ,92.5,92.0
2012年11月6日13:00  ,91.7,91.8
2012年10月5日13:00  ,93.6,93.6
2012年9月7日13:00  ,91.8,91.7
2012年8月6日13:00  ,92.6,93.0
2012年7月6日13:00  ,95.9,95.3
2012年6月7日13:00  ,95.1,95.2
2012年5月9日13:00  ,96.6,97.0
2012年4月6日13:00  ,96.6,95.6
2012年3月7日13:00  ,94.9,95.1
2012年2月7日13:00  ,94.3,93.8
2012年1月11日13:00  ,92.9,92.9
2011年12月7日13:00  ,91.5,91.8
2011年11月7日13:00  ,91.6,96.3
2011年10月7日13:00  ,103.8,103.8
2011年9月7日13:00  ,106.0,105.9
2011年8月5日13:00  ,103.2,103.4
2011年7月6日13:00  ,99.8,99.8
2011年6月7日13:00  ,96.4,96.5
2011年5月11日13:00  ,99.5,99.9
2011年4月6日13:00  ,104.2,104.2
2011年3月7日13:00  ,101.9,102.3
2011年2月17日13:00,101.4,101.4
2011年2月7日13:00  ,101.4,101.5
2011年1月11日13:00  ,101.0,100.9
2010年12月7日13:00  ,97.2,97.3
2010年11月8日13:00  ,98.9,99.0
2010年10月20日13:00,99.5,99.1
2010年10月7日13:00  ,99.1, 
2010年9月7日13:00  ,98.2,98.3
2010年8月6日13:00  ,98.9,98.9
2010年7月6日13:00  ,98.7,99.7
2010年6月8日13:00,101.7,102.8
2010年5月12日13:00  ,102.8,99.3
2010年4月21日13:00,98.5,98.0
2010年4月6日13:00  ,97.9,97.9
2010年3月9日13:00  ,97.1,97.0
2010年2月5日13:00  ,94.0,93.7
2010年1月8日13:00  ,91.2,91.4
2009年12月17日13:00,89.4,89.7
2009年12月8日13:00  ,89.7,88.8
2009年11月6日13:00  ,86.4,86.4
2009年10月20日13:00,83.2,83.3
2009年10月7日13:00  ,83.3,83.5
2009年9月18日13:00,82.5, 
2009年9月9日13:00  ,83.0,81.9
2009年8月6日13:00  ,79.8,79.8
2009年7月17日13:00,76.9,76.9
2009年7月6日13:00  ,77.0,77.0
2009年6月23日13:00,76.2, 
2009年6月9日13:00  ,76.5,77.2
2009年5月12日13:00,76.6,77.1
2009年4月6日13:00,75.2,75.3
2009年3月10日13:00,77.1,77.2
2009年2月6日13:00,79.8,79.0
2009年1月9日13:00,81.5,81.4
2008年12月9日13:00,85.0,85.0
2008年11月6日13:00,89.2, 
2008年10月7日13:00,89.3,89.3
2008年9月10日13:00,91.6,91.9
2008年8月6日13:00,91.2,90.8
2008年7月4日13:00,92.6,93.0
2008年6月9日14:00,92.8,93.0
2008年5月9日13:00,20.0,20.0
2008年4月7日13:00,50.0,50.0
2008年3月6日13:00,30.0,30.0
