时间,今值,预测值
2017年9月7日 (第二季度)17:00,2.3%,2.2%
2017年8月16日 (第二季度)17:00  ,2.2%,2.1%
2017年8月1日 (第二季度)17:00  ,2.1%,2.4%
2017年6月8日 (第一季度)17:00,1.9%,1.7%
2017年5月16日 (第一季度)17:00  ,1.7%,1.7%
2017年5月3日 (第一季度)17:00  ,1.7%,1.7%
2017年3月7日 (第四季度)18:00,1.7%,1.7%
2017年2月14日 (第四季度)18:00  ,1.7%,1.8%
2017年1月31日 (第四季度)18:00  ,1.8%,1.7%
2016年12月6日 (第三季度)18:00,1.7%,1.6%
2016年11月15日 (第三季度)18:00  ,1.6%,1.6%
2016年10月31日 (第三季度)18:00  ,1.6%,1.6%
2016年9月6日 (第二季度)17:00,1.6%,1.6%
2016年8月12日 (第二季度)17:00  ,1.6%,1.6%
2016年7月29日17:00  ,1.6%,1.5%
2016年6月7日 (第一季度)17:00,1.7%,1.5%
2016年5月13日 (第一季度)17:00  ,1.5%,1.6%
2016年4月29日 (第一季度)17:00  ,1.6%,1.4%
2016年3月8日 (第四季度)18:00,1.6%,1.5%
2016年2月12日 (第四季度)18:00  ,1.5%,1.5%
2015年12月8日 (第三季度)18:00,1.6%,1.6%
2015年11月13日 (第三季度)18:00  ,1.6%,1.7%
2015年9月8日 (第二季度)17:00,1.5%,1.2%
2015年8月14日 (第二季度)17:00  ,1.2%,1.3%
2015年6月9日 (第一季度)16:10  ,1.0%,1.0%
2015年5月13日 (第一季度)17:00  ,1.0%,1.1%
2015年3月6日 (第四季度)18:00,0.9%,0.9%
2015年2月13日 (第四季度)18:00  ,0.9%,0.8%
2014年12月5日 (第三季度)18:00  ,0.8%,0.8%
2014年11月14日 (第三季度)18:00  ,0.8%,0.7%
2014年9月5日 (第二季度)17:00,0.7%,0.7%
2014年8月14日 (第二季度)17:00  ,0.7%,0.7%
2014年7月2日17:00,0.9%,0.9%
2014年6月4日17:00  ,0.9%,0.9%
2014年5月15日17:00  ,0.9%,1.1%
2014年4月2日17:00,0.5%,0.5%
2014年3月5日18:00  ,0.5%,0.5%
2014年2月14日18:00  ,0.5%,0.4%
2014年1月10日18:00,-0.3%,-0.4%
2013年12月4日18:00  ,-0.4%,-0.4%
2013年11月14日18:00  ,-0.4%,-0.3%
