时间,今值,预测值
2017年9月7日 (第二季度)17:00,0.6%,0.6%
2017年8月16日 (第二季度)17:00  ,0.6%,0.6%
2017年8月1日 (第二季度)17:00  ,0.6%,0.6%
2017年6月8日 (第一季度)17:00,0.6%,0.5%
2017年5月16日 (第一季度)17:00  ,0.5%,0.5%
2017年5月3日 (第一季度)17:00  ,0.5%,0.5%
2017年3月7日 (第四季度)18:00,0.4%,0.4%
2017年2月14日 (第四季度)18:00  ,0.4%,0.5%
2017年1月31日 (第四季度)18:00  ,0.5%,0.4%
2016年12月6日 (第三季度)18:00,0.3%,0.3%
2016年11月15日 (第三季度)18:00  ,0.3%,0.3%
2016年10月31日 (第三季度)18:00  ,0.3%,0.3%
2016年9月6日 (第二季度)17:00,0.3%,0.3%
2016年8月12日 (第二季度)17:00  ,0.3%,0.3%
2016年7月29日17:00  ,0.3%,0.3%
2016年6月7日 (第一季度)17:00,0.6%,0.5%
2016年5月13日 (第一季度)17:00  ,0.5%,0.6%
2016年4月29日 (第一季度)17:00  ,0.6%,0.4%
2016年3月8日 (第四季度)18:00,0.3%,0.3%
2016年2月12日 (第四季度)18:00  ,0.3%,0.3%
2015年12月8日 (第三季度)18:00,0.3%,0.3%
2015年11月13日 (第三季度)18:00  ,0.3%,0.4%
2015年9月8日 (第二季度)17:00,0.4%,0.3%
2015年8月14日 (第二季度)17:00  ,0.3%,0.4%
2015年6月9日 (第一季度)16:10  ,0.4%,0.4%
2015年5月13日 (第一季度)17:00  ,0.4%,0.5%
2015年3月6日 (第四季度)18:00,0.3%,0.3%
2015年2月13日 (第四季度)18:00  ,0.3%,0.2%
2014年12月5日 (第三季度)18:00  ,0.2%,0.2%
2014年11月14日 (第三季度)18:00  ,0.2%,0.1%
2014年9月5日 (第二季度)17:00,0.0%,0.0%
2014年8月14日 (第二季度)17:00  ,0.0%,0.1%
2014年7月2日17:00,0.2%,0.2%
2014年6月4日17:00  ,0.2%,0.2%
2014年5月15日17:00  ,0.2%,0.4%
2014年4月2日17:00,0.2%,0.3%
2014年3月5日18:00  ,0.3%,0.3%
2014年2月14日18:00  ,0.3%,0.2%
2014年1月10日18:00,0.1%,0.1%
2013年12月4日18:00  ,0.1%,0.1%
2013年11月14日18:00  ,0.1%,0.2%
2013年10月7日17:00,0.3%,0.3%
2013年9月4日17:00  ,0.3%,0.3%
2013年8月14日17:00  ,0.3%,0.2%
2013年7月4日17:00,-0.3%,-0.2%
2013年6月5日17:00  ,-0.2%,-0.2%
2013年5月15日17:00  ,-0.2%,-0.1%
2013年4月5日17:00,-0.6%,-0.6%
2013年3月6日18:00  ,-0.6%,-0.6%
2013年2月14日18:00  ,-0.6%,-0.4%
2013年1月9日18:00,-0.1%,-0.1%
2012年12月6日18:00  ,-0.1%,-0.1%
2012年11月15日18:00  ,-0.1%,-0.2%
2012年10月5日17:00,-0.2%,-0.2%
2012年9月6日17:00  ,-0.2%,-0.2%
2012年8月14日17:00  ,-0.2%,-0.2%
2012年7月4日17:10,0.0%,0.0%
2012年6月6日17:00  ,0.0%,0.0%
2012年5月15日17:00  ,0.0%,-0.2%
2012年4月3日17:00,-0.3%,-0.3%
2012年3月6日18:00  ,-0.3%,-0.3%
2012年2月15日18:00  ,-0.3%,-0.4%
2012年1月11日19:10,0.1%,0.2%
2011年12月6日18:00  ,0.2%,0.2%
2011年11月15日18:00  ,0.2%,0.2%
2011年10月5日17:00,0.2%,0.2%
2011年9月6日17:00,0.2%,0.2%
2011年8月16日17:00  ,0.2%,0.3%
2011年7月6日17:00,0.8%,0.8%
2011年6月8日17:00,0.8%,0.8%
2011年5月13日17:00  ,0.8%,0.6%
2011年4月6日17:00,0.3%,0.3%
2011年3月3日18:00,0.3%,0.3%
2011年2月15日18:00  ,0.3%,0.4%
2011年1月7日18:00,0.3%,0.4%
2010年12月2日18:00,0.4%,0.4%
2010年11月12日18:00  ,0.4%,0.5%
2010年10月6日17:00,1.0%,1.0%
2010年9月2日17:00,1.0%,1.0%
2010年8月13日17:00  ,1.0%,0.7%
2010年7月7日17:00,0.2%,0.2%
2010年6月4日17:00,0.2%,0.2%
2010年5月12日17:00  ,0.2%,0.1%
2010年4月7日17:00,0.0%,0.1%
2010年3月4日18:00,0.1%,0.1%
2010年2月12日18:00  ,0.1%,0.4%
2010年1月8日18:00,0.4%,0.4%
2009年12月3日18:00,0.4%,0.4%
2009年11月13日18:00  ,0.4%,0.6%
2009年10月7日17:00,-0.2%,-0.1%
2009年9月2日17:00,-0.1%,-0.1%
2009年8月13日17:00  ,-0.1%,-0.5%
2009年7月8日17:00,-2.5%,-2.5%
2009年6月3日17:00  ,-2.5%,-2.5%
2009年5月15日17:00  ,-2.5%,-2.1%
2009年4月7日17:00,-1.6%,-1.5%
2009年3月5日18:00,-1.5%,-1.5%
2009年2月13日17:00  ,-1.5%,-1.3%
2009年1月8日17:00,-0.2%,-0.2%
2008年12月4日18:00,-0.2%,-0.2%
2008年12月4日17:00,-0.2%,-0.2%
2008年10月8日17:00,-0.2%,-0.2%
2008年9月3日17:00,-0.2%,-0.2%
2008年7月9日17:00,0.7%,0.7%
2008年6月3日18:00,0.8%,0.7%
2008年5月15日18:00,0.7%,0.5%
2008年4月9日17:00,0.4%,0.4%
2008年3月4日18:00,0.4%,0.4%
2008年2月14日13:00,0.0%,0.3%
