时间,今值,预测值
2017年9月18日 (八月)17:00, , 
2017年8月31日 (八月)17:00  ,1.5%,1.4%
2017年8月17日 (七月)17:00,1.3%,1.3%
2017年7月31日 (七月)17:00  ,1.3%,1.3%
2017年7月17日 (六月)17:00,1.3%,1.3%
2017年6月30日 (六月)17:00  ,1.3%,1.2%
2017年6月16日 (五月)17:00,1.4%,1.4%
2017年5月31日 (五月)17:00  ,1.4%,1.5%
2017年5月17日 (四月)17:00,1.9%,1.9%
2017年4月28日 (四月)17:00  ,1.9%,1.8%
2017年4月19日 (三月)17:00,1.5%,1.5%
2017年3月31日 (三月)17:00  ,1.5%,1.8%
2017年3月16日 (二月)18:00,2.0%,2.0%
2017年3月2日 (二月)18:00  ,2.0%,2.0%
2017年2月22日 (一月)18:00,1.8%,1.8%
2017年1月31日 (一月)18:00  ,1.8%,1.6%
2017年1月18日 (十二月)18:00,1.1%,1.1%
2017年1月4日 (十二月)18:00  ,1.1%,1.0%
2016年12月16日 (十一月)18:00,0.6%,0.6%
2016年11月30日 (十一月)18:00  ,0.6%,0.6%
2016年11月17日 (十月)18:00,0.5%,0.5%
2016年10月31日 (十月)18:00  ,0.5%,0.5%
2016年10月17日 (九月)17:00,0.4%,0.4%
2016年9月30日 (九月)17:00  ,0.4%,0.4%
2016年9月15日 (八月)17:00,0.2%,0.2%
2016年8月31日 (八月)17:00  ,0.2%,0.3%
2016年8月18日 (七月)17:00,0.2%,0.2%
2016年7月29日 (七月)17:00  ,0.2%,0.1%
2016年7月15日 (六月)17:00,0.1%,0.1%
2016年6月30日 (六月)17:00  ,0.1%,0.0%
2016年6月16日 (五月)17:00,-0.1%,-0.1%
2016年5月31日 (五月)17:00  ,-0.1%,-0.1%
2016年5月18日 (四月)17:00,-0.2%,-0.2%
2016年4月29日 (四月)17:00  ,-0.2%,-0.1%
2016年4月14日 (三月)17:00,0.0%,-0.1%
2016年3月31日 (三月)17:00  ,-0.1%,-0.1%
2016年3月17日 (二月)18:00,-0.2%,-0.2%
2016年2月29日 (二月)18:00  ,-0.2%,0.1%
2016年2月25日 (一月)18:00,0.3%,0.4%
2016年1月29日 (一月)18:00  ,0.4%,0.4%
2016年1月19日 (十二月)18:00,0.2%,0.2%
2016年1月5日 (十二月)18:00  ,0.2%,0.3%
2015年12月16日 (十一月)18:00,0.2%,0.1%
2015年12月2日 (十一月)18:00  ,0.1%,0.2%
2015年11月16日 (十月)18:00,0.1%,0.0%
2015年10月30日 (十月)18:00  ,0.0%,0.1%
2015年10月16日 (九月)17:00,-0.1%,-0.1%
2015年9月30日 (九月)17:00  ,-0.1%,0.0%
2015年9月16日 (八月)17:00,0.1%,0.2%
2015年8月31日 (八月)17:00  ,0.2%,0.1%
2015年8月14日 (七月)17:00,0.2%,0.2%
2015年7月31日 (七月)17:00  ,0.2%,0.2%
2015年7月16日 (六月)17:00,0.2%,0.2%
2015年6月30日 (六月)17:00  ,0.2%,0.2%
2015年6月17日 (五月)17:00,0.3%,0.3%
2015年6月2日 (五月)17:00  ,0.3%,0.2%
2015年5月19日 (四月)17:00,0.0%,0.0%
2015年4月30日 (四月)17:00  ,0.0%,-0.1%
2015年4月17日 (三月)17:00,-0.1%,-0.1%
