时间,今值,预测值
2017年9月18日 (八月)17:00, , 
2017年8月17日 (七月)17:00,-0.5%,-0.5%
2017年7月17日 (六月)17:00,0.0%,0.0%
2017年6月16日 (五月)17:00,-0.1%,-0.1%
2017年5月17日 (四月)17:00,0.4%,0.4%
2017年4月19日 (三月)17:00,0.8%,0.8%
2017年3月16日 (二月)18:00,0.4%,0.4%
2017年2月22日 (一月)18:00,-0.8%,-0.8%
2017年1月18日 (十二月)18:00,0.5%,0.5%
2016年12月16日 (十一月)18:00,-0.1%,-0.1%
2016年11月17日 (十月)18:00,0.2%,0.3%
2016年10月17日 (九月)17:00,0.4%,0.4%
2016年9月15日 (八月)17:00,0.1%,0.1%
2016年8月18日 (七月)17:00,-0.6%,-0.5%
2016年7月15日 (六月)17:00,0.2%,0.2%
2016年6月16日 (五月)17:00,0.4%,0.3%
2016年5月18日 (四月)17:00,0.0%, 
2016年4月14日 (三月)17:00,1.2%,1.2%
2016年3月17日 (二月)18:00,0.2%,0.1%
2016年2月25日 (一月)18:00,-1.4%,-1.4%
2016年1月19日 (十二月)18:00,0.0%,-0.1%
2015年12月16日 (十一月)18:00,-0.1%,-0.2%
2015年11月16日 (十月)18:00,0.1%,0.1%
2015年10月16日 (九月)17:00,0.2%,0.2%
2015年9月16日 (八月)17:00,0.0%,-0.6%
2015年8月14日 (七月)17:00,-0.6%,-0.6%
2015年7月16日 (六月)17:00,0.0%,0.0%
2015年6月17日 (五月)17:00,0.2%,0.2%
2015年5月19日 (四月)17:00,0.2%,0.2%
2015年4月17日 (三月)17:00,1.1%,1.1%
2015年3月17日 (二月)18:00,0.6%,0.6%
2015年2月24日 (一月)18:00,-1.6%,-1.6%
2015年1月16日 (十二月)18:00,-0.1%,-0.1%
2014年12月17日 (十一月)18:00,-0.2%,-0.2%
2014年11月14日 (十月)18:00,0.0%,0.0%
2014年10月16日 (九月)17:00,0.4%,0.4%
2014年9月17日17:00,0.1%,0.1%
2014年8月14日17:00,-0.7%,-0.6%
2014年7月17日17:00,0.1%,0.1%
2014年6月16日17:00,-0.1%,-0.1%
2014年5月15日17:00,0.2%,0.2%
2014年4月16日17:00,0.9%,1.0%
2014年3月17日18:00,0.3%,0.4%
2014年2月24日18:00,-1.1%,-1.1%
2014年1月16日18:00,0.3%,0.3%
2013年12月17日18:00,-0.1%,-0.1%
2013年11月15日18:00,-0.1%,-0.1%
2013年10月16日17:00,0.5%,0.5%
2013年9月16日17:00,0.1%,0.1%
2013年8月16日17:00,-0.5%,-0.5%
