时间,今值,预测值
2017年9月4日 (九月)16:30,28.2,27.4
2017年8月7日 (八月)16:30,27.7,27.8
2017年7月10日 (七月)16:30,28.3,28.4
2017年6月6日 (六月)16:30,28.4,27.5
2017年5月8日 (五月)16:30,27.4,25.0
2017年4月10日 (四月)16:30,23.9,21.0
2017年3月6日 (三月)17:30,20.7,18.5
2017年2月6日 (二月)17:30,17.4,17.4
2017年1月9日 (一月)17:30,18.2,12.5
2016年12月5日 (十二月)17:30,10.0,13.1
2016年11月7日 (十一月)17:30,13.1,9.0
2016年10月10日 (十月)16:30,8.5,6.3
2016年9月5日 (九月)16:30,5.6,5.0
2016年8月8日 (八月)16:30,4.2,3.0
2016年7月4日 (七月)16:30,1.7,5.0
2016年6月6日 (六月)16:30,9.9,7.0
2016年5月9日 (五月)16:30,6.2,6.1
2016年4月4日 (四月)16:30,5.7,6.4
2016年3月7日 (三月)17:30,5.5,8.0
2016年2月8日 (二月)17:30,6.0,7.6
2016年1月11日 (一月)17:30,9.6,12.2
2015年12月7日 (十二月)17:30,15.7,17.0
2015年11月9日 (十一月)17:30,15.1,13.2
2015年10月5日 (十月)16:30,11.7,11.6
2015年9月7日 (九月)16:30,13.6,16.1
2015年8月10日 (八月)16:30,18.4,20.2
2015年7月6日 (七月)16:30,18.5,15.0
2015年6月8日 (六月)16:30,17.1,18.7
2015年5月4日 (五月)16:30,19.6,19.8
2015年4月7日 (四月)16:30,20.0,20.0
2015年3月9日 (三月)17:30,18.6,15.0
2015年2月9日 (二月)17:30,12.4,3.0
2015年1月5日 (一月)17:30,0.9,-1.0
2014年12月8日 (十二月)17:30,-2.5,-9.7
2014年11月10日 (十一月)17:30,-11.9,-6.9
2014年10月6日 (十月)16:30,-13.7,-11.5
2014年9月8日16:30,-9.8,2.0
2014年8月4日16:30,2.7,9.0
2014年7月7日16:30,10.1,8.0
2014年6月9日16:30,8.5,13.2
2014年5月5日16:30,12.8,14.2
2014年4月7日16:30,14.1,14.2
2014年3月10日17:30,13.9,14.0
2014年2月10日17:30,13.3,10.7
2014年1月6日17:30,11.9,9.5
2013年12月9日17:30,8.0,10.4
2013年11月4日17:30,9.3,6.0
2013年10月7日16:30,6.1,10.6
2013年9月9日16:30,6.5,-2.8
2013年8月5日16:30,-4.9,-10.0
2013年7月8日16:30,-12.6,-10.0
2013年6月10日16:30,-11.6,-10.0
2013年5月6日16:30,-15.6,-15.2
2013年4月8日16:30,-17.3,-13.1
2013年3月4日17:30,-10.6,-5.2
2013年2月4日17:30,-3.9,-3.0
2013年1月7日17:30,-7.0,-15.0
2012年12月10日17:30,-16.8,-16.0
2012年11月5日17:30,-18.8,-20.0
2012年10月8日16:30,-22.2,-20.8
2012年9月10日16:30,-23.2,-30.7
2012年8月6日16:30,-30.3,-31.0
2012年7月9日16:30,-29.6,-26.7
2012年6月4日16:30,-28.9,-29.5
2012年5月7日16:30,-24.5,-15.7
2012年4月10日16:30,-14.7,-8.1
2012年3月5日17:30,-8.2,-5.5
2012年2月6日17:30,-11.1,-14.6
2012年1月9日17:30,-21.1,-23.5
2011年12月5日17:30,-24.0,-21.4
2011年11月7日17:30,-21.2,-20.0
2011年10月10日16:30,-18.5,-19.2
2011年9月5日16:30,-15.4,-18.0
2011年8月8日16:30,-13.5,3.4
2011年7月4日16:30,5.3,1.1
2011年6月6日16:30,3.5,8.6
2011年5月9日16:30,10.9,14.3
2011年4月4日16:30,14.2,16.1
2011年3月7日17:30,17.1,17.2
2011年2月7日17:30,16.7,14.1
2011年1月10日17:30,10.6,11.8
2010年12月6日17:30,9.7,11.0
2010年11月8日17:30,14.0,10.0
2010年10月4日16:30,8.8,8.6
2010年9月6日16:30,7.6,8.7
2010年8月9日16:30,8.5,2.4
2010年7月5日16:30,-1.3,-4.1
2010年6月7日16:30,-4.1,-5.2
2010年5月10日16:30,-6.4,1.6
2010年4月6日16:30,2.5,-6.0
2010年3月8日17:30,-7.5,-7.6
2010年2月8日17:30,-8.2,-2.3
2010年1月4日17:30,-3.7,-3.5
2009年12月7日17:30,-5.5,-4.0
2009年11月9日17:30,-7.0,-10.9
2009年10月5日16:30,-12.6,-12.0
2009年9月7日16:30,-14.6,-13.5
2009年8月10日16:30,-17.0,-26.0
2009年7月6日16:30,-31.3,-23.5
2009年6月8日16:30,-27.0,-31.0
2009年5月4日16:30,-34.3,-27.8
2009年4月6日16:30,-35.3,-40.7
2009年3月9日17:30,-42.7,-37.8
2009年2月9日17:30,-36.1,-31.2
2009年1月5日17:30,-34.4,-44.0
2008年12月8日17:30,-42.3,-40.0
2008年11月10日17:30,-36.4,-34.0
2008年10月6日16:30,-27.8,-27.1
2008年9月8日16:30,-20.2,-18.4
2008年8月4日16:30,-15.3,-10.0
2008年7月7日16:30,-9.3,2.5
2008年6月9日17:30,5.2,3.0
2008年5月5日16:30,3.5,3.9
2008年4月7日16:30,4.1,0.0
2008年3月1日 (二月)17:00,4.30, 
2008年2月1日 (一月)17:00,8.20, 
2008年1月1日 (十二月)17:00,11.90, 
2007年12月1日 (十一月)17:00,14.00, 
2007年11月1日 (十月)17:00,15.30, 
2007年10月1日 (九月)17:00,18.10, 
