时间,今值,预测值
2017年9月22日 (九月)16:00, , 
2017年9月1日 (八月)16:00,57.4,57.4
2017年8月23日 (八月)16:00  ,57.4,56.3
2017年8月1日 (七月)16:00,56.6,56.8
2017年7月24日 (七月)16:00  ,56.8,57.2
2017年7月3日 (六月)16:00,57.4,57.3
2017年6月23日 (六月)16:00  ,57.3,56.8
2017年6月1日 (五月)16:00,57.0,57.0
2017年5月23日 (五月)16:00  ,57.0,56.5
2017年5月2日 (四月)16:00,56.7,56.8
2017年4月21日 (四月)16:00  ,56.8,56.0
2017年4月3日 (三月)16:00,56.2,56.2
2017年3月24日 (三月)17:00  ,56.2,55.3
2017年3月1日 (二月)17:00,55.4,55.5
2017年2月21日 (二月)17:00  ,55.5,55.0
2017年2月1日 (一月)17:00,55.2,55.1
2017年1月24日 (一月)17:00  ,55.1,54.8
2017年1月2日 (十二月)17:00,54.9,54.9
2016年12月15日 (十二月)17:00  ,54.9,53.7
2016年12月1日 (十一月)17:00,53.7,53.7
2016年11月23日 (十一月)17:00  ,53.7,53.3
2016年11月2日 (十月)17:00,53.5,53.3
2016年10月24日 (十月)16:00  ,53.3,52.6
2016年10月3日 (九月)16:00,52.6,52.6
2016年9月23日 (九月)16:00  ,52.6,51.5
2016年9月1日 (八月)16:00,51.7,51.8
2016年8月23日 (八月)16:00  ,51.8,52.0
2016年8月1日 (七月)16:00,52.0,51.9
2016年7月22日 (七月)16:00  ,51.9,52.0
2016年7月1日 (六月)16:00,52.8,52.6
2016年6月23日 (六月)16:00  ,52.6,51.3
2016年6月1日 (五月)16:00,51.5,51.5
2016年5月23日 (五月)16:00  ,51.5,51.9
2016年5月2日 (四月)16:00,51.7,51.5
2016年4月22日 (四月)16:00  ,51.5,51.8
2016年4月1日 (三月)16:00,51.6,51.4
2016年3月22日 (三月)17:00  ,51.4,51.3
2016年3月1日 (二月)17:00,51.2,51.0
2016年2月22日 (二月)17:00  ,51.0,52.0
2016年2月1日 (一月)17:00,52.3,52.3
2016年1月22日 (一月)17:00  ,52.3,53.0
2016年1月4日 (十二月)17:00,53.2,53.1
2015年12月16日 (十二月)16:58  ,53.1,52.8
2015年12月1日 (十一月)17:00,52.8,52.8
2015年11月23日 (十一月)17:00  ,52.8,52.3
2015年11月2日 (十月)17:00,52.3,52.0
2015年10月23日 (十月)16:00  ,52.0,51.7
2015年10月1日 (九月)16:00,52.0,52.0
2015年9月23日 (九月)16:00  ,52.0,52.0
2015年9月1日 (八月)16:00,52.3,52.4
2015年8月21日 (八月)16:00  ,52.4,52.2
2015年8月3日 (七月)16:00,52.4,52.2
2015年7月24日 (七月)16:00  ,52.2,52.5
2015年7月1日 (六月)16:00,52.5,52.5
2015年6月23日 (六月)16:00  ,52.5,52.2
2015年6月1日 (五月)16:00,52.2,52.3
2015年5月21日 (五月)16:00  ,52.3,52.0
2015年5月4日 (四月)16:00,52.0,51.9
2015年4月23日 (四月)16:00  ,51.9,52.6
2015年4月1日 (三月)16:00,52.2,51.9
2015年3月24日 (三月)17:00  ,51.9,51.5
2015年3月2日 (二月)17:00,51.0,51.1
2015年2月20日 (二月)17:00  ,51.1,51.5
2015年2月2日 (一月)17:00,51.0,51.0
2015年1月23日 (一月)17:00  ,51.0,51.0
2015年1月2日 (十二月)17:00,50.6,50.8
2014年12月16日 (十二月)17:00  ,50.8,50.5
2014年12月1日 (十一月)17:00,50.1,50.4
2014年11月20日 (十一月)17:00  ,50.4,50.9
2014年11月3日 (十月)17:00,50.6,50.7
2014年10月23日 (十月)16:00  ,50.7,49.9
2014年10月1日 (九月)16:00,50.3,50.5
2014年9月23日 (九月)16:00  ,50.5,50.5
2014年9月1日16:00,50.7,50.8
2014年8月21日16:00  ,50.8,51.3
2014年8月1日16:00,51.8,51.9
2014年7月24日16:00  ,51.9,51.7
2014年7月1日16:00,51.8,51.9
2014年6月23日16:00  ,51.9,52.2
2014年6月2日16:00,52.2,52.5
2014年5月22日16:00  ,52.5,53.2
2014年5月2日16:00,53.4,53.3
2014年4月23日16:00  ,53.3,53.0
2014年4月1日16:00,53.0,53.0
2014年3月24日17:00  ,53.0,53.0
2014年3月3日16:58,53.2,53.0
2014年2月20日16:58  ,53.0,54.0
2014年2月3日16:58,54.0,53.9
2014年1月23日16:58  ,53.9,53.0
2014年1月2日16:58,52.7,52.7
2013年12月16日16:58  ,52.7,51.9
2013年12月2日16:58,51.6,51.5
2013年11月21日16:58  ,51.5,51.5
2013年11月4日16:58,51.3,51.3
2013年10月24日15:58  ,51.3,51.4
2013年10月1日15:58,51.1,51.1
2013年9月23日15:58  ,51.1,51.8
2013年9月2日15:58,51.4,51.3
2013年8月22日15:58  ,51.3,50.8
2013年8月1日15:58,50.3,50.1
2013年7月24日15:58  ,50.1,49.1
2013年7月1日15:58,48.8,48.7
2013年6月20日15:58  ,48.7,48.6
2013年6月3日15:58,48.3,47.8
2013年5月23日15:58  ,47.8,47.0
2013年5月2日15:58,46.7,46.5
2013年4月23日15:58  ,46.5,46.8
2013年4月2日15:58,46.8,46.6
2013年3月21日17:00  ,46.6,48.2
2013年3月1日17:00,47.9,47.8
2013年2月21日17:00  ,47.8,48.4
2013年2月1日17:00,47.9,47.5
2013年1月24日17:00  ,47.5,46.6
2013年1月2日17:00,46.1,46.3
2012年12月14日17:00  ,46.3,46.6
2012年12月3日17:00,46.2,46.2
2012年11月22日17:00  ,46.2,45.6
2012年11月2日17:00,45.4,45.3
2012年10月24日16:00  ,45.3,46.6
2012年10月1日16:00,46.1,46.0
2012年9月20日16:00  ,46.0,45.4
2012年9月3日16:00,45.1,45.3
2012年8月23日16:00  ,45.3,44.2
2012年8月1日16:00,44.0,44.1
2012年7月24日16:00  ,44.1,45.3
2012年7月2日16:00,45.1,44.8
2012年6月21日16:00  ,44.8,44.9
2012年6月1日16:00,45.1,45.0
2012年5月24日16:00  ,45.0,46.1
2012年5月2日16:00,45.9,46.0
2012年4月23日16:00  ,46.0,48.2
2012年4月2日16:00,47.7,47.7
2012年3月22日17:00  ,47.7,49.6
2012年3月1日17:00,49.0,49.0
2012年2月22日17:00  ,49.0,49.4
2012年2月1日17:00,48.8,48.7
2012年1月24日17:00  ,48.7,47.4
2012年1月2日17:00,46.9,46.9
2011年12月15日17:00,46.9,46.1
2011年12月1日17:00,46.4,46.4
2011年11月23日17:00  ,46.4,46.6
2011年11月2日17:00,47.1,47.3
2011年10月24日16:00  ,47.3,48.1
2011年10月3日16:00,48.5,48.4
2011年9月22日16:00  ,48.4,48.6
2011年9月1日16:00,49.0,49.7
2011年8月23日16:00  ,49.7,49.5
2011年8月1日16:00,50.4,50.4
2011年7月21日16:00  ,50.4,51.5
2011年7月1日16:00,52.0,52.0
2011年6月23日16:00  ,52.0,53.8
2011年6月1日16:00,54.6,54.8
2011年5月23日16:00  ,54.8,57.6
2011年5月2日16:00,58.0,57.7
2011年4月19日16:00  ,57.7,57.2
2011年4月1日16:00,57.5,57.7
2011年3月24日17:00  ,57.7,58.3
2011年3月1日17:00,59.0,59.0
2011年2月21日17:00  ,59.0,57.0
2011年2月1日17:00,57.3,56.9
2011年1月24日17:00  ,56.9,57.1
2011年1月3日17:00,57.1,56.9
2010年12月16日17:00  ,56.8,55.3
2010年12月1日17:00,55.3,55.5
