时间,今值,预测值
2017年8月31日 (七月)17:00,9.1%,9.1%
2017年7月31日 (六月)17:00,9.1%,9.2%
2017年7月3日 (五月)17:00,9.3%,9.2%
2017年5月31日 (四月)17:00,9.3%,9.4%
2017年5月2日 (三月)17:00,9.5%,9.4%
2017年4月3日 (二月)17:00,9.5%,9.5%
2017年3月2日 (一月)18:00,9.6%,9.6%
2017年1月31日 (十二月)18:00,9.6%,9.8%
2017年1月9日 (十一月)18:00,9.8%,9.8%
2016年12月1日 (十月)18:00,9.8%,10.0%
2016年11月3日 (九月)18:00,10.0%,10.0%
2016年9月30日 (八月)17:00,10.1%,10.0%
2016年8月31日 (七月)17:00,10.1%,10.0%
2016年7月29日 (六月)17:00,10.1%,10.1%
2016年7月1日 (五月)17:00,10.1%,10.1%
2016年5月31日 (四月)17:00,10.2%,10.2%
2016年4月29日 (三月)17:00,10.2%,10.3%
2016年4月4日 (二月)17:00,10.3%,10.3%
2016年3月1日 (一月)18:00,10.3%,10.4%
2016年2月2日 (一月)18:00,10.4%,10.5%
2016年1月7日 (十二月)18:00,10.5%,10.7%
2015年12月1日 (十月)18:00,10.7%,10.8%
2015年10月30日 (九月)18:00,10.8%,11.0%
2015年9月30日 (八月)17:00,11.0%,10.9%
2015年9月1日 (七月)17:00,10.9%,11.1%
2015年7月31日 (六月)17:00,11.1%,11.1%
2015年6月30日 (五月)17:00,11.1%,11.1%
2015年6月3日 (四月)17:00,11.1%,11.2%
2015年4月30日 (三月)17:00,11.3%,11.2%
2015年3月31日 (二月)17:00,11.3%,11.2%
2015年3月2日 (一月)18:00,11.2%,11.4%
2015年1月30日 (十二月)18:00,11.4%,11.5%
2015年1月7日 (十一月)18:00,11.5%,11.5%
2014年11月28日 (十月)18:00,11.5%,11.5%
2014年10月31日 (九月)18:00,11.5%,11.5%
2014年9月30日 (八月)17:00,11.5%,11.5%
2014年8月29日17:00,11.5%,11.5%
2014年7月31日17:00,11.5%,11.6%
2014年7月1日17:00,11.6%,11.7%
2014年6月3日17:00,11.7%,11.8%
2014年5月2日17:00,11.8%,11.9%
2014年4月1日17:00,11.9%,12.0%
2014年2月28日18:00,12.0%,12.0%
2014年1月31日18:00,12.0%,12.1%
2014年1月8日18:00,12.1%,12.1%
2013年11月29日18:00,12.1%,12.2%
2013年10月31日18:00,12.2%,12.0%
2013年10月1日17:00,12.0%,12.1%
2013年8月30日17:00,12.1%,12.1%
2013年7月31日17:00,12.1%,12.2%
2013年7月1日17:00,12.1%,12.3%
2013年5月31日17:00,12.2%,12.2%
2013年4月30日17:00,12.1%,12.1%
2013年4月2日17:00,12.0%,12.0%
2013年3月1日18:00,11.9%,11.8%
2013年2月1日18:00,11.7%,11.9%
2013年1月8日18:00,11.8%,11.8%
2012年11月30日18:00,11.7%,11.7%
2012年10月31日18:00,11.6%,11.5%
2012年10月1日17:00,11.4%,11.4%
2012年8月31日17:00,11.3%,11.3%
2012年7月31日17:00,11.2%,11.2%
2012年7月2日17:00,11.1%,11.1%
2012年6月1日17:00,11.0%,11.0%
2012年5月2日17:00,10.9%,10.9%
2012年4月2日17:00,10.8%,10.8%
2012年3月1日18:00,10.7%,10.4%
2012年1月31日18:00,10.4%,10.4%
2012年1月6日18:00,10.3%,10.3%
2011年11月30日18:00,10.3%,10.2%
2011年10月31日18:00,10.2%,10.0%
2011年9月30日17:00,10.0%,10.0%
2011年8月31日17:00,10.0%,9.9%
2011年8月1日17:00,9.9%,9.9%
2011年7月1日17:00,9.9%,9.9%
2011年5月31日17:00,9.9%,9.9%
2011年4月29日17:00,9.9%,9.9%
2011年4月1日17:00,9.9%,9.9%
2011年3月1日18:00,9.9%,10.0%
2011年2月1日18:00,10.0%,10.1%
2011年1月7日18:00,10.1%,10.1%
2010年11月30日18:00,10.1%,10.1%
2010年10月29日17:00,10.1%,10.1%
2010年10月1日17:00,10.1%,10.0%
2010年8月31日17:00,10.0%,10.0%
2010年7月30日17:00,10.0%,10.0%
2010年7月2日17:00,10.0%,10.1%
2010年6月1日17:00,10.1%,10.1%
2010年4月30日17:00,10.0%,10.0%
2010年3月31日17:00,10.0%,10.0%
2010年3月1日18:00,9.9%,10.1%
2010年1月29日18:00,10.0%,10.1%
2010年1月8日18:00,10.0%,9.9%
2009年12月1日18:00,9.8%,9.8%
2009年10月30日18:00,9.7%,9.7%
2009年10月1日17:00,9.6%,9.6%
2009年9月1日17:00,9.5%,9.5%
2009年7月31日17:00,9.4%,9.7%
2009年7月2日17:00,9.5%,9.3%
2009年6月2日17:00,9.2%,9.1%
2009年4月30日17:00,8.9%,8.7%
2009年4月1日17:00,8.5%,8.3%
2009年2月27日18:00,8.2%,8.1%
2009年1月30日18:00,8.0%,7.9%
2009年1月8日18:00,7.8%,7.8%
2008年11月28日18:00,7.7%,7.6%
2008年10月31日18:00,7.5%,7.5%
2008年10月1日17:00,7.5%,7.3%
2008年8月29日17:00,7.3%,7.3%
2008年7月31日17:00,7.3%,7.2%
2008年7月1日17:00,7.2%,7.1%
2008年5月30日18:00,7.2%,7.1%
2008年4月30日17:00,7.1%,7.1%
2008年4月1日17:00,7.1%,7.1%
2008年3月1日 (二月)17:00,7.30%, 
2008年2月1日 (一月)17:00,7.30%, 
2008年1月1日 (十二月)17:00,7.40%, 
2007年12月1日 (十一月)17:00,7.30%, 
2007年11月1日 (十月)17:00,7.40%, 
2007年10月1日 (九月)17:00,7.50%, 
2007年9月1日 (八月)17:00,7.50%, 
2007年8月1日 (七月)17:00,7.60%, 
2007年7月1日 (六月)17:00,7.50%, 
2007年6月1日 (五月)17:00,7.60%, 
2007年5月1日 (四月)17:00,7.60%, 
2007年4月1日 (三月)17:00,7.70%, 
2007年3月1日 (二月)17:00,7.80%, 
2007年2月1日 (一月)17:00,7.90%, 
2007年1月1日 (十二月)17:00,7.90%, 
2006年12月1日 (十一月)17:00,8.10%, 
2006年11月1日 (十月)17:00,8.10%, 
2006年10月1日 (九月)17:00,8.20%, 
2006年9月1日 (八月)17:00,8.30%, 
2006年8月1日 (七月)17:00,8.30%, 
2006年7月1日 (六月)17:00,8.40%, 
2006年6月1日 (五月)17:00,8.50%, 
2006年5月1日 (四月)17:00,8.60%, 
2006年4月1日 (三月)17:00,8.70%, 
2006年3月1日 (二月)17:00,8.80%, 
2006年2月1日 (一月)17:00,8.80%, 
2006年1月1日 (十二月)17:00,8.90%, 
2005年12月1日 (十一月)17:00,8.90%, 
2005年11月1日 (十月)17:00,9.00%, 
2005年10月1日 (九月)17:00,9.10%, 
2005年9月1日 (八月)17:00,9.10%, 
2005年8月1日 (七月)17:00,9.10%, 
2005年7月1日 (六月)17:00,9.20%, 
2005年6月1日 (五月)17:00,9.20%, 
2005年5月1日 (四月)17:00,9.20%, 
2005年4月1日 (三月)17:00,9.10%, 
2005年3月1日 (二月)17:00,9.20%, 
2005年2月1日 (一月)17:00,9.20%, 
2005年1月1日 (十二月)17:00,9.20%, 
2004年12月1日 (十一月)17:00,9.20%, 
2004年11月1日 (十月)17:00,9.20%, 
2004年10月1日 (九月)17:00,9.20%, 
2004年9月1日 (八月)17:00,9.20%, 
2004年8月1日 (七月)17:00,9.20%, 
2004年7月1日 (六月)17:00,9.20%, 
2004年6月1日 (五月)17:00,9.20%, 
2004年5月1日 (四月)17:00,9.20%, 
2004年4月1日 (三月)17:00,9.30%, 
2004年3月1日 (二月)17:00,9.30%, 
2004年2月1日 (一月)17:00,9.20%, 
2004年1月1日 (十二月)17:00,9.10%, 
2003年12月1日 (十一月)17:00,9.10%, 
2003年11月1日 (十月)17:00,9.00%, 
2003年10月1日 (九月)17:00,9.00%, 
2003年9月1日 (八月)17:00,9.00%, 
2003年8月1日 (七月)17:00,9.00%, 
2003年7月1日 (六月)17:00,9.10%, 
2003年6月1日 (五月)17:00,9.00%, 
2003年5月1日 (四月)17:00,9.00%, 
2003年4月1日 (三月)17:00,9.00%, 
2003年3月1日 (二月)17:00,9.00%, 
2003年2月1日 (一月)17:00,8.90%, 
2003年1月1日 (十二月)17:00,8.90%, 
2002年12月1日 (十一月)17:00,8.80%, 
2002年11月1日 (十月)17:00,8.80%, 
2002年10月1日 (九月)17:00,8.70%, 
2002年9月1日 (八月)17:00,8.70%, 
2002年8月1日 (七月)17:00,8.60%, 
2002年7月1日 (六月)17:00,8.60%, 
