时间,今值,预测值
2017年9月15日 (七月)17:00, , 
2017年8月17日 (六月)17:00,26.6B,22.9B
2017年7月14日 (五月)17:00,21.4B, 
2017年6月15日 (四月)17:00,17.9B,27.2B
2017年5月16日 (三月)17:00,30.9B,26.5B
2017年4月19日 (二月)17:00,17.8B,16.2B
2017年3月17日 (一月)18:00,-0.6B, 
2017年2月15日 (十二月)18:00,28.1B,22.8B
2017年1月16日 (十一月)18:00,25.9B,22.0B
2016年12月16日 (十月)18:00,20.1B,29.0B
2016年11月15日 (九月)18:00,26.5B,22.5B
2016年10月14日 (八月)17:00,18.4B,15.3B
2016年9月15日 (七月)17:00,25.3B,25.0B
2016年8月16日 (六月)17:00,29.2B,25.8B
2016年7月15日 (五月)17:00,24.6B,23.0B
2016年6月15日 (四月)17:00,27.5B,26.0B
2016年5月17日 (三月)17:00,28.6B,22.5B
2016年4月15日 (二月)17:00,19.0B, 
2016年3月17日 (一月)18:00,6.2B,20.2B
2016年2月15日 (十二月)18:00,24.3B,27.5B
2016年1月15日 (十一月)18:00,23.6B, 
2015年12月16日 (十月)18:00,24.1B,21.5B
2015年11月13日 (九月)18:00,20.5B,18.2B
2015年10月16日 (八月)17:00,11.2B,20.0B
2015年9月15日 (七月)17:00,31.4B, 
2015年8月17日 (六月)17:00,26.4B, 
2015年7月16日 (五月)17:00,18.8B,22.3B
2015年6月15日 (四月)17:00,24.9B,22.5B
2015年5月19日 (三月)17:00,23.4B,22.8B
2015年4月15日 (二月)17:00,20.3B,21.1B
2015年3月18日 (一月)18:00,7.9B,15.0B
2015年2月16日 (十二月)18:00,24.3B,20.5B
2015年1月15日 (十一月)18:00,20.0B,21.3B
2014年12月16日18:00,19.4B,18.2B
2014年11月17日18:00,17.7B,16.0B
2014年10月16日17:00,15.8B,13.5B
2014年9月15日17:00,12.2B,15.9B
2014年8月18日17:00,13.8B,14.9B
2014年7月16日17:00,15.3B,16.3B
2014年6月13日17:00,15.8B,15.9B
2014年5月16日17:00,15.2B,17.3B
2014年4月15日17:01,15.0B,14.8B
2014年4月15日17:00,13.9B,13.9B
2014年3月12日18:00,13.7B,14.5B
2014年1月15日18:00,16.0B,16.7B
2013年12月16日18:00,14.5B,15.2B
2013年11月18日18:00,14.3B,14.2B
2013年10月16日17:00,12.3B,12.4B
2013年9月17日17:00,11.1B,15.3B
2013年8月16日17:00,14.9B,15.3B
2013年7月16日17:00,14.6B,15.8B
2013年6月17日17:00,16.1B,21.2B
2013年5月16日17:00,18.7B,11.8B
2013年4月15日17:00,12.0B,9.9B
2013年3月18日18:00,9.0B,10.9B
2013年2月15日18:00,12.0B,10.7B
2013年1月15日18:00,11.0B,8.2B
2012年12月17日18:00,7.9B,10.8B
2012年11月16日18:00,11.3B,10.6B
2012年10月16日17:00,9.9B,8.4B
2012年9月17日17:00,7.9B,12.3B
2012年8月17日17:00,10.5B,5.4B
2012年7月16日17:00,6.3B,5.0B
2012年6月15日17:00,6.2B,4.2B
2012年5月16日17:00,4.3B,4.3B
2012年4月16日17:00,3.7B,4.3B
2012年3月16日18:00,5.9B,6.2B
2012年2月15日18:00,7.5B,4.7B
2012年1月13日18:00,6.1B,0.7B
2011年12月16日18:00,0.3B,1.3B
2011年11月15日18:00,2.1B,-0.8B
2011年10月14日17:00,-1.0B,-1.1B
2011年9月16日17:00,-2.5B,1.7B
2011年8月16日17:00,-1.6B,0.3B
2011年7月15日17:00,-0.6B,-3.3B
2011年6月17日17:00,-2.9B,-2.7B
2011年5月16日17:00,-0.9B,1.7B
2011年4月15日17:00,-2.4B,-3.4B
2011年3月18日18:00,-3.3B,-1.3B
2011年2月15日18:00,-2.3B,-0.9B
2011年1月14日18:00,-1.9B,4.2B
2010年12月17日18:00,3.6B,2.9B
2010年11月15日18:00,2.4B,1.0B
2010年10月15日17:00,-1.4B,1.3B
2010年9月16日17:00,-0.2B,-0.7B
2010年8月13日17:00,-1.6B,-2.3B
2010年7月16日17:00,-3.0B,1.4B
2010年6月15日17:00,1.4B,1.7B
2010年5月18日17:00,0.6B,1.7B
2010年4月16日17:00,3.3B,3.1B
2010年3月18日18:00,1.8B,5.0B
2010年2月17日18:00,7.0B,4.2B
2010年1月15日18:00,3.9B,5.5B
2009年12月18日18:00,6.3B,5.7B
2009年11月17日18:00,6.8B,-0.9B
2009年10月16日17:00,1.0B,7.8B
2009年9月17日17:00,6.8B,1.2B
2009年8月17日17:00,1.0B,1.4B
2009年7月17日17:00,0.8B,1.2B
2009年6月17日17:00,-0.3B,-1.5B
2009年5月18日17:00,-2.1B,-3.8B
2009年4月17日17:00,-4.0B,-3.4B
2009年3月23日18:00,-5.5B,-1.9B
2009年2月17日18:00,-0.3B,-5.2B
2009年1月16日18:00,-4.9B,-4.8B
2008年12月18日18:00,-1.3B,-5.2B
2008年11月17日18:00,-5.7B,-5.7B
2008年10月17日17:00,-6.1B,-5.4B
2008年9月17日17:00,-6.4B,-3.5B
2008年8月18日17:00,-3.0B,0.5B
2008年7月18日17:00,-1.5B,0.9B
2008年6月17日17:00,2.2B,-0.5B
2008年5月16日18:00,-2.4B,0.0B
2008年4月17日17:00,2.1B,-2.0B
2008年3月19日18:00,-2.0B,-0.5B
2008年2月1日 (一月)17:00,-13.50B, 
2008年1月1日 (十二月)17:00,-6.30B, 
2007年12月1日 (十一月)17:00,0.30B, 
2007年11月1日 (十月)17:00,2.30B, 
2007年10月1日 (九月)17:00,1.20B, 
2007年9月1日 (八月)17:00,-0.70B, 
2007年8月1日 (七月)17:00,2.60B, 
2007年7月1日 (六月)17:00,5.30B, 
2007年6月1日 (五月)17:00,-1.50B, 
2007年5月1日 (四月)17:00,-1.20B, 
2007年4月1日 (三月)17:00,4.90B, 
2007年3月1日 (二月)17:00,-4.00B, 
2007年2月1日 (一月)17:00,-9.20B, 
2007年1月1日 (十二月)17:00,0.40B, 
2006年12月1日 (十一月)17:00,3.20B, 
2006年11月1日 (十月)17:00,1.10B, 
2006年10月1日 (九月)17:00,0.00B, 
2006年9月1日 (八月)17:00,-7.00B, 
2006年8月1日 (七月)17:00,-1.10B, 
2006年7月1日 (六月)17:00,-1.40B, 
2006年6月1日 (五月)17:00,-6.70B, 
2006年5月1日 (四月)17:00,-5.00B, 
2006年4月1日 (三月)17:00,-1.40B, 
2006年3月1日 (二月)17:00,-4.40B, 
2006年2月1日 (一月)17:00,-11.10B, 
2006年1月1日 (十二月)17:00,-3.20B, 
2005年12月1日 (十一月)17:00,-3.90B, 
2005年11月1日 (十月)17:00,-1.50B, 
2005年10月1日 (九月)17:00,-0.30B, 
2005年9月1日 (八月)17:00,-3.60B, 
2005年8月1日 (七月)17:00,5.10B, 
2005年7月1日 (六月)17:00,5.10B, 
2005年6月1日 (五月)17:00,0.80B, 
2005年5月1日 (四月)17:00,-0.40B, 
2005年4月1日 (三月)17:00,2.10B, 
2005年3月1日 (二月)17:00,2.20B, 
2005年2月1日 (一月)17:00,-2.90B, 
2005年1月1日 (十二月)17:00,4.60B, 
2004年12月1日 (十一月)17:00,1.20B, 
2004年11月1日 (十月)17:00,3.80B, 
2004年10月1日 (九月)17:00,1.40B, 
2004年9月1日 (八月)17:00,1.40B, 
2004年8月1日 (七月)17:00,12.30B, 
2004年7月1日 (六月)17:00,7.20B, 
2004年6月1日 (五月)17:00,6.60B, 
2004年5月1日 (四月)17:00,5.00B, 
2004年4月1日 (三月)17:00,9.00B, 
2004年3月1日 (二月)17:00,5.90B, 
2004年2月1日 (一月)17:00,0.40B, 
2004年1月1日 (十二月)17:00,5.20B, 
2003年12月1日 (十一月)17:00,4.30B, 
2003年11月1日 (十月)17:00,7.90B, 
2003年10月1日 (九月)17:00,7.20B, 
2003年9月1日 (八月)17:00,6.00B, 
2003年8月1日 (七月)17:00,12.10B, 
