时间,今值,预测值
2017年9月13日 (七月)17:00, ,3.5%
2017年8月14日 (六月)17:00,2.6%,2.8%
2017年7月12日 (五月)17:00,4.0%,3.6%
2017年6月14日 (四月)17:00,1.4%,1.3%
2017年5月12日 (三月)17:00,1.9%,2.3%
2017年4月11日 (二月)17:00,1.2%,2.0%
2017年3月14日 (一月)18:00,0.6%,0.9%
2017年2月14日 (十二月)18:00,2.0%,1.7%
2017年1月12日 (十一月)18:00,3.2%,1.6%
2016年12月14日 (十月)18:00,0.6%,0.8%
2016年11月14日 (九月)18:00,1.2%,1.0%
2016年10月12日 (八月)17:00,1.8%,1.1%
2016年9月14日 (七月)17:00,-0.5%,-0.7%
2016年8月12日 (六月)17:00,0.4%,0.7%
2016年7月13日 (五月)17:00,0.5%,1.4%
2016年6月14日 (四月)17:00,2.0%,1.4%
2016年5月12日 (三月)17:00,0.2%,1.1%
2016年4月13日 (二月)17:00,0.8%,1.2%
2016年3月14日 (一月)18:00,2.8%,1.4%
2016年2月12日 (十二月)18:00,-1.3%,0.8%
2016年1月13日 (十一月)18:00,1.1%,1.3%
2015年12月14日 (十月)18:00,1.9%,1.3%
2015年11月12日 (九月)18:00,1.7%,1.3%
2015年10月14日 (八月)17:00,0.9%,1.8%
2015年9月14日 (七月)17:00,1.9%,0.6%
2015年8月12日 (六月)17:00,1.2%,1.5%
2015年7月14日 (五月)17:00,1.6%,1.9%
2015年6月12日 (四月)17:00,0.8%,1.1%
2015年5月13日 (三月)17:00,1.8%,1.8%
2015年4月14日 (二月)17:00,1.6%,0.7%
2015年3月12日 (一月)18:00,1.2%,0.1%
2015年2月12日 (十二月)18:00,-0.2%,0.3%
2015年1月14日 (十一月)18:00,-0.4%,-0.8%
2014年12月12日 (十月)18:00,0.7%,0.5%
2014年11月12日 (九月)18:00,0.6%,-0.2%
2014年10月14日 (八月)17:00,-1.9%,-0.9%
2014年9月12日17:00,2.2%,1.3%
2014年8月13日17:00,0.0%,0.1%
2014年7月14日17:00,0.5%,0.5%
2014年6月12日17:00,1.4%,0.9%
2014年5月14日17:00,-0.1%,1.0%
2014年4月14日17:00,1.7%,1.5%
2014年3月12日18:00,2.1%,1.9%
2014年2月12日18:00,0.5%,1.8%
2014年1月14日18:00,3.0%,1.4%
2013年12月12日18:00,0.2%,1.1%
2013年11月13日18:00,1.1%,0.2%
2013年10月14日17:00,-2.1%,-2.4%
2013年9月12日17:00,-2.1%,-0.1%
2013年8月13日17:00,0.3%,0.2%
2013年7月12日17:00,-1.3%,-1.3%
2013年6月12日17:00,-0.6%,-1.2%
2013年5月1日 (四月)17:00,-0.60%, 
2013年4月1日 (三月)17:00,-1.60%, 
2013年3月1日 (二月)17:00,-2.70%, 
2013年2月1日 (一月)17:00,-2.30%, 
2013年1月1日 (十二月)17:00,-2.30%, 
2012年12月1日 (十一月)17:00,-3.80%, 
2012年11月1日 (十月)17:00,-3.00%, 
2012年10月1日 (九月)17:00,-2.50%, 
2012年9月1日 (八月)17:00,-1.20%, 
2012年8月1日 (七月)17:00,-2.70%, 
2012年7月1日 (六月)17:00,-2.00%, 
2012年6月1日 (五月)17:00,-2.40%, 
2012年5月1日 (四月)17:00,-2.70%, 
2012年4月1日 (三月)17:00,-2.10%, 
2012年3月1日 (二月)17:00,-2.10%, 
2012年2月1日 (一月)17:00,-1.80%, 
2012年1月1日 (十二月)17:00,-1.70%, 
2011年12月1日 (十一月)17:00,-0.30%, 
2011年11月1日 (十月)17:00,0.30%, 
2011年10月1日 (九月)17:00,1.80%, 
2011年9月1日 (八月)17:00,5.50%, 
2011年8月1日 (七月)17:00,4.20%, 
2011年7月1日 (六月)17:00,2.60%, 
2011年6月1日 (五月)17:00,4.10%, 
2011年5月1日 (四月)17:00,5.60%, 
2011年4月1日 (三月)17:00,6.40%, 
2011年3月1日 (二月)17:00,8.00%, 
2011年2月1日 (一月)17:00,6.10%, 
2011年1月1日 (十二月)17:00,9.30%, 
2010年12月1日 (十一月)17:00,8.20%, 
2010年11月1日 (十月)17:00,7.30%, 
2010年10月1日 (九月)17:00,6.20%, 
2010年9月1日 (八月)17:00,8.80%, 
2010年8月1日 (七月)17:00,7.80%, 
2010年7月1日 (六月)17:00,8.40%, 
2010年6月1日 (五月)17:00,8.80%, 
2010年5月1日 (四月)17:00,9.10%, 
2010年4月1日 (三月)17:00,7.70%, 
2010年3月1日 (二月)17:00,4.30%, 
2010年2月1日 (一月)17:00,2.20%, 
2010年1月1日 (十二月)17:00,-3.80%, 
2009年12月1日 (十一月)17:00,-7.40%, 
2009年11月1日 (十月)17:00,-11.40%, 
2009年10月1日 (九月)17:00,-13.10%, 
2009年9月1日 (八月)17:00,-15.10%, 
2009年8月1日 (七月)17:00,-16.20%, 
2009年7月1日 (六月)17:00,-17.40%, 
2009年6月1日 (五月)17:00,-17.60%, 
2009年5月1日 (四月)17:00,-21.80%, 
2009年4月1日 (三月)17:00,-19.60%, 
2009年3月1日 (二月)17:00,-18.70%, 
2009年2月1日 (一月)17:00,-16.60%, 
2009年1月1日 (十二月)17:00,-12.40%, 
2008年12月1日 (十一月)17:00,-8.80%, 
2008年11月1日 (十月)17:00,-5.80%, 
2008年10月1日 (九月)17:00,-2.90%, 
2008年9月1日 (八月)17:00,-1.50%, 
2008年8月1日 (七月)17:00,-1.10%, 
2008年7月1日 (六月)17:00,-0.30%, 
2008年6月1日 (五月)17:00,-0.80%, 
2008年5月1日 (四月)17:00,4.50%, 
2008年4月1日 (三月)17:00,1.90%, 
2008年3月1日 (二月)17:00,2.90%, 
2008年2月1日 (一月)17:00,3.90%, 
2008年1月1日 (十二月)17:00,1.50%, 
2007年12月1日 (十一月)17:00,3.30%, 
2007年11月1日 (十月)17:00,4.80%, 
2007年10月1日 (九月)17:00,3.90%, 
2007年9月1日 (八月)17:00,4.90%, 
2007年8月1日 (七月)17:00,4.10%, 
2007年7月1日 (六月)17:00,3.50%, 
2007年6月1日 (五月)17:00,3.70%, 
2007年5月1日 (四月)17:00,3.10%, 
2007年4月1日 (三月)17:00,4.70%, 
2007年3月1日 (二月)17:00,4.60%, 
2007年2月1日 (一月)17:00,3.90%, 
2007年1月1日 (十二月)17:00,5.40%, 
2006年12月1日 (十一月)17:00,3.20%, 
2006年11月1日 (十月)17:00,3.90%, 
