时间,今值,预测值
2017年9月18日 (八月)17:00, , 
2017年8月31日17:00  ,1.2%,1.2%
2017年8月17日 (七月)17:00,1.2%,1.2%
2017年7月31日17:00  ,1.2%,1.1%
2017年7月17日 (六月)17:00,1.1%,1.1%
2017年6月30日17:00  ,1.1%,1.0%
2017年6月16日 (五月)17:00,0.9%,0.9%
2017年5月31日 (五月)17:00  ,0.9%,1.0%
2017年5月17日 (四月)17:00,1.2%,1.2%
2017年4月28日 (四月)17:00  ,1.2%,1.0%
2017年4月19日 (三月)17:00,0.7%,0.7%
2017年3月31日 (三月)17:00  ,0.7%,0.8%
2017年3月16日 (二月)18:00,0.9%,0.9%
2017年3月2日 (二月)18:00  ,0.9%,0.9%
2017年2月22日 (一月)18:00,0.9%,0.9%
2017年1月31日18:00  ,0.9%,0.9%
2017年1月18日 (十二月)18:00,0.9%,0.9%
2017年1月4日 (十二月)18:00  ,0.9%,0.8%
2016年12月16日 (十一月)18:00,0.8%,0.8%
2016年11月30日18:00  ,0.8%,0.8%
2016年11月17日 (十月)18:00,0.8%,0.8%
2016年10月31日 (十月)18:00  ,0.8%,0.8%
2016年10月17日 (九月)17:00,0.8%,0.8%
2016年9月30日17:00  ,0.8%,0.9%
2016年9月15日 (八月)17:00,0.8%,0.8%
2016年8月31日 (八月)17:00  ,0.8%,0.9%
2016年8月18日 (七月)17:00,0.9%,0.9%
2016年7月29日17:00  ,0.9%,0.9%
2016年7月15日 (六月)17:00,0.9%,0.9%
2016年6月30日17:00  ,0.9%,0.8%
2016年6月16日 (五月)17:00,0.8%,0.8%
2016年5月31日 (五月)17:00  ,0.8%,0.8%
2016年5月18日 (四月)17:00,0.7%,0.7%
2016年4月29日17:00  ,0.8%,0.9%
2016年4月14日 (三月)17:00,1.0%,1.0%
2016年3月31日 (三月)17:00  ,1.0%,0.9%
2016年3月17日 (二月)18:00,0.8%,0.7%
2016年2月29日18:00  ,0.7%,0.9%
2016年2月25日 (一月)18:00,1.0%,1.0%
2016年1月29日18:00  ,1.0%,0.9%
2016年1月19日 (十二月)18:00,0.9%,0.9%
2016年1月5日18:00  ,0.9%,1.0%
2015年12月16日18:00,0.9%,0.9%
2015年12月2日 (十一月)18:00  ,0.9%,1.1%
2015年11月16日 (十月)18:00,1.1%,1.0%
2015年10月30日18:00  ,1.0%,0.9%
2015年10月16日 (九月)17:00,0.9%,0.9%
2015年9月30日 (九月)17:00  ,0.9%,0.9%
2015年9月16日 (八月)17:00,0.9%,1.0%
2015年8月31日 (八月)17:00  ,1.0%,1.0%
2015年8月14日 (七月)17:00,1.0%,1.0%
2015年7月31日 (七月)17:00  ,1.0%,0.8%
2015年7月16日17:00,0.8%,0.8%
2015年6月30日 (六月)17:00  ,0.8%,0.8%
2015年6月17日17:00,0.9%,0.9%
2015年6月2日 (五月)17:00  ,0.9%,0.7%
2015年5月19日 (四月)17:00,0.6%,0.6%
2015年4月30日17:00  ,0.6%,0.6%
2015年4月17日 (三月)17:00,0.6%,0.6%
2015年3月31日 (三月)17:00  ,0.6%,0.6%
2015年3月17日 (二月)18:00,0.7%,0.6%
2015年3月2日18:00  ,0.6%,0.6%
2015年2月24日 (一月)18:00,0.6%,0.6%
2015年1月30日18:00  ,0.6%,0.6%
2015年1月16日 (十二月)18:00,0.7%,0.8%
2015年1月7日18:00  ,0.8%,0.7%
2014年12月17日 (十一月)18:00,0.7%,0.7%
2014年11月28日18:00  ,0.7%,0.7%
2014年11月14日 (十月)18:00,0.7%,0.7%
2014年10月31日 (十月)18:00  ,0.7%,0.8%
2014年10月16日 (九月)17:00,0.8%,0.7%
2014年9月30日17:00  ,0.7%,0.9%
2014年9月17日17:00,0.9%,0.9%
2014年8月29日17:00  ,0.9%,0.8%
2014年8月14日17:00,0.8%,0.8%
2014年7月31日17:00  ,0.8%,0.8%
2014年7月17日17:00,0.8%,0.8%
2014年6月30日17:00  ,0.8%,0.7%
2014年6月16日17:00,0.7%,0.7%
2014年6月3日17:00  ,0.7%,0.9%
2014年5月15日17:00,1.0%,1.0%
2014年4月30日17:00  ,1.0%,1.0%
2014年4月16日17:00,0.7%,0.8%
2014年3月31日17:00  ,0.8%,0.8%
2014年3月17日18:00,1.0%,1.0%
2014年2月28日18:00  ,1.0%,0.8%
2014年2月24日18:00,0.8%,0.8%
2014年1月31日18:00  ,0.8%,0.8%
2014年1月16日18:00,0.7%,0.9%
2014年1月7日18:00  ,0.7%,0.8%
2013年12月17日18:00,0.9%,0.9%
2013年11月29日18:00  ,1.0%,0.9%
2013年11月15日18:00,0.8%,0.8%
2013年10月31日18:00  ,0.8%,1.0%
2013年10月16日17:00,1.0%,1.0%
2013年9月30日17:00  ,1.0%,1.1%
2013年9月16日17:00,1.1%,1.1%
2013年8月30日17:00  ,1.1%,1.2%
2013年8月16日17:00,1.1%,1.1%
2013年7月16日17:00,1.2%,1.2%
2013年6月14日17:00,1.2%,1.2%
2013年5月16日17:00,1.0%,1.0%
2013年4月16日17:00,1.5%,1.4%
2013年3月15日18:00,1.3%,1.3%
2013年2月28日18:00,1.3%,1.5%
2013年1月16日18:00,1.5%,1.5%
2012年12月14日18:00,1.4%,1.5%
2012年11月15日18:00,1.5%,1.5%
2012年10月16日17:00,1.5%,1.6%
2012年9月14日17:00,1.5%,1.7%
2012年8月16日17:00,1.7%,1.9%
2012年7月16日17:00,1.6%,1.6%
2012年6月14日17:00,1.6%,1.6%
2012年5月16日17:00,1.6%,1.5%
2012年4月17日17:00,1.6%, 
2012年3月14日18:00,1.5%,1.6%
2012年2月29日18:00,1.5%,1.8%
2012年1月17日18:00,1.6%,1.6%
2011年12月15日18:00,1.6%,1.7%
2011年11月16日18:00,1.6%,1.6%
2011年10月14日17:00,1.6%,1.5%
2011年9月15日17:00,1.2%,1.2%
2011年8月17日17:00,1.2%,1.6%
2011年7月14日17:00,1.6%,1.5%
2011年6月16日17:00,1.5%,1.6%
2011年5月16日17:00,1.6%,1.5%
2011年4月15日17:00,1.3%,1.1%
2011年3月16日18:00,1.0%,1.1%
2011年2月28日18:00,1.1%,1.2%
2011年1月14日18:00,1.1%,1.1%
2010年12月16日18:00,1.1%,1.1%
2010年11月16日18:00,1.1%,1.0%
2010年10月15日17:00,1.0%,1.0%
2010年9月15日17:00,1.0%,0.9%
2010年8月16日17:00,1.0%,1.0%
2010年7月14日17:00,0.9%,0.9%
2010年6月16日17:00,0.8%,0.8%
2010年5月18日17:00,0.8%,0.9%
2010年4月16日17:00,1.0%,0.9%
2010年3月16日18:00,0.8%,0.8%
2010年2月26日18:00,0.9%,1.2%
2010年1月15日18:00,1.1%,1.0%
2009年12月16日18:00,1.0%,1.2%
2009年11月16日18:00,1.2%,1.2%
2009年10月15日17:00,1.2%,1.2%
2009年9月16日17:00,1.3%,1.2%
2009年8月14日17:00,1.3%,1.4%
2009年7月15日17:00,1.4%,1.5%
2009年6月16日17:00,1.5%,1.6%
2009年5月15日17:00,1.8%,1.6%
2009年4月16日17:00,1.5%,1.4%
2009年3月16日18:00,1.7%,1.6%
2009年2月27日18:00,1.6%,1.8%
2009年1月15日18:00,1.8%,1.8%
2008年12月17日18:00,1.9%,1.9%
2008年11月14日18:00,1.9%, 
2008年10月15日17:00,1.9%,1.9%
2008年9月16日17:00,1.9%,1.7%
2008年7月16日17:00,1.8%,1.8%
2008年6月16日17:00,1.7%,1.8%
2008年3月27日20:30,2.5%,2.7%
2008年2月1日 (一月)17:00,1.70%, 
2008年1月1日 (十二月)17:00,1.90%, 
2007年12月1日 (十一月)17:00,1.90%, 
2007年11月1日 (十月)17:00,1.90%, 
2007年10月1日 (九月)17:00,1.80%, 
2007年9月1日 (八月)17:00,1.90%, 
2007年8月1日 (七月)17:00,1.90%, 
2007年7月1日 (六月)17:00,1.90%, 
2007年6月1日 (五月)17:00,1.90%, 
2007年5月1日 (四月)17:00,1.90%, 
2007年4月1日 (三月)17:00,1.90%, 
2007年3月1日 (二月)17:00,1.90%, 
2007年2月1日 (一月)17:00,1.70%, 
2007年1月1日 (十二月)17:00,1.50%, 
2006年12月1日 (十一月)17:00,1.50%, 
2006年11月1日 (十月)17:00,1.50%, 
2006年10月1日 (九月)17:00,1.50%, 
2006年9月1日 (八月)17:00,1.40%, 
2006年8月1日 (七月)17:00,1.50%, 
2006年7月1日 (六月)17:00,1.50%, 
2006年6月1日 (五月)17:00,1.30%, 
2006年5月1日 (四月)17:00,1.50%, 
2006年4月1日 (三月)17:00,1.30%, 
2006年3月1日 (二月)17:00,1.20%, 
2006年2月1日 (一月)17:00,1.20%, 
2006年1月1日 (十二月)17:00,1.40%, 
2005年12月1日 (十一月)17:00,1.40%, 
2005年11月1日 (十月)17:00,1.40%, 
2005年10月1日 (九月)17:00,1.30%, 
2005年9月1日 (八月)17:00,1.30%, 
2005年8月1日 (七月)17:00,1.30%, 
2005年7月1日 (六月)17:00,1.40%, 
2005年6月1日 (五月)17:00,1.60%, 
2005年5月1日 (四月)17:00,1.40%, 
2005年4月1日 (三月)17:00,1.60%, 
2005年3月1日 (二月)17:00,1.40%, 
2005年2月1日 (一月)17:00,1.60%, 
2005年1月1日 (十二月)17:00,1.90%, 
2004年12月1日 (十一月)17:00,1.90%, 
2004年11月1日 (十月)17:00,1.80%, 
2004年10月1日 (九月)17:00,1.80%, 
2004年9月1日 (八月)17:00,1.90%, 
2004年8月1日 (七月)17:00,1.90%, 
2004年7月1日 (六月)17:00,1.90%, 
2004年6月1日 (五月)17:00,1.80%, 
2004年5月1日 (四月)17:00,1.80%, 
2004年4月1日 (三月)17:00,1.80%, 
2004年3月1日 (二月)17:00,1.80%, 
2004年2月1日 (一月)17:00,1.70%, 
2004年1月1日 (十二月)17:00,1.60%, 
2003年12月1日 (十一月)17:00,1.70%, 
2003年11月1日 (十月)17:00,1.70%, 
2003年10月1日 (九月)17:00,1.80%, 
2003年9月1日 (八月)17:00,1.70%, 
2003年8月1日 (七月)17:00,1.60%, 
2003年7月1日 (六月)17:00,1.80%, 
2003年6月1日 (五月)17:00,1.80%, 
2003年5月1日 (四月)17:00,2.00%, 
2003年4月1日 (三月)17:00,1.80%, 
2003年3月1日 (二月)17:00,1.90%, 
2003年2月1日 (一月)17:00,1.90%, 
2003年1月1日 (十二月)17:00,2.20%, 
2002年12月1日 (十一月)17:00,2.30%, 
2002年11月1日 (十月)17:00,2.30%, 
2002年10月1日 (九月)17:00,2.40%, 
2002年9月1日 (八月)17:00,2.40%, 
2002年8月1日 (七月)17:00,2.40%, 
2002年7月1日 (六月)17:00,2.50%, 
2002年6月1日 (五月)17:00,2.50%, 
2002年5月1日 (四月)17:00,2.40%, 
2002年4月1日 (三月)17:00,2.60%, 
2002年3月1日 (二月)17:00,2.50%, 
2002年2月1日 (一月)17:00,2.40%, 
2002年1月1日 (十二月)17:00,2.20%, 
2001年12月1日 (十一月)17:00,2.20%, 
2001年11月1日 (十月)17:00,2.20%, 
2001年10月1日 (九月)17:00,1.90%, 
2001年9月1日 (八月)17:00,1.70%, 
2001年8月1日 (七月)17:00,1.80%, 
2001年7月1日 (六月)17:00,1.90%, 
2001年6月1日 (五月)17:00,1.90%, 
2001年5月1日 (四月)17:00,1.70%, 
2001年4月1日 (三月)17:00,1.40%, 
2001年3月1日 (二月)17:00,1.00%, 
2001年2月1日 (一月)17:00,1.20%, 
2001年1月1日 (十二月)17:00,1.50%, 
2000年12月1日 (十一月)17:00,1.00%, 
2000年11月1日 (十月)17:00,1.10%, 
2000年10月1日 (九月)17:00,1.00%, 
2000年9月1日 (八月)17:00,0.90%, 
2000年8月1日 (七月)17:00,0.90%, 
2000年7月1日 (六月)17:00,0.90%, 
2000年6月1日 (五月)17:00,0.90%, 
2000年5月1日 (四月)17:00,1.00%, 
2000年4月1日 (三月)17:00,0.90%, 
2000年3月1日 (二月)17:00,0.90%, 
2000年2月1日 (一月)17:00,1.10%, 
2000年1月1日 (十二月)17:00,1.10%, 
1999年12月1日 (十一月)17:00,1.00%, 
1999年11月1日 (十月)17:00,0.90%, 
1999年10月1日 (九月)17:00,1.00%, 
1999年9月1日 (八月)17:00,1.00%, 
1999年8月1日 (七月)17:00,1.10%, 
1999年7月1日 (六月)17:00,1.10%, 
1999年6月1日 (五月)17:00,1.10%, 
1999年5月1日 (四月)17:00,1.20%, 
1999年4月1日 (三月)17:00,1.30%, 
1999年3月1日 (二月)17:00,1.20%, 
1999年2月1日 (一月)17:00,1.30%, 
1999年1月1日 (十二月)17:00,1.40%, 
1998年12月1日 (十一月)17:00,1.50%, 
1998年11月1日 (十月)17:00,1.50%, 
1998年10月1日 (九月)17:00,1.50%, 
1998年9月1日 (八月)17:00,1.50%, 
1998年8月1日 (七月)17:00,1.50%, 
1998年7月1日 (六月)17:00,1.50%, 
1998年6月1日 (五月)17:00,1.40%, 
1998年5月1日 (四月)17:00,1.50%, 
1998年4月1日 (三月)17:00,1.30%, 
1998年3月1日 (二月)17:00,1.30%, 
1998年2月1日 (一月)17:00,1.30%, 
1998年1月1日 (十二月)17:00,1.50%, 
1997年12月1日 (十一月)17:00,1.50%, 
