时间,今值,预测值
2017年9月28日 (九月)17:00, ,-1.5
2017年9月21日 (九月)22:00, , 
2017年8月30日 (八月)17:00,-2.0,-2.0
2017年8月23日 (八月)22:00  ,-1.5,-1.8
2017年7月28日 (七月)17:00,-1.7,-1.7
2017年7月20日 (七月)22:00  ,-1.7,-1.1
2017年6月29日 (六月)17:00,-1.0,-1.0
2017年6月22日 (六月)22:00  ,-1.3,-3.0
2017年5月30日 (五月)17:00,-3.0,-3.0
2017年5月19日 (五月)22:00  ,-3.3,-3.0
2017年4月27日 (四月)17:00,-4.0,-4.0
2017年4月20日 (三月)22:00  ,-3.6,-4.8
2017年3月30日 (三月)17:00,-5.0,-5.0
2017年3月23日 (二月)23:00  ,-5.0,-5.7
2017年2月27日 (二月)18:00,-6.0,-6.0
2017年2月20日 (二月)23:00  ,-6.2,-4.9
2017年1月30日 (一月)18:00,-5.0,-5.0
2017年1月23日 (一月)23:00  ,-4.9,-4.8
2017年1月6日 (十二月)18:00,-5.0,-5.0
2016年12月21日 (十二月)23:00  ,-5.1,-6.0
2016年11月29日 (十一月)18:00,-6.0,-6.0
2016年11月22日 (十一月)23:00  ,-6.1,-7.8
2016年10月28日 (十月)17:00,-8.0,-8.0
2016年10月21日 (十月)22:00  ,-8.0,-8.0
2016年9月29日 (九月)17:00,-8.0,-8.0
2016年9月22日 (九月)22:00  ,-8.2,-8.2
2016年8月30日 (八月)17:00,-9.0,-9.0
2016年8月23日 (八月)22:00  ,-8.5,-7.6
2016年7月28日 (七月)17:00,-8.0,-8.0
2016年7月20日 (七月)22:00  ,-7.9,-8.0
2016年6月29日 (六月)17:00,-7.0,-7.0
2016年6月22日 (六月)22:00  ,-7.3,-7.0
2016年5月30日 (五月)17:00,-7.0,-7.0
2016年5月23日 (五月)22:00  ,-7.0,-9.0
2016年4月28日 (四月)17:00,-9.3,-9.0
2016年4月21日 (四月)22:00  ,-9.3,-9.5
2016年3月30日 (三月)17:00,-10.0,-10.0
2016年3月21日 (三月)23:00  ,-9.7,-8.5
2016年2月26日 (二月)18:00,-9.0,-7.0
2016年2月19日 (二月)23:00  ,-8.8,-6.7
2016年1月28日 (一月)18:00,-6.0,-6.0
2016年1月21日 (一月)23:00  ,-6.3,-5.7
2016年1月7日 (十二月)18:00,-6.0,-6.0
