时间,今值,预测值
2017年9月22日 (九月)16:00, , 
2017年9月5日 (八月)16:00,55.7,55.8
2017年8月23日 (八月)16:00  ,55.8,55.5
2017年8月3日 (七月)16:00,55.7,55.8
2017年7月24日 (七月)16:00  ,55.8,56.2
2017年7月5日 (六月)16:00,56.3,55.7
2017年6月23日 (六月)16:00  ,55.7,56.6
2017年6月5日 (五月)16:00,56.8,56.8
2017年5月23日 (五月)16:00  ,56.8,56.6
2017年5月4日 (四月)16:00,56.8,56.7
2017年4月21日 (四月)16:00  ,56.7,56.3
2017年4月5日 (三月)16:00,56.4,56.7
2017年3月24日 (三月)17:00  ,56.7,55.8
2017年3月3日 (二月)17:00,56.0,56.0
2017年2月21日 (二月)17:00  ,56.0,54.3
2017年2月3日 (一月)17:00,54.4,54.3
2017年1月24日 (一月)17:00  ,54.3,54.5
2017年1月4日 (十二月)17:00,54.4,53.9
2016年12月15日 (十二月)17:00  ,53.9,53.9
2016年12月5日 (十一月)17:00,53.9,54.1
2016年11月23日 (十一月)17:00  ,54.1,53.3
2016年11月4日 (十月)17:00,53.3,53.7
2016年10月24日 (十月)16:00  ,53.7,52.8
2016年10月5日 (九月)16:00,52.6,52.6
2016年9月23日 (九月)16:00  ,52.6,52.8
2016年9月5日 (八月)16:00,52.9,53.3
2016年8月23日 (八月)16:00  ,53.3,53.1
2016年8月3日 (七月)16:00,53.2,52.9
2016年7月22日 (七月)16:00  ,52.9,52.5
2016年7月5日 (六月)16:00,53.1,52.8
2016年6月23日 (六月)16:00  ,52.8,53.0
2016年6月3日 (五月)16:00,53.1,52.9
2016年5月23日 (五月)16:00  ,52.9,53.2
2016年5月4日 (四月)16:00,53.0,53.0
2016年4月22日 (四月)16:00  ,53.0,53.2
2016年4月5日 (三月)16:00,53.1,53.7
2016年3月22日 (三月)17:00  ,53.7,53.0
2016年3月3日 (二月)17:00,53.0,52.7
2016年2月22日 (二月)17:00  ,52.7,53.3
2016年2月3日 (一月)17:00,53.6,53.5
2016年1月22日 (一月)17:00  ,53.5,54.2
2016年1月6日 (十二月)17:00,54.3,54.0
2015年12月16日 (十二月)16:58  ,54.0,54.2
2015年12月3日 (十一月)17:00,54.2,54.4
2015年11月23日 (十一月)17:00  ,54.4,53.9
2015年11月4日 (十月)17:00,53.9,54.0
2015年10月23日 (十月)16:00  ,54.0,53.4
2015年10月5日 (九月)16:00,53.6,53.9
2015年9月23日 (九月)16:00  ,53.9,54.1
2015年9月3日 (八月)16:00,54.3,54.1
2015年8月21日 (八月)16:00  ,54.1,53.8
2015年8月5日 (七月)16:00,53.9,53.7
2015年7月24日 (七月)16:00  ,53.7,54.0
2015年7月3日 (六月)16:00,54.2,54.1
2015年6月23日 (六月)16:00  ,54.1,53.5
2015年6月3日 (五月)16:00,53.6,53.4
2015年5月21日 (五月)16:00  ,53.4,53.8
2015年5月6日 (四月)16:00,53.9,53.5
2015年4月23日 (四月)16:00  ,53.5,54.4
2015年4月7日 (三月)16:00,54.0,54.1
2015年3月24日 (三月)17:00  ,54.1,53.6
2015年3月4日 (二月)17:00,53.3,53.5
2015年2月20日 (二月)17:00  ,53.5,53.0
2015年2月4日 (一月)17:00,52.6,52.2
2015年1月23日 (一月)17:00  ,52.2,51.8
2015年1月6日 (十二月)17:00,51.4,51.7
2014年12月16日 (十二月)17:00  ,51.7,51.3
2014年12月3日 (十一月)17:00,51.1,51.4
2014年11月20日 (十一月)17:00  ,51.4,52.3
2014年11月5日 (十月)17:00,52.1,52.2
2014年10月23日 (十月)16:00  ,52.2,51.7
2014年10月3日16:00,52.00,52.30
2014年9月1日 (八月)17:00,52.50, 
2014年8月1日 (七月)17:00,53.80, 
2014年7月1日 (六月)17:00,52.80, 
2014年6月1日 (五月)17:00,53.50, 
2014年5月1日 (四月)17:00,54.00, 
2014年4月1日 (三月)17:00,53.10, 
2014年3月1日 (二月)17:00,53.30, 
2014年2月1日 (一月)17:00,52.90, 
2014年1月1日 (十二月)17:00,52.10, 
2013年12月1日 (十一月)17:00,51.70, 
2013年11月1日 (十月)17:00,51.90, 
2013年10月1日 (九月)17:00,52.20, 
2013年9月1日 (八月)17:00,51.50, 
2013年8月1日 (七月)17:00,50.50, 
2013年7月1日 (六月)17:00,48.70, 
2013年6月1日 (五月)17:00,47.70, 
2013年5月1日 (四月)17:00,46.90, 
2013年4月1日 (三月)17:00,46.50, 
2013年3月1日 (二月)17:00,47.90, 
2013年2月1日 (一月)17:00,48.60, 
2013年1月1日 (十二月)17:00,47.20, 
2012年12月1日 (十一月)17:00,46.50, 
2012年11月1日 (十月)17:00,45.70, 
2012年10月1日 (九月)17:00,46.10, 
2012年9月1日 (八月)17:00,46.30, 
2012年8月1日 (七月)17:00,46.50, 
2012年7月1日 (六月)17:00,46.40, 
