时间,今值,预测值
2017年9月5日 (七月)17:00,2.6%,2.5%
2017年8月3日 (六月)17:00,3.1%,2.6%
2017年7月5日 (五月)17:00,2.6%,2.3%
2017年6月6日 (四月)17:00,2.5%,2.3%
2017年5月4日 (三月)17:00,2.3%,2.1%
2017年4月4日 (二月)17:00,1.8%,1.4%
2017年3月3日 (一月)18:00,1.2%,1.6%
2017年2月3日 (十二月)18:00,1.1%,1.8%
2017年1月6日 (十一月)18:00,2.3%, 
2016年12月5日 (十月)18:00,2.4%,1.7%
2016年11月7日 (九月)18:00,1.1%,1.3%
2016年10月5日 (八月)17:00,0.6%,1.5%
2016年9月5日 (七月)17:00,2.9%,1.9%
2016年8月3日 (六月)17:00,1.6%,1.7%
2016年7月5日 (五月)17:00,1.6%,1.6%
2016年6月3日 (四月)17:00,1.4%,1.9%
2016年5月4日 (三月)17:00,2.1%,2.5%
2016年4月5日 (二月)17:00,2.4%,1.9%
2016年3月3日 (一月)18:00,2.0%,1.3%
2016年2月3日 (十二月)18:00,1.4%,1.5%
2016年1月7日 (十一月)18:00,1.4%,2.0%
2015年12月3日 (十月)18:00,2.5%,2.7%
2015年11月5日 (九月)18:00,2.9%,3.0%
2015年10月5日 (八月)17:00,2.3%,1.8%
2015年9月3日 (七月)17:00,2.7%,2.0%
2015年8月5日 (六月)17:00,1.2%,1.9%
2015年7月3日 (五月)17:00,2.4%,2.3%
2015年6月3日 (四月)17:00,2.2%,2.0%
2015年5月6日 (三月)17:00,1.6%,2.4%
2015年4月8日 (二月)17:00,3.0%,3.0%
2015年3月4日 (一月)18:00,3.7%,1.9%
2015年2月4日 (十二月)18:00,2.8%,2.0%
2015年1月8日 (十一月)18:00,1.5%,0.2%
2014年12月3日 (十月)18:00,1.4%,1.2%
2014年11月5日 (九月)18:00,0.6%,1.2%
2014年10月3日 (八月)17:00,1.9%,0.5%
2014年9月3日17:00,0.8%,0.9%
2014年8月5日17:00,2.4%,1.2%
2014年7月3日17:00,0.7%,1.2%
2014年6月5日17:00,2.4%,1.3%
2014年5月6日17:00,0.9%,1.0%
2014年4月3日17:00,0.8%,0.8%
2014年3月5日18:00,1.3%,-0.4%
2014年2月5日18:00,-1.0%,1.5%
2014年1月8日18:00,1.6%,0.3%
2013年12月4日18:00,-0.1%,0.9%
2013年11月6日18:00,0.3%,0.7%
2013年10月1日 (九月)17:00,-0.20%, 
2013年9月1日 (八月)17:00,-0.30%, 
2013年8月1日 (七月)17:00,-0.90%, 
2013年7月1日 (六月)17:00,-1.60%, 
2013年6月1日 (五月)17:00,-0.20%, 
2013年5月1日 (四月)17:00,-1.20%, 
2013年4月1日 (三月)17:00,-2.40%, 
2013年3月1日 (二月)17:00,-2.00%, 
2013年2月1日 (一月)17:00,-2.20%, 
2013年1月1日 (十二月)17:00,-2.60%, 
2012年12月1日 (十一月)17:00,-1.90%, 
2012年11月1日 (十月)17:00,-3.00%, 
2012年10月1日 (九月)17:00,-1.90%, 
2012年9月1日 (八月)17:00,-0.70%, 
2012年8月1日 (七月)17:00,-1.30%, 
2012年7月1日 (六月)17:00,-0.90%, 
2012年6月1日 (五月)17:00,-0.60%, 
2012年5月1日 (四月)17:00,-3.50%, 
2012年4月1日 (三月)17:00,0.00%, 
2012年3月1日 (二月)17:00,-2.20%, 
2012年2月1日 (一月)17:00,-0.80%, 
2012年1月1日 (十二月)17:00,-1.80%, 
2011年12月1日 (十一月)17:00,-1.50%, 
2011年11月1日 (十月)17:00,-0.70%, 
2011年10月1日 (九月)17:00,-1.30%, 
2011年9月1日 (八月)17:00,-0.20%, 
2011年8月1日 (七月)17:00,-0.60%, 
2011年7月1日 (六月)17:00,-0.90%, 
2011年6月1日 (五月)17:00,-1.80%, 
2011年5月1日 (四月)17:00,0.60%, 
2011年4月1日 (三月)17:00,-1.50%, 
2011年3月1日 (二月)17:00,1.20%, 
2011年2月1日 (一月)17:00,0.60%, 
2011年1月1日 (十二月)17:00,-0.60%, 
2010年12月1日 (十一月)17:00,1.50%, 
2010年11月1日 (十月)17:00,0.70%, 
2010年10月1日 (九月)17:00,0.90%, 
2010年9月1日 (八月)17:00,1.60%, 
2010年8月1日 (七月)17:00,1.00%, 
2010年7月1日 (六月)17:00,0.70%, 
2010年6月1日 (五月)17:00,0.90%, 
2010年5月1日 (四月)17:00,-0.50%, 
2010年4月1日 (三月)17:00,1.30%, 
2010年3月1日 (二月)17:00,-0.60%, 
2010年2月1日 (一月)17:00,0.00%, 
2010年1月1日 (十二月)17:00,-0.60%, 
2009年12月1日 (十一月)17:00,-2.80%, 
2009年11月1日 (十月)17:00,-1.80%, 
2009年10月1日 (九月)17:00,-3.80%, 
2009年9月1日 (八月)17:00,-2.90%, 
2009年8月1日 (七月)17:00,-2.10%, 
2009年7月1日 (六月)17:00,-3.00%, 
2009年6月1日 (五月)17:00,-4.20%, 
2009年5月1日 (四月)17:00,-2.60%, 
2009年4月1日 (三月)17:00,-3.70%, 
2009年3月1日 (二月)17:00,-5.30%, 
2009年2月1日 (一月)17:00,-3.00%, 
2009年1月1日 (十二月)17:00,-1.70%, 
2008年12月1日 (十一月)17:00,-2.10%, 
2008年11月1日 (十月)17:00,-2.10%, 
2008年10月1日 (九月)17:00,-0.40%, 
2008年9月1日 (八月)17:00,-1.60%, 
2008年8月1日 (七月)17:00,-1.30%, 
2008年7月1日 (六月)17:00,-1.80%, 
2008年6月1日 (五月)17:00,1.00%, 
2008年5月1日 (四月)17:00,-1.00%, 
2008年4月1日 (三月)17:00,-1.70%, 
2008年3月1日 (二月)17:00,1.70%, 
2008年2月1日 (一月)17:00,1.60%, 
2008年1月1日 (十二月)17:00,-0.80%, 
2007年12月1日 (十一月)17:00,0.50%, 
2007年11月1日 (十月)17:00,1.10%, 
2007年10月1日 (九月)17:00,1.60%, 
2007年9月1日 (八月)17:00,1.80%, 
2007年8月1日 (七月)17:00,2.00%, 
2007年7月1日 (六月)17:00,1.80%, 
2007年6月1日 (五月)17:00,0.90%, 
2007年5月1日 (四月)17:00,2.30%, 
2007年4月1日 (三月)17:00,3.10%, 
2007年3月1日 (二月)17:00,1.90%, 
2007年2月1日 (一月)17:00,1.80%, 
2007年1月1日 (十二月)17:00,2.30%, 
2006年12月1日 (十一月)17:00,2.20%, 
2006年11月1日 (十月)17:00,1.70%, 
2006年10月1日 (九月)17:00,1.70%, 
2006年9月1日 (八月)17:00,2.40%, 
2006年8月1日 (七月)17:00,2.20%, 
2006年7月1日 (六月)17:00,2.00%, 
2006年6月1日 (五月)17:00,2.20%, 
2006年5月1日 (四月)17:00,2.00%, 
2006年4月1日 (三月)17:00,1.20%, 
2006年3月1日 (二月)17:00,1.90%, 
2006年2月1日 (一月)17:00,1.00%, 
2006年1月1日 (十二月)17:00,1.10%, 
2005年12月1日 (十一月)17:00,0.90%, 
2005年11月1日 (十月)17:00,2.40%, 
2005年10月1日 (九月)17:00,3.00%, 
2005年9月1日 (八月)17:00,4.40%, 
2005年8月1日 (七月)17:00,2.70%, 
2005年7月1日 (六月)17:00,2.00%, 
2005年6月1日 (五月)17:00,1.50%, 
2005年5月1日 (四月)17:00,0.40%, 
2005年4月1日 (三月)17:00,2.00%, 
2005年3月1日 (二月)17:00,1.70%, 
2005年2月1日 (一月)17:00,2.10%, 
2005年1月1日 (十二月)17:00,2.30%, 
2004年12月1日 (十一月)17:00,2.10%, 
2004年11月1日 (十月)17:00,0.50%, 
2004年10月1日 (九月)17:00,1.00%, 
2004年9月1日 (八月)17:00,1.10%, 
2004年8月1日 (七月)17:00,1.80%, 
2004年7月1日 (六月)17:00,1.90%, 
2004年6月1日 (五月)17:00,0.30%, 
2004年5月1日 (四月)17:00,2.10%, 
2004年4月1日 (三月)17:00,1.60%, 
2004年3月1日 (二月)17:00,0.90%, 
2004年2月1日 (一月)17:00,1.60%, 
2004年1月1日 (十二月)17:00,0.70%, 
2003年12月1日 (十一月)17:00,0.30%, 
2003年11月1日 (十月)17:00,1.00%, 
2003年10月1日 (九月)17:00,0.30%, 
2003年9月1日 (八月)17:00,0.50%, 
2003年8月1日 (七月)17:00,0.60%, 
2003年7月1日 (六月)17:00,1.50%, 
2003年6月1日 (五月)17:00,0.50%, 
2003年5月1日 (四月)17:00,1.20%, 
2003年4月1日 (三月)17:00,0.10%, 
2003年3月1日 (二月)17:00,1.10%, 
2003年2月1日 (一月)17:00,2.00%, 
2003年1月1日 (十二月)17:00,-0.20%, 
2002年12月1日 (十一月)17:00,0.50%, 
2002年11月1日 (十月)17:00,2.90%, 
2002年10月1日 (九月)17:00,1.60%, 
2002年9月1日 (八月)17:00,1.50%, 
2002年8月1日 (七月)17:00,1.70%, 
2002年7月1日 (六月)17:00,0.50%, 
2002年6月1日 (五月)17:00,1.40%, 
2002年5月1日 (四月)17:00,1.40%, 
2002年4月1日 (三月)17:00,1.40%, 
2002年3月1日 (二月)17:00,1.20%, 
2002年2月1日 (一月)17:00,-0.70%, 
2002年1月1日 (十二月)17:00,1.90%, 
2001年12月1日 (十一月)17:00,1.90%, 
2001年11月1日 (十月)17:00,0.70%, 
2001年10月1日 (九月)17:00,2.10%, 
2001年9月1日 (八月)17:00,2.50%, 
2001年8月1日 (七月)17:00,2.00%, 
2001年7月1日 (六月)17:00,2.10%, 
2001年6月1日 (五月)17:00,1.60%, 
2001年5月1日 (四月)17:00,1.60%, 
2001年4月1日 (三月)17:00,2.70%, 
2001年3月1日 (二月)17:00,2.20%, 
2001年2月1日 (一月)17:00,3.60%, 
