时间,今值,预测值
2017年9月5日 (七月)17:00,-0.3%,-0.2%
2017年8月3日 (六月)17:00,0.5%,0.1%
2017年7月5日 (五月)17:00,0.4%,0.3%
2017年6月6日 (四月)17:00,0.1%,0.2%
2017年5月4日 (三月)17:00,0.3%,0.1%
2017年4月4日 (二月)17:00,0.7%,0.5%
2017年3月3日 (一月)18:00,-0.1%,0.4%
2017年2月3日 (十二月)18:00,-0.3%,0.3%
2017年1月6日 (十一月)18:00,-0.4%,-0.4%
2016年12月5日 (十月)18:00,1.1%,0.8%
2016年11月7日 (九月)18:00,-0.2%,-0.3%
2016年10月5日 (八月)17:00,-0.1%,-0.3%
2016年9月5日 (七月)17:00,1.1%,0.6%
2016年8月3日 (六月)17:00,0.0%,0.1%
2016年7月5日 (五月)17:00,0.4%,0.4%
2016年6月3日 (四月)17:00,0.0%,0.3%
2016年5月4日 (三月)17:00,-0.5%,-0.1%
2016年4月5日 (二月)17:00,0.2%,0.1%
2016年3月3日 (一月)18:00,0.4%,0.1%
2016年2月3日 (十二月)18:00,0.3%,0.3%
2016年1月7日 (十一月)18:00,-0.3%,0.2%
2015年12月3日 (十月)18:00,-0.1%,0.2%
2015年11月5日 (九月)18:00,-0.1%,0.2%
2015年10月5日 (八月)17:00,0.0%,-0.1%
2015年9月3日 (七月)17:00,0.4%,0.6%
2015年8月5日 (六月)17:00,-0.6%,-0.3%
2015年7月3日 (五月)17:00,0.2%,0.1%
2015年6月3日 (四月)17:00,0.7%,0.7%
2015年5月6日 (三月)17:00,-0.8%,-0.7%
2015年4月8日 (二月)17:00,-0.2%,-0.2%
2015年3月4日 (一月)18:00,1.1%,0.1%
2015年2月4日 (十二月)18:00,0.3%,0.2%
2015年1月8日 (十一月)18:00,0.6%,0.1%
2014年12月3日 (十月)18:00,0.4%,0.6%
2014年11月5日 (九月)18:00,-1.3%,-0.8%
2014年10月3日 (八月)17:00,1.2%,0.1%
2014年9月3日17:00,-0.4%,-0.4%
2014年8月5日17:00,0.4%,0.4%
2014年7月3日17:00,0.0%,0.2%
2014年6月5日17:00,0.4%,0.1%
2014年5月6日17:00,0.3%,-0.2%
2014年4月3日17:00,0.4%,-0.6%
2014年3月5日18:00,1.6%,0.8%
2014年2月5日18:00,-1.6%,-0.5%
2014年1月8日18:00,1.4%,0.2%
2013年12月4日18:00,-0.2%,0.3%
2013年11月6日18:00,-0.6%,-0.4%
2013年10月3日17:00,0.7%,0.2%
2013年9月4日17:00,0.1%,0.4%
2013年8月5日17:00,-0.5%,-0.6%
2013年7月3日17:00,1.0%,0.2%
2013年6月5日17:00,-0.5%,-0.1%
2013年5月6日17:00,-0.1%,-0.1%
2013年4月5日17:00,-0.3%,-0.2%
2013年3月5日18:00,1.2%,0.2%
2013年2月5日18:00,-0.8%,-0.5%
2013年1月8日18:00,0.1%,0.3%
2012年12月5日18:00,-1.2%,-0.1%
2012年11月7日18:00,-0.2%,-0.1%
2012年10月3日17:00,0.1%,-0.1%
2012年9月5日17:00,-0.2%,-0.2%
2012年8月3日17:00,0.1%,-0.1%
2012年7月4日17:00,0.6%,0.3%
2012年6月5日17:00,-1.0%,-0.1%
2012年5月4日17:00,0.3%,0.3%
2012年4月4日17:00,-0.1%,0.1%
2012年3月5日18:00,0.3%,-0.1%
2012年2月3日18:00,-0.4%,0.4%
2012年1月6日18:00,-0.8%,-0.3%
2011年12月5日18:00,0.4%,0.1%
2011年11月7日18:00,-0.7%,-0.1%
2011年10月5日17:00,-0.3%,-0.2%
2011年9月5日17:00,0.2%,0.1%
2011年8月3日17:00,0.9%,0.5%
2011年7月5日17:00,-1.1%,-1.0%
2011年6月7日17:00,0.9%,0.3%
2011年5月4日17:00,-1.0%,0.2%
2011年4月5日17:00,-0.1%,0.1%
2011年3月3日18:00,0.4%,0.3%
2011年2月3日18:00,-0.6%,0.6%
2011年1月6日18:00,-0.8%,0.3%
2010年12月3日18:00,0.5%,0.2%
2010年11月5日18:00,-0.2%,0.1%
2010年10月5日17:00,-0.4%,0.2%
2010年9月3日17:00,0.1%,0.3%
