时间,今值,预测值
2017年8月29日 (第二季度)14:45  ,0.5%,0.5%
2017年7月28日 (第二季度)13:30  ,0.5%,0.5%
2017年6月23日14:45,0.5%,0.4%
2017年5月30日 (第一季度)14:45  ,0.4%,0.3%
2017年4月28日 (第一季度)13:30  ,0.3%,0.4%
2017年3月24日15:45,0.4%,0.4%
2017年2月28日 (第四季度)15:45  ,0.4%,0.4%
2017年1月31日 (第四季度)14:30  ,0.4%,0.4%
2016年12月23日15:45,0.2%, 
2016年11月29日 (第三季度)15:45  ,0.2%,0.2%
2016年10月28日 (第三季度)13:30  ,0.2%,0.3%
2016年9月23日14:45,-0.1%,0.0%
2016年8月26日 (第二季度)14:45  ,0.0%,0.0%
2016年7月29日 (第二季度)13:30  ,0.0%,0.2%
2016年5月30日 (第一季度)14:45,0.6%,0.5%
2016年4月29日 (第一季度)13:30  ,0.5%,0.4%
2016年2月26日 (第四季度)15:45,0.3%,0.2%
2016年1月29日 (第四季度)14:30  ,0.2%,0.2%
2015年12月23日 (第三季度)15:45,0.3%,0.3%
2015年11月13日 (第三季度)14:30  ,0.3%,0.3%
2015年9月23日 (第二季度)14:45,0.0%,0.0%
2015年8月14日 (第二季度)13:30  ,0.0%,0.2%
2015年6月24日 (第一季度)13:30,0.6%,0.6%
2015年5月13日 (第一季度)13:30  ,0.6%,0.4%
2015年3月26日 (第四季度)15:45,0.1%,0.1%
2015年2月13日 (第四季度)14:30  ,0.1%,0.1%
2014年12月23日 (第三季度)15:45,0.3%,0.3%
2014年11月14日 (第三季度)14:30  ,0.3%,0.1%
2014年9月23日 (第二季度)14:45,0.0%,0.0%
2014年8月14日 (第二季度)13:30  ,0.0%,0.1%
2014年6月27日14:45,0.0%,0.0%
2014年5月15日13:30  ,0.0%,0.2%
2014年3月31日14:45,0.3%,0.3%
2014年2月14日14:30  ,0.3%,0.2%
2013年12月24日15:45,-0.1%,-0.1%
2013年11月14日14:30  ,-0.1%,0.1%
2013年9月27日14:45,0.5%,0.5%
2013年8月14日13:30  ,0.5%,0.2%
2013年6月26日14:45,-0.2%,-0.2%
2013年5月15日13:30  ,-0.2%,-0.1%
2013年3月27日15:45,-0.3%,-0.3%
2013年2月14日14:30  ,-0.3%,-0.2%
2012年12月28日15:45,0.1%,0.2%
2012年11月15日14:30  ,0.2%,0.0%
2012年9月28日13:30,0.0%,0.0%
2012年8月14日13:30  ,0.0%,-0.1%
2012年6月29日13:30,0.0%,0.0%
2012年5月15日13:30  ,0.0%,0.0%
2012年3月28日13:30,0.2%,0.2%
2012年2月15日14:30  ,0.2%,-0.2%
2011年12月23日14:30,0.3%,0.4%
2011年11月15日14:30  ,0.4%,0.3%
2011年8月12日13:30  ,0.0%,0.3%
2011年5月13日13:30  ,1.0%,0.6%
2011年2月15日14:30  ,0.3%,0.6%
2010年12月28日14:30,0.3%,0.4%
2010年11月12日14:30  ,0.4%,0.5%
2010年8月13日14:45  ,0.6%,0.4%
2010年5月12日14:45  ,0.1%,0.3%
2010年2月12日15:45  ,0.6%,0.5%
2009年11月13日15:50  ,0.3%,0.6%
2009年8月13日14:45  ,0.3%,-0.5%
2009年5月15日14:45  ,-1.2%,-1.3%
2009年2月13日14:45  ,-1.2%,-1.1%
2008年11月14日15:50,0.1%,-0.1%
2008年8月14日14:45,-0.3%,0.1%
2008年5月15日15:45,0.6%,0.5%
2008年2月14日10:45,0.3%,0.3%
