时间,今值,预测值
2017年9月22日 (九月)15:00, , 
2017年9月1日 (八月)15:50,55.8,55.8
2017年8月23日 (八月)15:00  ,55.8,54.5
2017年8月1日 (七月)15:50,54.9,55.4
2017年7月24日 (七月)15:00  ,55.4,54.6
2017年7月3日 (六月)15:50,54.8,55.0
2017年6月23日 (六月)15:00  ,55.0,54.0
2017年6月1日 (五月)15:50,53.8,54.0
2017年5月23日 (五月)15:00  ,54.0,55.2
2017年5月2日 (四月)15:50,55.1,55.1
2017年4月21日 (四月)15:00  ,55.1,53.0
2017年4月3日 (三月)15:50,53.3,53.4
2017年3月24日 (三月)16:00  ,53.4,52.4
2017年3月1日 (二月)16:50,52.2,52.3
2017年2月21日 (二月)16:00  ,52.3,53.5
2017年2月1日 (一月)16:50,53.6,53.4
2017年1月24日 (一月)16:00  ,53.4,53.4
2017年1月2日 (十二月)16:50,53.5,53.5
2016年12月15日 (十二月)16:00  ,53.5,51.9
2016年12月1日 (十一月)16:50,51.7,51.5
2016年11月23日 (十一月)16:00  ,51.5,51.4
2016年11月2日 (十月)16:50,51.8,51.3
2016年10月24日 (十月)15:00  ,51.3,50.0
2016年10月3日 (九月)15:50,49.7,49.5
2016年9月23日 (九月)15:00  ,49.5,48.4
2016年9月1日 (八月)15:50,48.3,48.5
2016年8月23日 (八月)15:00  ,48.5,48.8
2016年8月1日 (七月)15:50,48.6,48.6
2016年7月22日 (七月)15:00  ,48.6,48.0
2016年7月1日 (六月)15:50,48.3,47.9
2016年6月23日 (六月)15:00  ,47.9,48.8
2016年6月1日 (五月)15:50,48.4,48.3
2016年5月23日 (五月)15:00  ,48.3,48.8
2016年5月2日 (四月)15:50,48.0,48.3
2016年4月22日 (四月)15:00  ,48.3,49.8
2016年4月1日 (三月)15:50,49.6,49.6
2016年3月22日 (三月)16:00  ,49.6,50.2
2016年3月1日 (二月)16:50,50.2,50.3
2016年2月22日 (二月)16:00  ,50.3,49.9
2016年2月1日 (一月)16:50,50.0,50.0
2016年1月22日 (一月)16:00  ,50.0,51.3
2016年1月4日 (十二月)16:50,51.4,51.6
2015年12月16日 (十二月)16:00  ,51.6,50.5
2015年12月1日 (十一月)16:50,50.6,50.8
2015年11月23日 (十一月)16:00  ,50.8,50.8
2015年11月2日 (十月)16:50,50.6,50.7
2015年10月23日 (十月)15:00  ,50.7,50.2
2015年10月1日 (九月)15:50,50.6,50.4
2015年9月23日 (九月)15:00  ,50.4,48.5
2015年9月1日 (八月)15:50,48.3,48.6
2015年8月21日 (八月)15:00  ,48.6,49.7
2015年8月3日 (七月)15:50,49.6,49.6
2015年7月24日 (七月)15:00  ,49.6,50.7
2015年7月1日 (六月)15:50,50.7,50.5
2015年6月23日 (六月)15:00  ,50.5,49.5
2015年6月1日 (五月)15:50,49.4,49.3
2015年5月21日 (五月)15:00  ,49.3,48.5
2015年5月4日 (四月)15:50,48.0,48.4
2015年4月23日 (四月)15:00  ,48.4,49.2
2015年4月1日 (三月)15:50,48.8,48.2
2015年3月24日 (三月)16:00  ,48.2,48.5
2015年3月2日 (二月)16:50,47.6,47.7
2015年2月20日 (二月)16:00  ,47.7,49.5
2015年2月2日 (一月)16:50,49.2,49.5
2015年1月23日 (一月)16:00  ,49.5,48.1
2015年1月2日 (十二月)16:50,47.5,47.9
2014年12月16日 (十二月)16:00  ,47.9,48.6
2014年12月1日 (十一月)16:50,48.4,47.6
2014年11月20日 (十一月)16:00  ,47.6,48.9
2014年11月3日 (十月)16:50,48.5,47.3
2014年10月23日 (十月)15:00  ,47.3,48.5
2014年10月1日 (九月)15:50,48.8,48.8
2014年9月23日 (九月)15:00  ,48.8,47.0
2014年9月1日15:50,46.9,46.5
2014年8月21日15:00  ,46.5,47.8
2014年8月1日15:50,47.8,47.6
2014年7月24日15:00  ,47.6,48.1
2014年7月1日15:50,48.2,47.8
2014年6月23日15:00  ,47.8,49.5
2014年6月2日15:50,49.6,49.3
2014年5月22日15:00  ,49.3,51.0
2014年5月2日15:50,51.2,50.9
2014年4月23日15:00  ,50.9,51.9
2014年4月1日15:50,52.1,51.9
2014年3月24日16:00  ,51.9,49.8
2014年3月3日16:48,49.7,48.5
2014年2月20日15:58  ,48.5,49.6
2014年2月3日16:48,49.3,48.8
2014年1月23日15:58  ,48.8,47.5
2014年1月2日16:48,47.0,47.1
2013年12月16日15:58  ,47.1,49.1
2013年12月2日16:48,48.4,47.8
2013年11月21日15:58  ,47.8,49.5
2013年11月4日16:48,49.1,49.4
2013年10月24日14:58  ,49.4,50.1
2013年10月1日15:48,49.8,49.5
2013年9月23日14:58  ,49.5,50.1
2013年9月2日15:48,49.7,49.7
2013年8月22日14:58  ,49.7,50.3
2013年8月1日15:48,49.7,49.8
2013年7月24日14:58  ,49.8,48.8
2013年7月1日15:48,48.4,48.3
2013年6月20日14:58  ,48.3,47.0
2013年6月3日15:48,46.4,45.5
2013年5月23日14:58  ,45.5,44.8
2013年5月2日15:48,44.4,44.4
2013年4月23日14:58  ,44.4,44.3
2013年4月2日15:48,44.0,43.9
2013年3月21日15:58  ,43.9,44.3
2013年3月1日16:50,43.9,43.6
2013年2月21日15:58  ,43.6,43.8
2013年2月1日16:50,42.9,42.9
2013年1月24日15:58  ,42.9,45.1
2013年1月2日16:50,44.6,44.6
2012年12月14日15:58  ,44.6,45.0
2012年12月3日16:50,44.5,44.7
2012年11月22日16:00  ,44.7,44.1
2012年11月2日16:50,43.7,43.5
2012年10月24日14:58  ,43.5,44.0
2012年10月1日15:50,42.7,42.6
2012年9月20日14:58  ,42.6,46.4
2012年9月3日15:50,46.0,46.2
2012年8月23日14:58  ,46.2,43.6
2012年8月1日15:50,43.4,43.6
